results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0.83158004,okay so which I'm trying to argue against the yemeni refugees coming Korea I think the strongest point that I can make is practically speaking the resources high in South Korea is not big enough to take in any more foreigners and calligraphers so if they're coming for a tourist purpose they're actually being Spenders their customers so they're actually increase,0.91283858,4.200s,3.700s,okay,6,en-us,30.278504s
0.83158004,,0.91283858,6s,5.400s,so,6,en-us,30.278504s
0.83158004,,0.91283858,6.700s,6.500s,which,6,en-us,30.278504s
0.83158004,,0.91283858,6.800s,6.700s,I'm,6,en-us,30.278504s
0.83158004,,0.91283858,7s,6.800s,trying,6,en-us,30.278504s
0.83158004,,0.91283858,7.200s,7s,to,6,en-us,30.278504s
0.83158004,,0.91283858,7.400s,7.200s,argue,6,en-us,30.278504s
0.83158004,,0.91283858,8.100s,7.400s,against,6,en-us,30.278504s
0.83158004,,0.91283858,8.200s,8.100s,the,6,en-us,30.278504s
0.83158004,,0.91283858,8.500s,8.200s,yemeni,6,en-us,30.278504s
0.83158004,,0.91283858,9.200s,8.500s,refugees,6,en-us,30.278504s
0.83158004,,0.91283858,9.600s,9.200s,coming,6,en-us,30.278504s
0.83158004,,0.71910995,10.200s,9.700s,Korea,6,en-us,30.278504s
0.83158004,,0.74184501,10.900s,10.800s,I,6,en-us,30.278504s
0.83158004,,0.72765952,11.100s,10.900s,think,6,en-us,30.278504s
0.83158004,,0.88010144,11.200s,11.100s,the,6,en-us,30.278504s
0.83158004,,0.71206754,11.700s,11.200s,strongest,6,en-us,30.278504s
0.83158004,,0.91283858,12s,11.700s,point,6,en-us,30.278504s
0.83158004,,0.76887661,12.100s,12s,that,6,en-us,30.278504s
0.83158004,,0.74548334,12.200s,12.100s,I,6,en-us,30.278504s
0.83158004,,0.91283858,12.400s,12.200s,can,6,en-us,30.278504s
0.83158004,,0.91283858,12.600s,12.400s,make,6,en-us,30.278504s
0.83158004,,0.76264906,12.900s,12.600s,is,6,en-us,30.278504s
0.83158004,,0.91283858,13.600s,12.900s,practically,6,en-us,30.278504s
0.83158004,,0.74985033,14.200s,13.600s,speaking,6,en-us,30.278504s
0.83158004,,0.73321784,15.400s,15.200s,the,6,en-us,30.278504s
0.83158004,,0.89285862,16s,15.400s,resources,6,en-us,30.278504s
0.83158004,,0.72661239,16.400s,16s,high,6,en-us,30.278504s
0.83158004,,0.88144726,16.700s,16.400s,in,6,en-us,30.278504s
0.83158004,,0.72661239,17.100s,16.700s,South,6,en-us,30.278504s
0.83158004,,0.91283858,17.400s,17.100s,Korea,6,en-us,30.278504s
0.83158004,,0.91283858,17.600s,17.400s,is,6,en-us,30.278504s
0.83158004,,0.7332179,17.800s,17.600s,not,6,en-us,30.278504s
0.83158004,,0.91283858,18s,17.800s,big,6,en-us,30.278504s
0.83158004,,0.6853953,18.300s,18s,enough,6,en-us,30.278504s
0.83158004,,0.76887661,18.400s,18.300s,to,6,en-us,30.278504s
0.83158004,,0.75502449,18.700s,18.400s,take,6,en-us,30.278504s
0.83158004,,0.91283858,18.900s,18.700s,in,6,en-us,30.278504s
0.83158004,,0.84622329,19s,18.900s,any,6,en-us,30.278504s
0.83158004,,0.70909411,19.300s,19s,more,6,en-us,30.278504s
0.83158004,,0.89153504,19.800s,19.300s,foreigners,6,en-us,30.278504s
0.83158004,,0.91283858,20s,19.800s,and,6,en-us,30.278504s
0.83158004,,0.75774294,20.900s,20s,calligraphers,6,en-us,30.278504s
0.83158004,,0.91283858,21.500s,21.300s,so,6,en-us,30.278504s
0.83158004,,0.74548334,21.600s,21.500s,if,6,en-us,30.278504s
0.83158004,,0.74548334,21.800s,21.600s,they're,6,en-us,30.278504s
0.83158004,,0.70409852,22s,21.800s,coming,6,en-us,30.278504s
0.83158004,,0.70158225,22.500s,22s,for,6,en-us,30.278504s
0.83158004,,0.91283858,22.600s,22.500s,a,6,en-us,30.278504s
0.83158004,,0.91283858,23.100s,22.600s,tourist,6,en-us,30.278504s
0.83158004,,0.74408859,23.700s,23.100s,purpose,6,en-us,30.278504s
0.83158004,,0.87501264,24.600s,24.100s,they're,6,en-us,30.278504s
0.83158004,,0.91283858,24.900s,24.600s,actually,6,en-us,30.278504s
0.83158004,,0.71346051,25.500s,24.900s,being,6,en-us,30.278504s
