,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.77739894,the time will start now you can start,0.91283858,0.200s,0.100s,the,2,en-us,4.690612s
8,0.7743454,the time will start now you can start,0.91283858,0.200s,0.100s,the,1,en-us,4.710657s
17,0.91283858, first,0.91283858,5.800s,5.300s,first,2,en-us,6.183991s
18,0.80498117, these refuges came from your men right and they left because the their country had to Terrors and,0.8000567,8.900s,8.600s,these,1,en-us,16.547438s
36,0.91283864, regime was being,0.91283858,17.600s,17.200s,regime,1,en-us,18.692290s
39,0.89519435, these refugees came from your men right and they left because the their country at the Terrors and regime was being,0.91283858,8.900s,8.600s,these,2,en-us,18.712336s
60,0.9128384, because they thought the country was dangerous after all and they have nowhere to go and Korea is a developed Nation also part of the United Nations I think they have the responsibility to take in the refugees,0.91283858,21.200s,21s,because,1,en-us,33.445669s
98,0.84222424, because they thought the country was dangerous after all and they have nowhere to go and Korea is a developed Nation also part of the United Nations I think they have the responsibility to take in the refugees,0.91283858,21.200s,21s,because,2,en-us,33.465715s
136,0.74456382, Es El Paso okay so I'm against the refugee letting the refugee into Jeju Island because first of all they are abusing The Immigrant love which is well first of all judges like a visa-free island so they can stay for 30 days but after that they have to go out but if they challenge for a trial at the court to let them in they can stay for additional 90 days and,0.91283858,34.600s,34.400s,Es,2,en-us,62.761996s
209,0.7949568, SL pasta okay so again is the refugee letting the refugee into Jeju Island because first of all they are abusing The Immigrant love which is well first of all judges like a visa-free island so they can stay for 30 days but after that they have to go out but if they challenge for a trial at the court to let them into can stay for additional 90 days and,0.91283858,34.700s,34.400s,SL,1,en-us,62.862223s
280,0.9068225, and of Korean government has to provide like food shelter and even for kids they have to provide Public Health Care and education so I think they're kind of abusing that system and second of all I think it's bit premature for both the refugees and Korean people to accept each other for example Yemen is in the Middle East so it's to the culture and like the food in general is,0.91283858,63.900s,63.700s,and,2,en-us,93.000410s
352,0.84350002, and of Korean government has to provide like food shelter and even for kids they have to provide Public Health Care and education so I think they're kind of abusing that system and second of all I think it's bit premature for both refugees and Korean people to accept each other for example Yemen is in the Middle East so it's to the culture and like the food in general is,0.91283858,63.900s,63.700s,and,1,en-us,93.020455s
423,0.78240442, different from Korea so,0.83700836,93.800s,93.400s,different,2,en-us,95.465988s
427,0.80528146, different from Korea so,0.91283858,93.800s,93.400s,different,1,en-us,95.546169s
431,0.86654985, for the Koreans it's hard to understand them and also for the young man is will be quite hard to settle down in Korea so yeah I didn't think there is responsibility for Korea to Lieutenant,0.91283858,96.500s,96.300s,for,2,en-us,108.886351s
467,0.82854861, for the Koreans it's hard to understand them and also for the young man is will be quite hard to settle down in Korea so yeah I don't think there is responsibility for Korea to left I mean,0.91283858,96.500s,96.300s,for,1,en-us,108.886351s
505,0.7702058, oh 2 points she said that they are reducing the law but the question of the debate is whether Korea should accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law so that they can stay in more legally without using the side gates in the law and second you said that Koreans and Muslims are so different that it's it's not realistic that they live together but we have seen many cases in history like Germany and France,0.91283858,111.300s,111.200s,oh,2,en-us,140.918823s
595,0.84527367, okay Point she said that they are abusing the law but the question of the debate is whether Korea should accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law so that they can stay in more legally without using the sides gates in the law and the second you said that Koreans and Muslims are so different that it's it's not realistic that they live together but we have seen many cases in history like Germany and France,0.80926746,111.600s,111.200s,okay,1,en-us,140.918823s
685,0.91267449, everything thousands of refugees and they have done well and in contrast Korea is only old as Korea only has to accept like 550 refugees which is a very small portion compared to what countries like Germany and France are doing and he said that Muslims will have difficulties settling in Korea but they don't have any choices they chose Korea because,0.91283858,141.500s,141s,everything,1,en-us,168.611476s
747,0.91283822, everything thousands of refugees and they have done well and in contrast Korea is only old as Korea only has to accept like 550 refugees which is a very small portion compared to what countries like Germany and France are doing and he said that Muslims will have difficulties settling in Korea but they don't have any choices they chose Korea because,0.91283858,141.500s,141s,everything,2,en-us,168.611476s
809,0.91283858, at least it's better than staying in their home country,0.91283858,169.500s,169.400s,at,2,en-us,172.029209s
819,0.91283858, at least it's better than staying in their home country,0.91283858,169.600s,169.400s,at,1,en-us,172.039231s
829,0.91283858, so,0.91283858,173.300s,172.700s,so,2,en-us,173.743086s
830,0.91283858, so,0.91283858,173.300s,172.700s,so,1,en-us,173.793199s
831,0.91283846, so I think the refugees don't have a choice and it's it's rather an obligation that they stayed here so for the first point of argument is that,0.91283858,175.800s,175.600s,so,1,en-us,188.025399s
859,0.90916812, so I think the refugees don't have a choice and it's it's rather an obligation that they stay here so for the first point of argument is that,0.91283858,175.800s,175.600s,so,2,en-us,188.035422s
887,0.85345119, they are abusing the law and so there was a petition to the blue house where the people were like change the law to not let the Immigrant in and so what the government did was to change the law and excluded your man from Visa free program so from now on except for those 550 people who are all already inside the Jeju Island over Yemen people can come in so from now on it,0.73437196,189.200s,189.100s,they,1,en-us,218.594561s
963,0.88461459, they are abusing the law and so there was a petition to the blue house where the people were like change the law to not not let the Immigrant in and so what the government did was to change the law and excluded your man from Visa free program so from now on except for the 550 people who are all already inside the Jeju Island o Maryam and people can come in so from now on it,0.83656913,189.200s,189.100s,they,2,en-us,218.594561s
1041,0.74408686, illegal and second the Franks Germany and yeah I think they should let the immigrants in because when we think about all those crises originated from is from the colonial period when the European countries invaded Africa and set the ruler rulers in their own taste so they have like historical responsibilities to let immigrants in but for example Korea don't have any kind of those connections to military,0.91283858,219.400s,218.700s,illegal,2,en-us,248.572384s
1110,0.85965484, illegal and second difference Germany and yeah I think they should let the immigrants in because let me think about all those crises originated from is from the colonial period when the European countries invaded Africa and set the ruler rulers in their own taste so they have like historical responsibilities to let immigrants in but for example Korea don't have any kind of those connections to military,0.91283858,219.400s,218.700s,illegal,1,en-us,248.572384s
1178,0.79273462, Middle East Country so yeah I don't think there is I think rather than Korea maybe European countries who created all those meds should let those immigrants in,0.91283858,249.100s,248.700s,Middle,2,en-us,261.150843s
1206,0.85497653, Middle East Country so yeah I don't think there is I think rather than Korea maybe European countries who created all those meth should let those immigrants thing,0.91283858,249.100s,248.700s,Middle,1,en-us,261.180911s
1234,0.87086904, right you said that the law makes the refugees movements illegal but the question of the debate is whether that should be legal or illegal so whether the laws are illegal right now is irrelevant from this debate because that's what we are deciding right now whether we should change the laws so that refugees should be accepted into Korea and the second you said that France and Germany are different because they have historic ties to the Muslim countries but,0.91283858,263.300s,262.600s,right,1,en-us,292.431614s
1315,0.82618403, right you said that the law makes the refugees movements illegal but the question of the debate is whether that should be legal or illegal so whether the laws are illegal right now is irrelevant from this debate because that's what we're deciding right now whether we should change the laws so that refugees should be accepted into Korea and second you said that France and Germany are different because they have historic ties to the Muslim countries but,0.91283858,263.300s,262.700s,right,2,en-us,292.441637s
1394,0.91138911, but Korea also part of the United Nations has signed at the convention so they also have the international obligation to accept refugees when there is a crisis and also,0.91283858,293.600s,293.200s,but,1,en-us,305.761773s
1424,0.83364075, but Korea also part of the United Nations has signed at the convention so they also have the international obligation to accept refugees when there is a crisis and also,0.91283858,293.600s,293.200s,but,2,en-us,305.821909s
1454,0.80675769, Germany is certainly not accepting the refugees because they have historical responsibilities to Syrian refugees sexually though relationship is very weak between Syria and Germany it's not like Germany and Israel and so but they are accepting the refugees because that's the,0.73625177,307.600s,307.200s,Germany,1,en-us,324.103270s
1496,0.90735978, German is certainly not accepting the refugees because they have historical responsibilities to Syrian refugees sexually though relationship is very weak between Syria and Germany it's not like Germany and Israel and so but they are accepting the refugees because that's the,0.91283858,307.600s,307.200s,German,2,en-us,324.163406s
1538,0.74055135," that's the source that's the sort of behavior they must show as a developed country and Korea to is a developed country and it is very capable of accepting 550 refugees when countries like France and Germany are accepting 100,000 refugees every year so I think",0.91283858,325.500s,325.200s,that's,1,en-us,343.497148s
1584,0.7904374," that's the so it's that's the sort of behavior they must show as a developed country and Korea to is a developed country and it is very capable of accepting 550 refugees when countries like France and Germany are accepting 100,000 refugees every year so I think",0.91283858,325.500s,325.200s,that's,2,en-us,343.537238s
1631,0.91283858, refugees should be learning,0.91283858,344.700s,344.200s,refugees,2,en-us,345.992794s
