,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.91196966,now you may begin okay so I think I will start with the fact that Korea is a developed country and the members of you and community members of United Nations and it's also one of the countries who which signed Refugee studies International Convention I think Korea has a duty to take part in the global effort to deal with this yam and civil Civil War which has been saved as a one of the most,0.91283858,0.600s,0.200s,now,1,en-us,29.977823s
77,0.80133468,no you may begin okay so I think I will start with the fact that Korea is a developed country and the members of you and community members of United Nations and it's also one of the countries who which sign Refugee studies International Convention I think Korea has a duty to take part in the global effort to deal with this yam and civil Civil War which has been saved as a one of the most,0.66181749,0.600s,0.200s,no,2,en-us,29.977823s
154,0.88526601," one of the worst human who met humanitarian crisis ever experienced in the 20th 21st century and I think Korea so far participate on a little compared to other countries such as Malaysia about 20,000 refugees stayed four 99-year in Malaysia and also in Germany there about hundreds thousands of refugees so I'll start with that and",0.91283858,30.200s,30.100s,one,1,en-us,59.995738s
211,0.74843198," one of the worst human human humanitarian crisis ever experienced in the twenty eighth twenty first century and I think Korea so far participate on a little compared to other countries such as Malaysia about 20,000 refugees State four 99-year in Malaysia and also in Germany there about hundreds of thousands of refugees so I'll start with that and",0.91283858,30.200s,30.100s,one,2,en-us,59.995738s
270,0.85950089, I also believe that public people of Korea mostly use fear and intuition in judging the issue and government have a responsibility to stick with the objective of that and deal with it more responsibly I think I'll stop them,0.91283858,60.800s,60.700s,I,2,en-us,80.101226s
310,0.82900846, I also believe that public people of Korea mostly use fear and intuition in judging the issue and government have a responsibility to stick with their objective data and deal with it more responsibly I think I'll stop there,0.91283858,60.800s,60.600s,I,1,en-us,80.351792s
349,0.89248288, here I partly agree with your idea and it's not like I'm saying I'm totally against accepting people from you man and he took an example of Malaysia and Germany but you have to consider that like cultural and the sentiment is really kind of different because you know Korea is like in your slowly opening up to mulch Multicultural Concepts and all that so people here are very slow conservative about all these issues so I'm not saying that we,0.8304202,82.700s,82.100s,here,2,en-us,112.143721s
430,0.88018584, yeah I partly agree with your idea and it's not like I'm saying I'm totally against accepting people from you man and you took an example of Malaysia and Germany but you have to consider that like cultural and the sentiment is really kind of different because you know Korea is like you know slowly opening up to mulch Multicultural Concepts and all that so people here are very slow conservative about all these issues so I'm not saying that we,0.91283858,82.900s,82.400s,yeah,1,en-us,112.143721s
511,0.86335838, of this whole like humanitarian approach to accepting people but aside from that we should have like legal institutions and systematic approach to how to stack people and sort of like integrate these people into the community so that should be the first assignment in Korean government and I'm not saying that we should just stop accepting all those people because of fear and intuition and xenophobic phobic is definitely not tolerated but there are aside from that there are many problems,0.91283858,112.400s,112.200s,of,2,en-us,142.121544s
593,0.79766774, of this whole like humanitarian approach to accepting people but aside from that we should have like legal institutions a systematic approach to how to stack people and sort of like integrate these people into the community so that should be the first assignment in Korean government and I'm not saying that we should just stop accepting all those people because of fear and intuition and xenophobic phobic is definitely not tolerated but there are aside from that there are many problems,0.91283858,112.400s,112.200s,of,1,en-us,142.121544s
675,0.82777876, in Korea as well which are happening in this country and you know the priority of Korea should be Korean people first so we should put Korean people first and there are diminished I heard that there are diminishing rate of Tours because there are many young men people there so people kind of feel like well this is not Korea so yes so I think we should consider accepting them,0.91283858,142.400s,142.100s,in,2,en-us,171.267486s
746,0.80705017, in Korea as well which are happening in this country and you know the priority of Korea should be Korean people first so we should put Green People First and there are diminished I heard that there are diminishing rate of Tours because there are many young men people there so people kind of feel like well this is not Korea so yeah so I think we should consider accepting them,0.91283858,142.400s,142.100s,in,1,en-us,171.267486s
817,0.87701082, in systematic manner not just accepting them and humanitarian,0.85758066,172.400s,172s,in,1,en-us,177.301136s
826,0.86371303, in systematic manner not just accepting them and humanitarian,0.91283858,172.400s,171.900s,in,2,en-us,177.321182s
835,0.88914359, okay so I think many of the problems like economic problems Etc when related to the Yemen issue I think it's blown out of proportion because right now the Yemen refugees are only about 500 and it's not going to affect too much into the Korean economy and I think increasing it is it's not going to affect too much into the big scale of the Korean economy and also I have doubt that,0.91283858,179.900s,179.500s,okay,1,en-us,209.203314s
909,0.78924203, okay so I think many of the problems like economic problems Etc when related to the Yemen issue I think it's blown out of proportion because right now the Yemen Refugee is only about 500 and it's not going to affect too much into the Korean economy and I think increasing it it's not going to affect too much into the big scale of the Korean economy and also I have doubt that,0.91283858,179.900s,179.500s,okay,2,en-us,209.233382s
982,0.73049712, the tourists is affected like tourists Jeju Island to is going to judge you island is affected because there are more young people because again the numbers only 500 and also,0.91283858,210.400s,209.900s,the,2,en-us,221.831885s
1013,0.67771477, the tourists is affected like tyr's Jeju Island to is going to judge your island is affected because there are more young people because again the numbers only 500 and also,0.91283858,210.300s,209.900s,the,1,en-us,221.871976s
1044,0.83467168, I think I heard also the case where there is a murder like a corpse is found and it's like people are saying well this is because of the refugee and everything but it turns out to be false so I think yeah many of these issues are blown out of proportion,0.91283858,223.600s,223.500s,I,2,en-us,241.766988s
1096,0.83061135, I think I heard also the case where there's a murder like a corpse is found and it's like people are saying well this is because of the refugee and everything but it turns out to be false so I think yeah many of these issues are blown out of proportion,0.91283858,223.600s,223.500s,I,1,en-us,241.967441s
1148,0.89048749, yeah I think in a condemnation tore them without any you know sort of justifiable reason is not acceptable and you said it's a slow proportion and maybe it is it is small portion proportionate absolute number but I think how people actually feel feel about the number is not small because Korea is not really that,0.91283858,245.500s,241.900s,yeah,2,en-us,271.905174s
1205,0.71804553, yeah I think you know condemnation tore them without any you know sort of justifiable reason is not acceptable and you said it's a slow proportion and maybe it is it is small portion proportionate absolute number but I think how people actually feel feel about the number is not small because Korea is not really that acquainted with you know sort of like living together with people,0.91283858,245.700s,245.300s,yeah,1,en-us,274.911977s
1273,0.9059999, Tidwell you know sort of like living together with people from different cultures and all that so I'm not and also I read in the news article that there are not like enough like shelter and like system systems I can actually provide them provides them like comfort and safety so we should so maybe it's a small proportion but for now everything is sort of drastic and too soon for Koreans to actually come up with a graph,0.91283858,272.500s,271.900s,Tidwell,2,en-us,301.882997s
1352,0.82614249, from different cultures and all that so I'm not and also I read in the news article that there are not like enough like shelter and like system systems I can actually provide them provides them like comfort and safety so we should so maybe it's a small Port proportion but for now everything is sort of drastic and too soon for Korean sexually come up with resolutions to accept more people so I think,0.91283858,275.100s,275s,from,1,en-us,304.889800s
1427,0.84501916, solutions to accept more people so I think maybe slowly accepting them is okay for people to actually get used to their culture and all that and sort of get over the you know hatred and fear to just you know kick kick kick them out of the country so that is acceptable and I I sort of agree with people fear because in cases like Germany Peach Germany actually assess accepted a lot of refugees,0.76797962,302.400s,301.900s,solutions,2,en-us,331.900912s
1503,0.79447198, think maybe slowly accepting them is okay for people to actually get used to their culture and all that and sort of get over the you know hatred and fear to seeing a kick kick them out of the country so that is acceptable and I I sort of agree with people fear because in cases like Germany P Germany actually assess accepted a lot of refugees and you know like cases where like,0.91283858,305.100s,304.900s,think,1,en-us,334.907715s
1577,0.74381888, you know like cases where like people from Siberia like mert like right Germany girls like saying that it's like Collective rate like called tacos so sort of cases they that people get from Korean people get from like news sort of threatens and so you I think it's I think it's it's bad to just you know blame them without any reason but I also I think I can under as a Korean,0.91283858,332.400s,332.200s,you,2,en-us,362.029076s
