,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.83158004,okay so which I'm trying to argue against the yemeni refugees coming Korea I think the strongest point that I can make is practically speaking the resources high in South Korea is not big enough to take in any more foreigners and calligraphers so if they're coming for a tourist purpose they're actually being Spenders their customers so they're actually increase,0.91283858,4.200s,3.700s,okay,1,en-us,30.278504s
61,0.83538342,okay so which I'm trying to argue against the yemeni refugees coming hurry up and think the strongest point that I can make is practically speaking the resources high and South Korea is not big enough to take in any more foreigners and for labor force so if they're coming for a tourist purpose they're actually being Spenders their customers so they're actually increase,0.91283858,4.200s,3.700s,okay,2,en-us,30.298549s
125,0.79434931,resource pie with Korea but then the thing is these people are coming in as refugees he wants to be letting so labor force or thing is the unemployment rate in Korea is like 3% and then the young adult unemployment rate is shoots up to an eight point eight percent so that really means that young people are having a hard time finding jobs in other words I keep on going back to the point saying we don't have a large in a resource,0.91283858,30.800s,30.300s,resource,1,en-us,59.203946s
210,0.73873907,resource high with Korea but then the thing is these people are coming in as refugees they want to be letting as a labor force or thing is the unemployment rates in Korea is like 3% and then the young adult unemployment rate is shoots up to an eight point eight percent so that really means that young people are having a hard time finding jobs in other words I keep on going back to the point saying we don't have a large in our resource plan,0.61385679,30.800s,30.300s,resource,2,en-us,59.223991s
297,0.91283852, so if we were to take in laborers,0.91283858,60.200s,59.700s,so,2,en-us,63.062676s
305,0.88893664, so if we were to take in laborers,0.91283858,60.200s,59.700s,so,1,en-us,63.072699s
313,0.68038559, we're sorting that they were taking away more of the pie which would even increase the crisis between young adults and the already employed labor force also then other point we can make is these people are looking for cheaper or they're looking for these simple laborers from people but then the thing is even that has become a problem within the current government because the lowest possible wage,0.91283858,64.400s,64s,we're,2,en-us,92.158504s
382,0.72394919, we're sorting that I were taking away more of the pie which would even increase the crisis between young adults and the already employed labor force also then another point we can make is these people are looking for cheaper or they are looking for these simple laborers paying people for but then the thing is even that has become a problem within the current government because the lowest possible wage,0.91283858,64.400s,64s,we're,1,en-us,92.168527s
453,0.91283852," the primary wage has gone up to almost 10,000",0.91283858,93s,92.900s,the,2,en-us,96.408119s
462,0.84934908," the primary wage has gone up to almost 10,000",0.91283858,93s,92.900s,the,1,en-us,96.448210s
471,0.85494351, so a lot of young people are trying to get into these cheap laborers to if he stays in other words they're practically is no bottom fruits that these refugees can get into and therefore don't have space for these people,0.91283858,97.700s,97.400s,so,1,en-us,112.684945s
512,0.83436704, so a lot of young people are trying to get into these cheap laborers to if these days in other words they're practically is no bottom foots that these refugees can get into and therefore you don't have space for these people,0.91283858,97.700s,97.400s,so,2,en-us,112.694967s
554,0.91283858, that's it,0.91283858,113.600s,113.400s,that's,1,en-us,114.739593s
