,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.84681356,we'll start now okay in my opinions about your Refugee from Gmail in South Korea at Jeju Islands I think that is would be have some positive benefits if the Korean government letter reality into the country with some restrictions,0.91283858,0.900s,0.600s,we'll,1,en-us,25.778322s
40,0.78812301,don't start now okay in my opinions about your Refugee from Yemen in South Korea at Chatham Islands I think that is would be have some positive benefits if the Korean government leader Reggie into the country with some restrictions,0.73821491,0.900s,0.600s,don't,2,en-us,25.948708s
80,0.67115831, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,0.91283858,27.400s,26.800s,and,2,en-us,41.594105s
97,0.65925807, and more over than that the Koreans has already decided to un Refugee convention in 1991 22,0.91283858,27.400s,26.800s,and,1,en-us,41.654241s
114,0.81649184, to approve or to guarantee the status of refugee in the state something like that and also to compare to another country in European country like Germany does have two more very crisis in the refugee problems or issues more than seven hundred thousands but in Korean degree,0.91283858,42.800s,42.700s,to,2,en-us,72.063040s
162,0.86648917," to approve or to guarantee the status of refugee in the state something that has and also to compare to another country in Europe and Country like Germany does have more very crisis in the refugee problems or issues more than 700,000 but in Korean agreement is",0.91283858,42.800s,42.700s,to,1,en-us,72.443901s
209,0.67764062, veggies is only 550 people solar the first thing that I think the Korean government should accept this group of refugees,0.39031893,72.800s,72.500s,veggies,1,en-us,83.057914s
230,0.7036531, geez is only 550 people so it is the first thing that I think the Korean government should accept this group of refugees,0.47254488,72.800s,72.500s,geez,2,en-us,83.098006s
253,0.70414257, okay yeah that I agree with you with that okay Korean does sign convention in 1991 but,0.91283858,86.900s,86.300s,okay,2,en-us,96.498324s
270,0.84842211, okay yeah that I agree with you with that okay Korean just side of convention in 1991 but,0.91283858,86.900s,86.300s,okay,1,en-us,96.558459s
288,0.87475264, I just think that it's like a special case for the Koreans who have like their their body instigate like with the XO phobia sometimes and they're just like care about the conditioned living so I think if you think about your population first and there are some so very that have already so way that they are more proposed proportion of Korean population so I just,0.91283858,97.400s,97.300s,I,1,en-us,126.897099s
355,0.88071185, I just think that it's like a special case for the Koreans who have like their their bodies the is like with the XO phobia sometimes and they're just like care about the conditioned living so I think if you think about your population first and there are some so very that have or these away that there are more populous proportion of Korean population so I just,0.91283858,97.400s,97.300s,I,2,en-us,126.897100s
423,0.71747935, thing that if you just do four,0.6078251,127.900s,127.500s,thing,1,en-us,132.138958s
430,0.51967484, I think that if you just do four,0.36182031,127.700s,127.600s,I,2,en-us,132.199095s
438,0.89288586, follow the convention is not the best way to be the good just for the country but you have to look and take care of your relation also so it's just like,0.91283858,133.600s,133.200s,follow,1,en-us,145.679593s
470,0.89289218, follow the convention is not the best way to be the good just for the country but you have to look and take care your place and also it was like,0.91283858,133.600s,133.300s,follow,2,en-us,145.689617s
501,0.91283858, if you,0.91283858,147.100s,146.900s,if,1,en-us,148.445852s
503,0.91283858, if you,0.91283858,147.200s,146.900s,if,2,en-us,148.465898s
505,0.91283858, listen your people first,0.91283858,150.200s,149.700s,listen,1,en-us,152.104129s
509,0.91283858, listen your people first,0.91283858,150.200s,149.700s,listen,2,en-us,152.124175s
513,0.88382757, it will be good so I think it's not good if we accept all yemenis gratuities at Jeju Island yeah,0.91283858,153.200s,152.900s,it,1,en-us,162.056646s
533,0.72193283, it will be good so I think is not do it if we accept all yemenis refugees at they dryer yea but I think in do appropriate of the other refugees in Korean bioderma Co tested actually it's just 2.4% from 1994 the sin that is the first time that Korea and South Korea and,0.91283858,153.200s,152.900s,it,2,en-us,182.623178s
588,0.73828775, but I think do appropriate of the refugees in Korean butter with your vested actually is just 2.4% from 1994 the sin that the first time that Korea and South Korean government except the a refugee and but,0.91283858,163.100s,162.600s,but,1,en-us,187.824945s
626,0.8425113, except the a refugee and but actually it's fun up to none up until now the government also consider voice of the South Korean citizens and by that by the consider that they requirement already put their dmn citizen remains traveler a citizen that want to come in to Curry,0.91283858,183s,182.700s,except,2,en-us,212.601001s
676,0.89703178, actually it's fun up to none up until now the government also consider walls of the South Korean citizens and by that by the consider that they are requirement already put their game in citizen I already miss traveler or citizen that want to come into Korean have to get some result before but so I think this,0.91283858,188.800s,188.400s,actually,1,en-us,218.103450s
734,0.72600955, Ian have to get some result before but so I think this this is a liar easiest way for now to deal with this problem and about the signal for beer that you rest I think this studying that if Korean want to be in the Lea Archery internationalized Country or developed country we have or the government have,0.91283858,212.900s,212.600s,Ian,2,en-us,242.618916s
793,0.8861838, this is a slider easiest way for now to deal with this problem and about the signal for beer that you rest I think this stating that if Korean want to be in the Lea Archery internationalized Country or developed country we have or the government's have to educate the currency teaching people how to living in a globalization work,0.91283858,218.600s,218.300s,this,1,en-us,247.900865s
853,0.74775738, the characters currency to seven people how to living in a globalization work,0.91283858,242.700s,242.700s,the,2,en-us,247.910888s
866,0.91283858, okay so,0.91283858,251.400s,250.800s,okay,1,en-us,252.340911s
868,0.91283858, okay so,0.91283858,251.300s,250.700s,okay,2,en-us,252.381002s
870,0.75607157, I just put at this right Arisa topics now first it's like you say Korean government has put the human to the result list but it's like if you have like another countries or like Outsider just do like this again so it's just like,0.91283858,253.400s,253.300s,I,1,en-us,276.756149s
915,0.77855194, I just put the SS right away sir topics now first it's like you say Korean government has put the human to the result list but it's like if you have like another country's or like a cider just do like this again so it's just like,0.91283858,253.400s,253.300s,I,2,en-us,276.826309s
962,0.78019863, but the road is Commander being a refugee yeah it's like if some countries is like want to be refugees and comes and do like the yemenis as I think that if they just put the country in the list is not the best way this is the easiest way that yes but it's not the best one it's like,0.91283858,277.800s,277.400s,but,1,en-us,297.432930s
1022,0.91235113, Commander being a refugee yeah it's like if some countries just like want to be their equities and comes and do like the yemenis as I think that if they just put the country in the list is not the best way it was the easiest way that yes but it's not the best one it's like,0.91283858,279.400s,278.400s,Commander,2,en-us,297.442953s
1079,0.91283852, if the there are a lot so the bezel is like too long and it's not good for the image also yeah and to like,0.91283858,298.700s,298.500s,if,1,en-us,310.462408s
1104,0.91283852, if the there are a lot so the bezel it is like too long and it's not good for the image also yeah and to like,0.91283858,298.800s,298.500s,if,2,en-us,310.793157s
1130,0.91023934, we don't know like if we accept refugee,0.91283858,312s,311.900s,we,1,en-us,318.941592s
1138,0.91283852, we don't know like if we accept the refugee,0.91283858,312s,311.900s,we,2,en-us,318.941592s
1147,0.87629038, nothing can guarantee about Korean citizens live security and I think also it's like the Privacy also so I think so,0.91283858,320.100s,319.700s,nothing,1,en-us,334.135969s
1168,0.83865958, nothing can guarantee about Korean citizens life security and I think also is like the Privacy also so I think so yeah I also accept that for this comment about a researcher is and also the some highlighter for receive other citizenship of South Korea and but I think,0.91283858,320.100s,319.700s,nothing,2,en-us,349.470663s
1217,0.69623005, I also accept that for just comment about the wizard is and also the some highlighter for receive other citizenship of South Koreans and but I think for the South Korean so policy of accepting refugees is also already rigorous for that because of the place of acceptance is just only 2%,0.91283858,336.200s,336.100s,I,1,en-us,364.564813s
1269,0.82129508, Florida to South Korea to policy of accepting a refugee is on is also already rigorous for that because of the rest of accepting it just only 2%,0.88718295,350.600s,350.200s,Florida,2,en-us,364.725175s
1297,0.77359784, from there over ten thousand Thirty thousands of people to apply for energy but cannot expect but get the rejection from that and by racing there are there are some requests of petition from the citizens of to the Blue House of Korean and I think the government now considering that to give more deliberate,0.728149,367.400s,367s,from,1,en-us,395.855607s
1352,0.71053022," from there over 10,000 30 thousands of people to apply for really see but cannot expect but get the rejection from that and by raising the rear there are some requests or petition from the citizens of to the Blue House of Korean and I think the government now considering that to give more deliberate",0.91283858,367.400s,367s,from,2,en-us,395.875652s
