,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.91273385,it starts not when you make me did you know how USA become the strongest country in the world that was because of the refugees the USA has started from the refugees of Mayflower in 1620 from the English from the English by the religious religious thing,0.90792853,0.200s,0.200s,it,1,en-us,20.506395s
47,0.78357393,time starts now and you may do you know how USA become the strongest country in the world that was because of the refugees the USA has started from the refugees of Mayflower in 1620 from the English from the English by the religious religious thing,0.91283858,0.200s,0.100s,time,2,en-us,20.536463s
93,0.74166334, in USA we can begin Motown and the city and a country and a United 1313 state or country by the refugees that,0.91283858,21.700s,21.400s,in,1,en-us,33.616055s
116,0.6981023, in USA became a king Motown and the city and the country and the United 3013 state or country by the refugees that,0.91283858,21.700s,21.400s,in,2,en-us,33.646123s
139,0.89049947, they wanted freedom and power without all of the without of English it will form run,0.91283858,35.700s,35.500s,they,2,en-us,43.488390s
155,0.86389917, they wanted freedom and power without of the without of English it was comrade,0.91283858,35.700s,35.500s,they,1,en-us,43.538504s
169,0.60761201, and for a second second chance,0.91283858,45.600s,45.100s,and,2,en-us,48.369434s
175,0.91283852, and for a second second chance,0.91283858,45.600s,45.100s,and,1,en-us,48.369434s
181,0.85018206, they got refugees from the euro,0.91283858,49.300s,49.200s,they,2,en-us,51.666894s
187,0.87915069, they got refugees from the euro,0.91283858,49.300s,49.200s,they,1,en-us,51.696962s
193,0.80746955, drop Italian recipes Italian and Irish for something they wanted job,0.91283858,53.100s,52.700s,drop,2,en-us,60.526940s
204,0.85906696, because of the painting and colony,0.91283858,61.600s,61.200s,because,2,en-us,63.844445s
210,0.78597486, you got it early and refugees Battaglia and Irish for something they wanted job because of the economy and economy,0.91283858,52.700s,52.700s,you,1,en-us,64.425761s
230,0.68295306, without teeth and a Spanish from Mexican stand for their job for money for money and Etc without those things USA has not become or how poor countries and the most powerful country in the world without the Multicultural multi cultural standard for,0.91283858,65.700s,65.300s,without,2,en-us,85.924400s
273,0.77402776, without these are finished and a Spanish from medical staff who are their job for money for money and Etc without those things USA had not become more powerful country and the most powerful country in the world without the Multicultural multi culture of salad bowl,0.91283858,65.700s,65.300s,without,1,en-us,85.934423s
319,0.86980408, the thing,0.86980408,87.900s,87.800s,the,2,en-us,88.820953s
321,0.91283858, the thing,0.91283858,87.900s,87.800s,the,1,en-us,89.031430s
323,0.69755894, the we should pan refugees is closed is perpetually in not logical thing,0.91283858,90.600s,90.400s,the,2,en-us,97.099683s
336,0.80474633, the we should ban refugees is going is perpetually not logical thing,0.91283858,90.600s,90.400s,the,1,en-us,97.189888s
350,0.90055221, I understand your idea but I think the case of USA is a case of 30 of like almost a century ago and it should be up to occur it shouldn't be applicable to now because as you can see if you refer to other examples in countries like European countries like Germany French Greece or turkey they actually face a lot of problems regarding their Refugee because,0.91283858,103.200s,103s,I,1,en-us,128.681135s
418,0.79857022, I understand your idea but I think the case of USA is a case of 30 of like almost a century ago and it should be up like it shouldn't be applicable to now because as you can see if you refer to other examples in countries like European country that Germany French Greece or turkey they actually face a lot of problems regarding their Refugee because,0.91283858,103.200s,103s,I,2,en-us,129.994105s
485,0.85349029, I think Germany and France and Greece have problems but how about turkey turkey is not actually they only put the refugee inside the camp they don't let the few Fuji outside of the camp I didn't even know what the news that turkey has receiving the refugees,0.91283858,130.600s,130.500s,I,1,en-us,146.691883s
533,0.77170843, I think Germany and France and Greece have problems but how about turkey turkey is not actually they only put the refugee inside the camp they don't let the p53 outside the camp I didn't even know what the news that turkey has receiving the refugees,0.91283858,130.600s,130.500s,I,2,en-us,146.852246s
579,0.85565799, except for Syria except for Syria they actually put the if you read the news they actually put a refugee in the candidate they actually warned that they got to release the refugee from the can as a warning sign for like a kind of risk or a threat to the u.s. to the European Union so I believe that they actually have to Refugee and they just use a lot of refugee at one of the threat but I think that's not my main argument,0.91283858,148.300s,147.800s,except,2,en-us,177.581770s
665,0.75036031, except for syrians except for Syria they actually put the if you read the news they actually put a refugee in the camp and they actually warned that they got to doing these the refugee from the camp as a warning sign for like a kind of risk or a threat to the u.s. to the European Union so I believe that they actually have to Refugee and they just use a lot of refugee at one of the threat but I think that's not my main argument,0.91283858,148.300s,147.800s,except,1,en-us,177.581771s
