,results/alternatives/0/transcript,results/resultEndTime
0,the time will start now you can start,4.690612s
1,the time will start now you can start,4.710657s
2, first,6.183991s
3, these refuges came from your men right and they left because the their country had to Terrors and,16.547438s
4, regime was being,18.692290s
5, these refugees came from your men right and they left because the their country at the Terrors and regime was being,18.712336s
6, because they thought the country was dangerous after all and they have nowhere to go and Korea is a developed Nation also part of the United Nations I think they have the responsibility to take in the refugees,33.445669s
7, because they thought the country was dangerous after all and they have nowhere to go and Korea is a developed Nation also part of the United Nations I think they have the responsibility to take in the refugees,33.465715s
8, Es El Paso okay so I'm against the refugee letting the refugee into Jeju Island because first of all they are abusing The Immigrant love which is well first of all judges like a visa-free island so they can stay for 30 days but after that they have to go out but if they challenge for a trial at the court to let them in they can stay for additional 90 days and,62.761996s
9, SL pasta okay so again is the refugee letting the refugee into Jeju Island because first of all they are abusing The Immigrant love which is well first of all judges like a visa-free island so they can stay for 30 days but after that they have to go out but if they challenge for a trial at the court to let them into can stay for additional 90 days and,62.862223s
10, and of Korean government has to provide like food shelter and even for kids they have to provide Public Health Care and education so I think they're kind of abusing that system and second of all I think it's bit premature for both the refugees and Korean people to accept each other for example Yemen is in the Middle East so it's to the culture and like the food in general is,93.000410s
11, and of Korean government has to provide like food shelter and even for kids they have to provide Public Health Care and education so I think they're kind of abusing that system and second of all I think it's bit premature for both refugees and Korean people to accept each other for example Yemen is in the Middle East so it's to the culture and like the food in general is,93.020455s
12, different from Korea so,95.465988s
13, different from Korea so,95.546169s
14, for the Koreans it's hard to understand them and also for the young man is will be quite hard to settle down in Korea so yeah I didn't think there is responsibility for Korea to Lieutenant,108.886351s
15, for the Koreans it's hard to understand them and also for the young man is will be quite hard to settle down in Korea so yeah I don't think there is responsibility for Korea to left I mean,108.886351s
16, oh 2 points she said that they are reducing the law but the question of the debate is whether Korea should accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law so that they can stay in more legally without using the side gates in the law and second you said that Koreans and Muslims are so different that it's it's not realistic that they live together but we have seen many cases in history like Germany and France,140.918823s
17, okay Point she said that they are abusing the law but the question of the debate is whether Korea should accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law so that they can stay in more legally without using the sides gates in the law and the second you said that Koreans and Muslims are so different that it's it's not realistic that they live together but we have seen many cases in history like Germany and France,140.918823s
18, everything thousands of refugees and they have done well and in contrast Korea is only old as Korea only has to accept like 550 refugees which is a very small portion compared to what countries like Germany and France are doing and he said that Muslims will have difficulties settling in Korea but they don't have any choices they chose Korea because,168.611476s
19, everything thousands of refugees and they have done well and in contrast Korea is only old as Korea only has to accept like 550 refugees which is a very small portion compared to what countries like Germany and France are doing and he said that Muslims will have difficulties settling in Korea but they don't have any choices they chose Korea because,168.611476s
20, at least it's better than staying in their home country,172.029209s
21, at least it's better than staying in their home country,172.039231s
22, so,173.743086s
23, so,173.793199s
24, so I think the refugees don't have a choice and it's it's rather an obligation that they stayed here so for the first point of argument is that,188.025399s
25, so I think the refugees don't have a choice and it's it's rather an obligation that they stay here so for the first point of argument is that,188.035422s
26, they are abusing the law and so there was a petition to the blue house where the people were like change the law to not let the Immigrant in and so what the government did was to change the law and excluded your man from Visa free program so from now on except for those 550 people who are all already inside the Jeju Island over Yemen people can come in so from now on it,218.594561s
27, they are abusing the law and so there was a petition to the blue house where the people were like change the law to not not let the Immigrant in and so what the government did was to change the law and excluded your man from Visa free program so from now on except for the 550 people who are all already inside the Jeju Island o Maryam and people can come in so from now on it,218.594561s
28, illegal and second the Franks Germany and yeah I think they should let the immigrants in because when we think about all those crises originated from is from the colonial period when the European countries invaded Africa and set the ruler rulers in their own taste so they have like historical responsibilities to let immigrants in but for example Korea don't have any kind of those connections to military,248.572384s
29, illegal and second difference Germany and yeah I think they should let the immigrants in because let me think about all those crises originated from is from the colonial period when the European countries invaded Africa and set the ruler rulers in their own taste so they have like historical responsibilities to let immigrants in but for example Korea don't have any kind of those connections to military,248.572384s
30, Middle East Country so yeah I don't think there is I think rather than Korea maybe European countries who created all those meds should let those immigrants in,261.150843s
31, Middle East Country so yeah I don't think there is I think rather than Korea maybe European countries who created all those meth should let those immigrants thing,261.180911s
32, right you said that the law makes the refugees movements illegal but the question of the debate is whether that should be legal or illegal so whether the laws are illegal right now is irrelevant from this debate because that's what we are deciding right now whether we should change the laws so that refugees should be accepted into Korea and the second you said that France and Germany are different because they have historic ties to the Muslim countries but,292.431614s
33, right you said that the law makes the refugees movements illegal but the question of the debate is whether that should be legal or illegal so whether the laws are illegal right now is irrelevant from this debate because that's what we're deciding right now whether we should change the laws so that refugees should be accepted into Korea and second you said that France and Germany are different because they have historic ties to the Muslim countries but,292.441637s
34, but Korea also part of the United Nations has signed at the convention so they also have the international obligation to accept refugees when there is a crisis and also,305.761773s
35, but Korea also part of the United Nations has signed at the convention so they also have the international obligation to accept refugees when there is a crisis and also,305.821909s
36, Germany is certainly not accepting the refugees because they have historical responsibilities to Syrian refugees sexually though relationship is very weak between Syria and Germany it's not like Germany and Israel and so but they are accepting the refugees because that's the,324.103270s
37, German is certainly not accepting the refugees because they have historical responsibilities to Syrian refugees sexually though relationship is very weak between Syria and Germany it's not like Germany and Israel and so but they are accepting the refugees because that's the,324.163406s
38," that's the source that's the sort of behavior they must show as a developed country and Korea to is a developed country and it is very capable of accepting 550 refugees when countries like France and Germany are accepting 100,000 refugees every year so I think",343.497148s
39," that's the so it's that's the sort of behavior they must show as a developed country and Korea to is a developed country and it is very capable of accepting 550 refugees when countries like France and Germany are accepting 100,000 refugees every year so I think",343.537238s
40, refugees should be learning,345.992794s
41, refugees should be learning,346.042907s
42, so although they're like 550 people if you make exceptions for those if Yemen crisis that will fertile lead into other immigrants in the future which might probably more and more that's what that's how the European immigrant crisis started and also lots of European countries and lots of European countries most of most of the students are against the refugee because,376.622092s
43, so although they're like 550 people if you make exceptions for those in Yemen crisis that will fertile lead into other immigrants in the future which might come in more and more that's what that's how the European immigrant crisis started and also lots of European countries and lots of European countries most of the most of the citizens are against the refugee because,376.782455s
44, Alters bit different and they cause like social confusion so I think those kind of confusion will be even much larger in Korea because,388.388713s
45, cauldrons bit different and they cause like social confusion so I think those kind of confusion will be even much larger in Korea because the culture itself is two different and also although there is no like confirmation that they actually create like a crime the people in Jeju Island feel like with anger from them even one of my friends who's from Georgia Island always talks about,406.599915s
46, the culture itself is two different and also although there is no like confirmation that they actually create like a crime the people in Jeju Island feel like it's Anger from them even one of my friends who's from Georgia Island always talks about that thing and she sometimes though them and she doesn't want to see those people there so yeah I think if for the,419.007988s
47, about that thing and she sometimes though them and she doesn't want to see those people there so yeah I think it's for the for the Yemen people yeah it is true that we should take care of them for a while but after the crisis settle down they should go back but I'm not sure whether they will try to stake in Korea even further because it is developed country yes I'm bit confused about that,436.617830s
48, for the Yemen people yeah it is true that we should take care of them for a while but after the crisis settle down they should go back but I'm not sure whether they will try to take in Korea even further because it is developed country yes I'm bit confused about that,436.748124s
49," well you have said that French and German people are against a refugees movements and that's because there are so many refugees moving into those countries every year it's about 100,000 refugees were talking about for European cases but for a career it's less than thousand and and I believe they fact of the refugees on Korean Society is much smaller compared to the effect that the refugees are bringing on to the European societies and therefore the",468.439826s
50," well you have said that French and German people are against a refugees movements and that's because there are so many refugees moving into those countries every year it's about 100,000 refugees were talking about for European cases but for a career it's less than thousand and that and I believe they fact of the refugees on Korean Society is much smaller compared to the effect that the refugees are bringing on to the European societies and therefore the",468.459871s
51, and objection will be lower as well and also we have to know that the judge island is a special case because once the refugees moving to the judge Island their economic activities will be limited to those in Jeju Island it will not affect the most parts of Korea and certainly we can therefore conclude that the effect of refugees and Korean societies very low and therefore all these objections against the refugees are very,498.457740s
52, and objection will be lower as well and also we have to know that the judge island is a special case because once the refugees moving to the judge Island their economic activities will be limited to those in Jeju Island it will not affect the most part of Korea and certainly we can therefore conclude that the effect of refugees and Korean societies very low and therefore all these objections against the refugees are very,498.547944s
53, exaggerated with they are based on baseless misconceptions that we Muslims are potential terrorists criminals and,509.673114s
54, a glitch exaggerated with they are based on baseless misconceptions that Muslims are potential terrorists criminals and,509.683137s
55, Korea now has to move from a society where it is misconceptions should no longer have effect on people's minds,518.372797s
56, Korea now has to move from a society where these misconceptions should no longer have effect on people's minds,518.402865s
57, okay so my think about that is that they're not limited to Jeju Island the Muslim people will actually there was a news report by Korean news agency that there was a Facebook group consisted of like 150 Yemen man and five Koreans were five Korean people were brokers who made like a sheep that led the German people moved to the Korean Mainland because at first the judges City whole tried to give,549.392979s
58, okay so my think about that is that they're not limited to Jeju Island the Muslim people well actually there was a news report by Korean news agency that there was a Facebook group consisted of like 150 Yemen man and five Koreans were five Korean people were brokers who made like a ship that led the German people moved to the Korean Mainland because at first the judges City whole tried to give,549.392979s
59, when people drop to the like the fisherman Tom to help the Fisher's catch the fish in the sea but they re they yeah at first they tried to do this job but they insisted that the wage is too low and they made a Facebook group and some of them actually went to Korea Mainland and there was on the news report so I don't think there will be confined to the Jeju Island and also although Korea is a developed developed country in,579.370802s
