,results/alternatives/0/transcript,results/resultEndTime
0,all right first one the state for this accepting this refugees arrived in this especially in many Arab Jesus arrived in Jeju Allah first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,25.888572s
1,Aurora I first want to state for this accepting this refugees arrived in this is Bachelor you many refugees has arrived in Jeju Island first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,25.938685s
2, because right now those refugees are arrived and those refugees arrived in Jeju Island and are under intense examination of whether they are really lawful refugees and their Korean law or not and of course since they well at least they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has currently undergoing this Civil War and we,56.167076s
3, because right now those refugees are arrived and those refugees arrived in jjl and and are under independent examination whether they are really lawful refugees under Korean law will not and of course since they well at least they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has currently undergoing this Civil War we all,56.447711s
4, I know that if I call it says they do have some threats in their own country and yeah we have to of course we have to examine the fact that whether they are really facing thus those threats by themselves in their Nation by person by person but it's all they guaranteed or is their right to be examined fairly under those under those posts,86.144899s
5, that by Common Sense they do have some threats in their own country and yeah we have to of course we have to examine the fact that whether they are really facing thus those threats by themselves and their Nation by person by person but it's all they guaranteed or is their right to be examined very under those under those processes,86.425534s
6, asses and loss,88.830977s
7, stand loss for for Korea being under the UN Refugee Convention as they've just signed they like several tens of years ago they create do have an obligation to fairly examine and if they are lawful but if you have to accept it,106.881816s
8, for for Corey F being under the UN Refugee Convention as they just signed a like cyber tens of years ago they create do have an obligation to fairly examine it and if they are lawful wear it if you have to accept it,106.921907s
9, yeah,115.350977s
10, so overall I like against this accepting the refugees currently in Jeju largely because a lot of the population is not agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house against accepting the refugees and,139.395376s
11, so the overall against this accepting the refugees Furniture Jew largely because a lot of the population is not agreeing to it or accepting it already seven hundred thousand people signed a petition to the blue house against accepting the refugees and,139.465536s
12, the difference I guess when you're talking about xenophobia is there already 2 million foreigners leave living illegally in Korea right now the reason people are against it would be more because these people without visas cannot be accounted for but their actions the country itself because it seems such turmoil it cannot take responsibility for these people therefore they're more reluctant to accepting these people,170.034696s
13, the difference I guess when you're talking about xenophobia is there already 2 million foreigners living illegally in Korea right now the reason people are against it would be more because these people without Jesus cannot be accounted for for their actions the country itself because it's in such turmoil it cannot take responsibility for these people therefore the more we looked into it accepting these people,170.044720s
14, so it's hard to say is racist or xenophobia data to and this there's this General lack of trust of the Korean government especially for the young adults that the Korean government is not particular of its own citizens so it should pay more attention and make sure that it does not own citizens don't feel that the treatment towards refugees are unfair compared to the people who have,200.012519s
15, so it's hard to say is I had a racist or xenophobic attitude and this there's this General lack of trust of the Korean government especially for the young adults that Korean government is not able to take care of its own citizens so it should pay more attention and make sure that it does not own citizens don't feel that the treatment towards refugees are unfair compared to the people who have,200.022543s
16, the nationality and will have citizenship of the country already,203.630705s
17, the nationality will have citizenship of the country already,203.640729s
