,results/alternatives/0/transcript,results/resultEndTime
0,okay let's turn before start maybe you can understand my sentence or statement because and maybe in my slot I'm not very good at English and I'm that blunt so if we can understand that as me yes master I agree with the issue of Germany's Refugee acceptance,30.970068s
1,okay the first are maybe you cannot understand my sentence or statement because and maybe it myself I'm not very good at English and I'm the president so if we can understand that ask me yes I agree with the issue of Germany's Refugee acceptance,30.980091s
2,with main three regions at the fir first I think there's no reason why we have to designate specific country people why a man is how about others or Chinese or Japanese or other East Asian Europeans Americans,54.663674s
3,with main three regions the fir first I think there's no reason why we have to designate specific country people why Yemen is how about others or Chinese or Japanese or other East Asian Europeans Americans,54.673697s
4, so I think there's no proper reason in that issue and second although public opinion is also important but yemenis Refugee Heaven cause critical issues people in Korea in myself,75.210160s
5, so I think there's no proper reason in that issue and second although public opinion is also important but Yemen is Refugee Heaven cause critical issues before you in Korea in myself,75.250250s
6, yeah and finally from a legal point of view Korea is not traditional and classic our nation our nation in Korean I mean joke,90.244173s
7, yeah and finally from a legal point of view Korea is not traditional and classic our nation our nation in Korean I mean joke,90.374468s
8, our country defined in the constitution is a multicultural country if we prohibit them then it is against the Constitution,104.446305s
9, our country defined in the constitution is a multicultural country if we prohibit them then it is against the Constitution,104.506441s
10, Constitution against humble yes so because of these reasons I agree with,115.000183s
11, Constitution beings combo so because of these reasons I agree with,115.130477s
12, Refugee acceptance,118.758686s
13, acceptance,118.768708s
14, first one thing that I couldn't really understand this referring to Chinese and Japanese so like the definition of refugees or like refrigerator supposed to be refugees because they have certain problems in their countries that were or religious problems but then in Japan,155.070841s
15, first one thing that I couldn't really understand this referring to Chinese and Japanese so like the definition of refugees or refuges are supposed to be refugees because they have certain problems in their countries that were or religious problems but then in Japan,155.110931s
16, there are some problems in China and those people can like apply for being Korean refugees but then I don't know about any water or really just problems in Japan so and many other like European countries it's mostly the middle is to confuse that have were and refugees,179.275603s
17, there are some problems in China and those people can like apply for being Korean refugees but I don't know about any water or religious problems in Japan so and many other like European countries it's mostly the middle is two countries that have were and Refugee problem,179.456011s
18, so,183.054152s
19, there,184.938415s
