,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.91283864,time starts now,0.91283858,0.400s,0.100s,time,2,en-us,1.533469s
3,0.91283858, so,0.91283858,2.800s,2.300s,so,2,en-us,3.838684s
4,0.91283858,time starts now so,0.91283858,0.400s,0s,time,1,en-us,3.848707s
8,0.79365736, in my opinion regarding recording the Jeju Island Refugee crisis I I argued that South Korea should help South Korea should I said except these refugees and provide them for humanitarian support as they are great in 1991 convention regarding the status of refugees and I will I will provide,0.91283858,4.800s,4.600s,in,2,en-us,30.869842s
58,0.76126814, in my opinion regarding regarding the Jeju Island Refugee crisis I I argue that South Korea should help South Korea should I sit except these refugees and provide them for humanitarian support as they are great in the 1991 convention regarding the status of refugees and I will I will provide,0.91283858,4.800s,4.600s,in,1,en-us,30.909932s
109,0.82645649, 33 reason for the first of first and foremost South Korea has signed the 1991 conventions on the status of refugees and therefore South Korea should be able to should fully applies to to to act as accordingly to this Refugee convention this is this is especially important since South Korea is fully capable to it's very stable and fully capable to accept,0.91283858,31.800s,31.300s,33,2,en-us,61.048119s
172,0.79916388, 23 reason for the first up first and foremost South Korea has signs the 1991 convergent on the status of refugees and therefore South Korea should be able to should fully applies to to to act as accordingly to this Refugee convention this is this is especially important with in South Korea is fully capable to it's very stable and fully capable to accept,0.72497374,31.800s,31.300s,23,1,en-us,61.058141s
236,0.91283852, very small number of 500 refugees and,0.91283858,61.500s,61.100s,very,2,en-us,64.866758s
243,0.91283852, very small number of 500 refugees and,0.91283858,61.500s,61.200s,very,1,en-us,64.876780s
250,0.83586985, refugees also and South Korea has been locked in sand the political decisions of politicians to change their stance if there is not it's not,0.91283858,66.900s,66.200s,refugees,2,en-us,76.883947s
275,0.77635473, refugees also and South Korea has been locked ins and the political decisions of politicians to change their stands it's very it's not it's not,0.91283858,66.900s,66.200s,refugees,1,en-us,76.914014s
300,0.84077424, following the convention also the yemeni Christ also the yemenis crisis should not be ignored by the International Community and in the sense of many South Koreans who think that you can be ignored refugees only not accepting Berkeley engineering you jeez I know what should not be,0.91283858,78.200s,77.800s,following,1,en-us,106.009842s
348,0.83717072, following the convention also the a mini price also the yemenis prices should not be ignored by the International Community and in the sense of many South Koreans who think that it can be ignored refugees only not accepting with the yemeni with you jeez,0.91283858,78.200s,77.800s,following,2,en-us,106.019866s
393,0.77369225, angered by the international community's no we're not were not accepting refugees only a short title answer to sell that terrified only satisfies the fear-mongering population yet South Korea should get should,0.91283858,106.800s,106.400s,angered,2,en-us,124.802360s
425,0.76975244, angered by the international community's no we don't know certain refugees only a short title answer to self-satisfied only satisfy the fear-mongering population yet South Korea should get should,0.91283858,106.800s,106.400s,angered,1,en-us,124.872518s
454,0.91283822, disagree with your assertions first of all he said that South Korea is fully capable of accepting yemenis refugees I would like to disagree on that point because the nation has seen a dramatic hike in the eighth in the number of refugees from 42 seeking Asylum last year to 519 seeking Asylum this year would the numbers of almost,0.91283858,128s,127.400s,disagree,1,en-us,156.093153s
514,0.88668084, assertions first of all you said that South Korea is fully capable of accepting yemenis refugees I would like to disagree on that point because the nation has seen a dramatic hike in the number of refugees from 42 seeking Asylum last year to 519 seeking Asylum this year which the numbers have almost,0.91283858,130.400s,129.700s,assertions,2,en-us,156.103177s
568,0.80611014, increased by 10 volt LED more than tenfold and Nation probably did not prepared for this dramatic increase and also Korea is known for its homogeneous society majority of Korean citizens don't expect that much racial diversity in their society and they have not received enough education to accept people of different ethnic diversity,0.91283858,157.700s,157.300s,increased,1,en-us,186.973017s
622,0.77303696, increased by 10 volt like more than tenfold and Nation probably did not prepared for this dramatic increase and also Korea is known for its homogeneous society majority of Korean citizens don't expect that much racial diversity in their society and they have not received enough education to accept people of different ethnic diversity,0.70004034,157.700s,157.300s,increased,2,en-us,186.983041s
676,0.84952718, and I believe that such educational and,0.91283858,187.700s,187.500s,and,1,en-us,191.332881s
683,0.87033689, and I believe that such educational and,0.91283858,187.700s,187.500s,and,2,en-us,191.372973s
690,0.81847483, in terms of government subsidy wise such funding should be acquired first before accepting that many refugees because there are potential for racial discrimination and there's also potential for the government not being able to take care of the refugees they accepted because of their because they did not prepare for that many refugees entering the country,0.91283858,192.200s,192.100s,in,1,en-us,215.297099s
747,0.80756807, in terms of government subsidy wise such funding should be acquired first before accepting that many refugees because there are potential for racial discrimination and there's also potential for the government not being able to take care of the refugees they accepted because of their because they did not prepare for that many refugees entering the country,0.91283858,192.200s,192.100s,in,2,en-us,215.337191s
804,0.84753013, and in addition to my position I would like to assert that I would like to bring out the question of the security of locals when we accepted at least to the Jeju Island or there enough policies in hand to secure the,0.91283858,217s,216.400s,and,1,en-us,235.893698s
847,0.80795521, and in addition to my position I would like to assert that I would like to bring out the question of the security of locals when we accept that he used to Jeju Island are there enough policies in hand to secure the,0.91283858,217s,216.400s,and,2,en-us,235.923767s
890,0.91283858, security security of locals and with respect to refugees coming in,0.91283858,237s,236.600s,security,2,en-us,243.861726s
901,0.91283858, security security of locals and with respect to refugees coming in,0.91283858,237s,236.600s,security,1,en-us,243.951929s
912,0.80905867, so I would like to I would like to say something against what you have just argued primarily primarily she's here but she has argued that South Korea isn't over isn't ready to accept these refugees however in considering an economic standpoint and considering how the nation is stable South Korea in terms in terms of these are it is much more capable of accepting refugees than four examples some Nations who have already,0.91283858,245.800s,245.600s,so,2,en-us,274.531114s
986,0.850416, so I would like to I would like to say something against what she have just argued primarily primarily she had what she has argued that South Korea isn't all work isn't ready to accept these refugees however in considering an economic standpoint and considering how the nation is stable South Korea in turn in terms of these already has much more capable of accepting refugees than four examples some Nations who have already,0.91283858,245.800s,245.600s,so,1,en-us,274.551159s
1060,0.79534018, have too many refugees so and the humanitarian state but they at least have a place to eat and to work which many of these refugees have not had the opportunity also shared value that South Korea has two hormones homogeneous and many people face discrimination upon arriving in South Korea however this however there are if there is already a substantial amount of foreign foreign people and especially people with Muslim backgrounds living in South,0.91283858,274.800s,274.600s,have,2,en-us,304.508937s
1136,0.8095594, I've talked to many refugees so and and humanitarian statement they at least have a place to eat and to work which many of these refugees has not had the opportunity also shares argued that South Korea is to hormones homogeneous and many people face discrimination upon arriving South Korea however this power there are if there is already a substantial amount of foreign foreign people and especially people with Muslim backgrounds living in South,0.91283858,274.700s,274.600s,I've,1,en-us,304.528982s
1211,0.83627266, South Korea and and therefore this and there and this amount is much more than the 500 yemeni refugees and also she has argued that they should be accepted after South Korea's ready for accepting refugees however that this means that the 500 yemenis refugees or maybe a huge portion of them like what happened now has has to or we have to only have a temporary status or where either be returned to Yemen how,0.91283858,304.600s,304.500s,South,2,en-us,334.526852s
1287,0.76035833, to Korea as and therefore this and there and this amount is much more than the 500 you have any refugees and also she has argued that they should be accepted after South Korea's ready for accepting refugees however that this means that the 500 yemenis refugees or men or huge portion of them like what has happened now has has to over have to only have a temporary status or rather be returned to Yemen,0.658041,304.600s,304.500s,to,1,en-us,334.546897s
1363,0.74694496, this however they have already paid substantial amount and paid a huge risk for for arriving to South Korea and putting them back is against humanitarian obligations that South Korea has agreed to follow as a developed country,0.91283858,335.100s,334.800s,this,2,en-us,352.146716s
1401,0.84541786, this however they have already paid the potential amount and paid a huge risk for for arriving to South Korea and putting them back is against humanitarian obligations at South Korea has a week to follow as a developed country,0.91283858,335.100s,334.700s,this,1,en-us,352.166761s
1444,0.90365559, I like to disagree on how he said that Korea is economically and economically and just stable in general which is stated Korea is at state of war the war between South Korea and North Korea has not ended since since 1945 the which the war started after World War 2 so which is around that time all the men in Korea go to military are,0.91283858,357.700s,355.900s,I,2,en-us,385.852975s
1510,0.91283822, I like to disagree on how he said that Korea is economically and economically and just stable in general which you stated Korea is that state of war the war between South Korea and North Korea has not ended since since 1945 the which the war started after World War 2 so which is around that time all the men in Korea go to a military our Force our,0.91283858,357.800s,357.700s,I,1,en-us,387.396467s
1579,0.80526143, are required to go to military because of the situation I believe that the situation is hardly stable and also you said that because there are many people of Muslim background in Korea people in Korea are prepared to accept refugees well I would like to say I disagree that with you because,0.91283858,386.400s,385.900s,are,2,en-us,407.562091s
1632,0.77765179, regard to go to military because of the situation I believe that this situation is hardly stable and also you said that because there are many people of Muslim background in Korea people in Korea are prepared to accept refugees well I was like to say I disagree that with you because,0.91283858,388s,387.600s,regard,1,en-us,407.582136s
1684,0.68801618, although there are many people up foreign background in Korea I believe that they have not integrated well into the society well just seeing the kinds of community of the separation between the international population and the Korean population I believe that further education and some campaigning is needed to prepare the Korean citizens to accept those refugees and except on visually different people into their society and in terms of humanitarian,0.91283858,408.600s,408.300s,although,2,en-us,438.041048s
1756,0.85852641, although there are many people of foreign background in Korea I believe that they have not integrated well into the society well just seeing the Christ Community of the separation between the international population and the Korean population I believe that further education and some campaigning is needed to prepare the Korean citizens to accept those refugees and except on racially different people into their society and in terms of humanitarian,0.91283858,408.600s,408.300s,although,1,en-us,438.051071s
1827,0.66045284, Aid I believe that I agree with you that if the Korea has the necessary means they should provide humanitarian Aid however,0.76004857,438.600s,438.100s,Aid,2,en-us,451.722s
1849,0.66738808, Aid I believe that I agree with you that if the Korea has the necessary means they should provide humanitarian Aid however,0.91283858,438.600s,438.100s,Aid,1,en-us,451.762091s
1871,0.83424866, because of the situations that I said beforehand I believe that Korea is not prepared to accept that many refugees and if the nation cannot provide for those refugees they cannot they should not try to accept as refugees if they cannot care for them that well,0.91283858,453.500s,453.200s,because,2,en-us,470.434336s
1918,0.81381232, because of the situations that I said beforehand I believe that Korea is not prepared to accept that many refugees and if the nation cannot provide for those refugees they cannot they should not try to accept as refugees if they cannot care for them that well,0.91283858,453.500s,453.200s,because,1,en-us,470.434337s
1965,0.85553396, so I would like to add some points to what she has are good to begin with she has argued that South Korea is in the very economic very is a very interested in stable Nation considering the war between North Korea and South Korea Korea is in a state of war in Korea it and Korean men are upload jacket military and of course Northeast Asia as a German South Korea North Korea,0.91283858,475.300s,474.800s,so,1,en-us,501.755199s
2039,0.80218989, so I would like to add some points to watch yes all good to begin with she has argued that South Korea is in a very economical very it's a very interested in stable Nation considering the war between North Korea and South Korea Korea is in a state of war in Korea it and Korean men are up like Jack the military and of course Northeast Asia as a journalist South Korea North Korea,0.91283858,475.300s,474.800s,so,2,en-us,501.785266s
