,results/alternatives/0/transcript,results/resultEndTime
0,it starts not when you make me did you know how USA become the strongest country in the world that was because of the refugees the USA has started from the refugees of Mayflower in 1620 from the English from the English by the religious religious thing,20.506395s
1,time starts now and you may do you know how USA become the strongest country in the world that was because of the refugees the USA has started from the refugees of Mayflower in 1620 from the English from the English by the religious religious thing,20.536463s
2, in USA we can begin Motown and the city and a country and a United 1313 state or country by the refugees that,33.616055s
3, in USA became a king Motown and the city and the country and the United 3013 state or country by the refugees that,33.646123s
4, they wanted freedom and power without all of the without of English it will form run,43.488390s
5, they wanted freedom and power without of the without of English it was comrade,43.538504s
6, and for a second second chance,48.369434s
7, and for a second second chance,48.369434s
8, they got refugees from the euro,51.666894s
9, they got refugees from the euro,51.696962s
10, drop Italian recipes Italian and Irish for something they wanted job,60.526940s
11, because of the painting and colony,63.844445s
12, you got it early and refugees Battaglia and Irish for something they wanted job because of the economy and economy,64.425761s
13, without teeth and a Spanish from Mexican stand for their job for money for money and Etc without those things USA has not become or how poor countries and the most powerful country in the world without the Multicultural multi cultural standard for,85.924400s
14, without these are finished and a Spanish from medical staff who are their job for money for money and Etc without those things USA had not become more powerful country and the most powerful country in the world without the Multicultural multi culture of salad bowl,85.934423s
15, the thing,88.820953s
16, the thing,89.031430s
17, the we should pan refugees is closed is perpetually in not logical thing,97.099683s
18, the we should ban refugees is going is perpetually not logical thing,97.189888s
19, I understand your idea but I think the case of USA is a case of 30 of like almost a century ago and it should be up to occur it shouldn't be applicable to now because as you can see if you refer to other examples in countries like European countries like Germany French Greece or turkey they actually face a lot of problems regarding their Refugee because,128.681135s
20, I understand your idea but I think the case of USA is a case of 30 of like almost a century ago and it should be up like it shouldn't be applicable to now because as you can see if you refer to other examples in countries like European country that Germany French Greece or turkey they actually face a lot of problems regarding their Refugee because,129.994105s
21, I think Germany and France and Greece have problems but how about turkey turkey is not actually they only put the refugee inside the camp they don't let the few Fuji outside of the camp I didn't even know what the news that turkey has receiving the refugees,146.691883s
