delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
11442.6,26029.8,11966.8,18941.2,7102.4,16763.8,197137.0,74112.4
10174.429,13281.714,10403.857,7998.0,7307.429,10856.571,231171.143,55633.714
10974.833,10076.167,20975.667,15121.5,10727.0,18249.0,286388.333,30817.333
7258.167,11905.333,16649.333,13147.833,17445.5,19729.833,148471.667,81521.0
7727.333,10835.167,9323.667,6385.5,7007.667,9640.667,231890.167,62447.167
13939.833,53769.667,18036.833,13917.833,11807.833,13249.5,586335.333,204050.333
18718.5,15814.333,22523.167,16501.5,18850.5,23864.0,617148.0,58299.833
7945.667,11799.833,6326.833,7279.667,4228.333,7319.0,209834.167,35315.167
7684.5,29386.333,13047.167,18975.5,8651.0,14140.833,607258.833,253156.833
36423.167,72563.5,32345.0,36214.0,10536.667,20520.333,1189575.5,206492.0
17151.167,22173.667,7813.667,10554.5,7440.333,8365.333,1114464.333,156465.5
35583.5,33897.0,15638.5,50490.5,25349.667,20031.333,890786.667,114164.0
22352.5,57736.5,24498.0,23817.333,9433.667,12163.0,808949.833,175438.167
35217.5,53354.833,26456.833,20887.333,12971.0,21158.0,928607.833,184044.833
19251.0,27464.0,13104.833,14785.667,15452.667,11033.0,648601.0,86401.0
20200.0,45707.5,11415.333,17030.167,14461.333,13420.167,708740.167,354299.333
2207.333,8458.0,14913.333,10958.5,7242.333,12267.833,238231.5,24509.167
18377.667,28286.5,18398.667,23569.5,5214.833,12791.167,806375.0,208064.0
13685.333,17225.333,10955.833,8924.333,9442.333,6673.333,353288.667,110903.333
8930.333,15405.667,10463.5,8657.333,15727.0,14049.333,528701.667,48488.333
6387.833,9369.833,10445.0,6277.0,7663.167,9253.667,383023.833,50620.167
7609.0,16880.333,9224.5,8008.5,6825.833,6289.333,304837.667,69972.0
6301.0,11068.667,8355.833,6255.667,7650.167,4052.667,158086.0,31734.667
19690.5,30170.5,16224.833,19121.0,10298.833,9363.0,361861.833,278075.333
16728.167,26879.833,10553.5,10826.833,8873.833,16875.667,913766.0,100148.333
32246.167,26780.0,20397.667,26263.667,14828.833,34227.833,826981.0,302233.5
14116.0,30815.5,15007.167,16501.333,10001.833,11806.0,1094554.0,197248.333
36831.667,53634.667,19214.167,24454.333,14635.833,28771.0,1043295.167,175609.167
12255.0,19990.333,18287.667,20810.667,21477.667,21147.167,776705.667,118101.0
28210.333,37742.667,20384.333,12297.5,13383.167,33414.0,1121136.667,379513.0
8561.833,16006.333,10879.333,11829.667,6386.167,8066.667,679713.333,49441.333
28993.333,30980.0,10654.833,10816.333,9060.0,16069.0,791099.5,157644.333
12461.667,28259.833,17964.667,16100.833,10464.667,10923.0,1336567.5,287161.5
50522.833,29695.833,20833.333,15748.0,14453.833,22088.833,782978.667,227345.667
22750.667,45580.833,17377.167,17382.167,13019.333,15909.333,445179.5,140140.833
11961.0,27756.0,19738.667,5760.833,15482.667,22584.333,1044324.0,62704.167
10761.167,12198.333,10215.167,7793.667,8413.333,15373.0,314911.333,76308.333
6997.333,22038.667,14315.833,16387.333,12414.333,15878.167,337473.833,48387.167
67180.333,150662.5,33059.833,41894.5,33666.667,50204.833,802061.333,320640.167
60032.833,49925.5,17400.833,19867.0,19752.667,26257.833,601951.5,175678.167
30671.833,55668.667,31408.667,14487.833,17714.333,26708.0,716485.833,151825.833
15920.167,18386.833,12887.167,15568.167,9174.833,10135.0,709094.0,85129.5
32311.167,49392.833,18216.5,14520.667,17819.167,16088.667,812208.667,91759.167
22871.0,50815.5,16966.167,17570.833,11058.833,21472.333,674913.5,163757.167
14465.167,18873.5,12778.333,13617.167,8778.5,13740.833,847767.167,81398.667
19195.0,57501.833,14916.167,13699.5,14793.833,15476.5,376415.333,206037.833
29577.833,29446.667,22552.333,25171.667,19392.833,35007.167,879438.5,440949.0
14030.167,28674.167,18214.5,15318.0,12565.5,17717.333,851842.0,132085.0
4862.667,8240.0,7801.667,7422.333,4999.833,5682.833,132277.5,45135.333
14609.667,11946.333,15185.5,14073.333,9758.667,15075.5,244299.0,67434.5
14132.0,21357.0,14631.286,15303.0,7621.857,12323.571,441074.714,167142.571
16191.8,2944.2,8099.6,4734.4,3369.8,4375.6,274539.4,35623.8
7403.857,15330.571,13208.714,11645.429,6004.714,6408.571,304547.571,69997.714
9872.333,14764.667,10140.167,6881.333,4095.0,6329.833,260562.333,65215.833
6925.0,9653.5,4570.5,6189.333,2942.833,3884.667,398007.0,48733.0
17421.167,13823.667,11903.0,10402.667,9937.0,10959.833,298561.167,65818.333
31455.667,18431.167,20811.167,17527.333,9267.833,13138.0,324723.667,117944.5
37644.0,18381.5,23077.833,16264.5,9117.833,17054.167,445598.667,124539.833
16908.667,16300.667,16377.0,12150.833,7277.5,10326.667,475876.167,56653.833
11753.0,19826.833,11738.0,9447.667,6219.0,10927.667,212746.833,59141.5
11658.833,40870.5,15110.5,16481.667,13093.667,17419.333,786823.667,107450.5
18003.833,37197.833,11714.5,13246.0,6740.167,11615.5,681753.333,120677.167
22211.167,41499.667,24062.167,17001.667,12946.833,20578.5,749148.667,119203.167
10633.5,15720.5,19741.333,14715.667,8461.167,11763.667,1206505.0,120927.333
28158.667,50095.333,18020.5,21556.333,15494.167,16106.667,468639.333,189023.167
48379.0,55214.667,30410.0,32515.0,16293.5,23758.333,807191.667,228817.167
28029.0,38206.167,8930.333,29532.667,17494.833,17651.333,564778.833,170093.167
20250.167,46428.167,15791.5,18589.667,15281.0,23135.167,753578.333,116157.5
81983.0,182182.833,30355.5,53887.667,31109.667,31732.167,1437242.333,300675.167
39882.333,42776.833,17197.833,14918.167,13833.333,15923.5,894943.5,264368.5
31994.5,37164.833,20216.833,26840.0,16936.167,17244.5,1146207.667,239505.167
15460.167,22666.333,29266.167,15196.5,9779.167,10745.0,553559.5,167202.667
23280.5,46771.833,18904.167,18751.0,9649.5,20668.167,826364.167,172664.5
21790.167,27859.5,23771.833,32818.0,9563.167,17613.0,853440.0,146965.0
17661.5,47894.333,13897.833,12793.0,9946.0,13856.0,638092.333,92895.833
27074.5,35221.667,18726.333,12686.5,22124.5,17924.167,802627.167,171503.333
22837.5,11724.667,19951.333,18229.333,13164.0,22843.0,469132.833,55165.5
52115.333,79713.833,52726.5,74855.167,18215.0,28894.0,1363779.167,376513.333
22240.0,84367.333,22244.667,27164.833,16927.833,21673.167,953560.667,305271.0
11292.0,15256.5,16548.167,12976.0,10278.833,15396.167,995406.167,83876.0
13481.0,25263.667,17010.333,34239.5,8521.0,15390.333,982971.0,195059.833
19354.333,18352.833,14399.667,17313.833,6155.0,11033.0,753759.333,129894.167
14927.0,29666.0,20889.5,21180.833,12897.667,32075.333,885718.667,294252.0
26060.333,48263.667,21615.5,9732.333,15671.667,15966.333,1216112.0,221461.833
19362.667,18610.5,10426.333,18878.667,5650.333,14734.333,801494.667,74354.167
9405.333,17161.667,13291.333,11988.333,12060.167,13964.167,619468.667,69479.667
7126.833,31283.833,6048.333,7095.5,3659.833,4997.0,603098.833,55822.333
42854.667,78867.833,23165.0,22726.667,21823.5,25330.5,1398504.0,188008.833
15144.667,23410.0,9268.5,8849.833,7652.167,16427.0,780014.0,104399.5
11983.5,30014.333,6403.333,13446.167,4789.0,5205.333,1026313.333,92769.667
20570.833,23659.833,6849.667,13949.0,3841.5,8934.833,744454.167,93978.5
22952.0,34215.833,11960.333,17534.0,6008.0,13384.5,1129704.333,63303.333
82988.833,73059.833,26415.333,28602.833,22010.667,22445.5,922560.5,347053.833
19874.667,39280.833,16473.833,12445.333,11320.667,17036.0,951526.667,129646.833
17656.333,22412.833,17021.5,16239.0,10712.167,15922.167,799209.667,124304.0
10740.167,18213.5,10121.167,7455.833,8293.833,9771.833,679136.167,98202.167
16367.667,32611.0,17194.0,15997.833,11191.0,17938.333,480711.167,137606.0
17961.833,27109.333,16334.333,10983.5,8823.5,10074.167,681422.333,57697.667
16613.833,26071.833,16045.167,19338.5,7944.5,13303.667,364591.5,140815.333
15299.429,22765.857,9391.714,15040.571,5689.143,8990.571,853438.429,79396.714
3806.667,13738.333,5276.0,5359.667,6027.0,6143.5,369930.167,53821.667
28919.5,37415.5,15355.167,15752.0,13302.667,13044.167,1234307.667,130393.833
26529.667,45989.833,25927.0,25829.833,13348.5,19647.833,363309.5,264202.5
13884.333,13174.167,11637.5,9208.0,5517.167,9268.0,402116.833,48543.167
26281.167,22024.833,21906.5,19389.667,7981.167,12960.167,359572.167,55881.0
30755.5,41426.833,17050.333,23984.167,17785.833,11945.5,523406.0,241326.833
