delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
9131.667,19718.667,7242.167,11729.5,2771.667,3386.5,681798.5,101399.833
12843.0,20998.0,3785.667,8257.333,1299.0,1409.5,895579.667,71237.833
14717.6,12408.6,9481.8,12671.4,3048.4,3636.2,314368.8,95210.8
150493.857,191665.286,40750.286,37948.571,8683.0,24982.571,713270.714,256041.857
5107.667,7643.833,2797.333,4615.167,751.0,953.167,419211.5,33117.833
17473.0,17697.0,9368.0,11421.5,1458.5,2063.167,327718.667,194559.833
27426.0,26636.167,9418.333,12664.5,3263.333,5095.0,618648.167,78574.667
5856.0,8168.5,5703.333,5227.0,1395.167,2126.333,475210.5,46604.5
51681.167,44128.833,27452.333,40460.833,4289.5,8751.0,738676.333,389617.0
11002.333,27002.0,6242.0,9056.5,2509.167,2802.667,435309.5,103841.167
16359.833,39805.167,20934.167,14756.333,4008.0,4972.333,506152.333,144712.667
46803.667,76603.333,23400.667,55395.167,15963.5,19201.833,1145935.667,285138.167
16736.667,46839.667,31879.833,18766.667,6917.0,17317.333,1119138.5,87249.667
11709.167,19485.5,12968.667,11457.333,1088.333,2862.333,1327100.5,74438.333
24377.667,43168.5,9720.167,10131.667,3419.667,3785.5,730086.667,156656.667
77808.333,57023.667,183326.667,58046.333,107975.667,171610.833,1465149.5,370593.333
23075.667,28695.667,19408.833,18430.167,3858.0,5053.5,726125.0,100719.167
40808.667,25798.167,15312.333,17476.333,9102.667,13229.667,1125295.0,151031.667
8562.5,31944.5,8817.667,6925.0,4675.5,6884.833,614459.5,244701.667
20815.833,23961.333,18964.333,14882.5,5414.333,10218.5,675434.0,220553.667
19796.667,30141.0,15424.333,22548.667,3291.667,6184.0,953609.167,110700.0
49829.5,58596.167,35111.667,36877.833,5547.833,12478.333,903285.5,188502.833
30111.167,25992.333,12174.667,15131.333,4641.667,8970.0,1504485.0,188194.333
32582.5,20470.0,18417.167,51637.5,5460.667,6542.667,788714.0,139440.833
70253.333,113822.5,97705.0,80642.167,45278.667,57875.333,924467.333,130503.333
96690.667,72940.5,157804.0,201489.667,27014.167,41154.167,915331.333,414979.667
3034.333,3294.667,11833.167,3530.5,1369.5,3376.333,80206.333,8742.0
18867.0,22681.167,32210.667,15153.167,5351.333,8699.0,674679.0,50158.0
16147.333,11219.667,29751.0,7695.5,4512.833,5875.667,57191.167,30470.333
128567.333,130478.167,93471.5,99473.333,34399.667,53971.833,636769.667,210955.667
