,Unnamed: 0,results/alternatives/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p19,seconds,arousal,valence,happy,angry,nervous,sad,p20,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p19_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p20_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.91273385,it starts not when you make me did you know how USA become the strongest country in the world that was because of the refugees the USA has started from the refugees of Mayflower in 1620 from the English from the English by the religious religious thing,0.90792853,0.2,0.2,it,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,it starts not when you make me did you know how USA become the strongest country,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0
1,1,0.91273385,,0.91283858,0.9,0.2,starts,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,in the world that was because of the refugees the USA has started,,10.0,2.0,2.333,1.0,1.0,2.333,1.0,,10.0,2.0,2.667,1.0,1.0,1.0,1.0
2,2,0.91273385,,0.91283858,1.4,1.1,not,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,from the refugees of Mayflower in 1620 from the English,,15.0,2.0,2.333,1.0,1.0,3.333,1.0,,15.0,2.333,2.667,1.0,1.0,1.0,1.0
3,3,0.91273385,,0.91283858,1.6,1.4,when,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,from the English by the religious religious thing,,20.0,2.0,2.333,1.0,1.0,3.333,1.0,,20.0,2.333,2.667,1.0,1.0,1.0,1.0
4,4,0.91273385,,0.91283858,1.7,1.6,you,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,in USA we can begin Motown and the city and a country,,25.0,2.0,2.333,1.0,1.0,2.333,1.0,,25.0,2.0,2.667,1.0,1.0,1.0,1.0
5,5,0.91273385,,0.91283858,1.9,1.7,make,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,and a United 1313 state or country by the,,30.0,2.0,2.333,1.0,1.0,2.333,1.0,,30.0,2.333,2.667,1.0,1.0,1.0,1.0
6,6,0.91273385,,0.91283858,2.1,1.9,me,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,refugees that they wanted freedom,,35.0,2.0,2.333,1.0,1.0,2.333,1.0,,35.0,2.0,2.667,1.0,1.0,1.0,1.0
7,7,0.91273385,,0.91283858,2.5,2.3,did,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,and power without all of the without of English it will,,40.0,2.0,2.333,1.0,1.0,2.333,1.0,,40.0,2.0,2.667,1.0,1.0,1.0,1.0
8,8,0.91273385,,0.91283858,2.5,2.5,you,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,form run and for a second second,,45.0,2.0,2.333,1.0,1.0,2.333,1.0,,45.0,2.0,2.667,1.0,1.0,1.0,1.0
9,9,0.91273385,,0.91283858,2.9,2.5,know,19,en-us,20.506395,,5.0,2.0,2.333,1.0,1.0,2.333,1.0,,5.0,2.0,2.667,1.0,1.0,1.0,1.0,chance and for a second second chance they got refugees from the euro,,50.0,2.0,2.333,1.0,1.0,2.333,1.0,,50.0,2.0,2.667,1.0,1.0,1.0,1.0
