,Unnamed: 0,results/alternatives/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p23,seconds,arousal,valence,happy,angry,nervous,sad,p24,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p23_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p24_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.91196966,now you may begin okay so I think I will start with the fact that Korea is a developed country and the members of you and community members of United Nations and it's also one of the countries who which signed Refugee studies International Convention I think Korea has a duty to take part in the global effort to deal with this yam and civil Civil War which has been saved as a one of the most,0.91283858,0.6,0.2,now,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,now you may begin okay so I think I will start with,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0
1,1,0.91196966,,0.91283858,1.5,1.4,you,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,the fact that Korea is a developed country and the members of you and community members of United,,10.0,2.667,2.667,1.0,1.333,2.0,1.0,,10.0,2.333,3.0,1.0,1.0,1.667,1.0
2,2,0.91196966,,0.91283858,1.7,1.5,may,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,Nations and it's also one of the countries who which signed,,15.0,2.667,2.667,1.0,1.333,2.0,1.0,,15.0,2.0,3.0,1.0,1.0,1.667,1.0
3,3,0.91196966,,0.91283858,2.2,1.7,begin,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,Refugee studies International Convention I think Korea has a duty to take part in the global,,20.0,2.333,2.667,1.0,1.333,2.0,1.0,,20.0,2.0,3.0,1.0,1.0,1.667,1.0
4,4,0.91196966,,0.91283858,3.4,3.1,okay,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,effort to deal with this yam and civil Civil War which has been saved as,,25.0,2.667,2.667,1.0,1.333,2.0,1.0,,25.0,2.0,3.0,1.0,1.0,1.667,1.0
5,5,0.91196966,,0.91283858,3.9,3.4,so,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,a one of the most one of the worst human who met humanitarian crisis,,30.0,2.333,2.667,1.0,1.333,2.0,1.0,,30.0,2.0,3.0,1.0,1.0,1.667,1.0
6,6,0.91196966,,0.91283858,4.0,3.9,I,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,ever experienced in the 20th 21st century and,,35.0,2.667,2.667,1.0,1.333,2.0,1.0,,35.0,2.0,3.0,1.0,1.0,1.667,1.0
7,7,0.91196966,,0.91283858,4.4,4.0,think,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,I think Korea so far participate on a little compared to,,40.0,3.667,2.667,1.0,1.333,2.667,1.0,,40.0,2.333,3.0,1.0,1.0,1.333,1.0
8,8,0.91196966,,0.91283858,4.6,4.5,I,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,"other countries such as Malaysia about 20,000 refugees stayed four 99-year",,45.0,3.667,2.667,1.0,1.333,2.667,1.0,,45.0,2.333,3.0,1.0,1.0,1.333,1.0
9,9,0.91196966,,0.91283858,4.8,4.6,will,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,in Malaysia and also in Germany there about,,50.0,3.333,2.667,1.0,1.333,2.667,1.0,,50.0,2.0,3.0,1.0,1.0,1.333,1.0
10,10,0.91196966,,0.91283858,5.1,4.8,start,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,hundreds thousands of refugees so I'll start with that and,,55.0,3.667,2.667,1.0,1.333,2.667,1.0,,55.0,2.0,3.0,1.0,1.0,1.333,1.0
11,11,0.91196966,,0.91283858,5.3,5.1,with,23,en-us,29.977823,,5.0,2.0,2.667,1.0,1.333,2.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.667,1.0,I also believe that public,,60.0,3.667,2.667,1.0,1.333,2.667,1.0,,60.0,2.333,3.0,1.0,1.0,1.333,1.0
12,12,0.91196966,,0.91283858,5.4,5.3,the,23,en-us,29.977823,,10.0,2.667,2.667,1.0,1.333,2.0,1.0,,10.0,2.333,3.0,1.0,1.0,1.667,1.0,people of Korea mostly use fear and intuition in judging the issue and government,,65.0,3.667,2.667,1.0,1.333,2.667,1.0,,65.0,2.0,3.0,1.0,1.0,1.333,1.0
13,13,0.91196966,,0.91283858,5.7,5.4,fact,23,en-us,29.977823,,10.0,2.667,2.667,1.0,1.333,2.0,1.0,,10.0,2.333,3.0,1.0,1.0,1.667,1.0,have a responsibility to stick with the objective of that and,,70.0,3.333,3.0,1.0,1.333,2.333,1.0,,70.0,2.333,3.0,1.0,1.0,1.333,1.0
14,14,0.91196966,,0.91283858,5.9,5.7,that,23,en-us,29.977823,,10.0,2.667,2.667,1.0,1.333,2.0,1.0,,10.0,2.333,3.0,1.0,1.0,1.667,1.0,deal with it more responsibly I think I'll stop them,,75.0,3.0,3.0,1.0,1.333,2.333,1.0,,75.0,2.333,3.0,1.0,1.0,1.333,1.0
15,15,0.91196966,,0.91283858,6.4,5.9,Korea,23,en-us,29.977823,,10.0,2.667,2.667,1.0,1.333,2.0,1.0,,10.0,2.333,3.0,1.0,1.0,1.667,1.0,here I partly agree with your idea and it's,,80.0,3.333,3.0,1.0,1.333,2.333,1.0,,80.0,2.333,3.0,1.0,1.0,1.333,1.0
16,16,0.91196966,,0.91283858,6.7,6.4,is,23,en-us,29.977823,,10.0,2.667,2.667,1.0,1.333,2.0,1.0,,10.0,2.333,3.0,1.0,1.0,1.667,1.0,not like I'm saying I'm totally against accepting people from you man and he took an example,,85.0,3.0,3.0,1.0,1.333,2.333,1.0,,85.0,2.0,3.0,1.0,1.0,1.333,1.0
