,Unnamed: 0,results/alternatives/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p13,seconds,arousal,valence,happy,angry,nervous,sad,p14,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p13_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p14_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.79365736, in my opinion regarding recording the Jeju Island Refugee crisis I I argued that South Korea should help South Korea should I said except these refugees and provide them for humanitarian support as they are great in 1991 convention regarding the status of refugees and I will I will provide,0.91283858,4.8,4.6,in,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,in my opinion regarding recording the Jeju Island,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0
1,1,0.79365736,,0.91283858,5.1,4.8,my,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,Refugee crisis I I argued that South Korea should,,10.0,4.0,3.0,1.0,1.667,2.333,1.0,,10.0,2.667,3.0,1.0,1.0,1.0,1.0
2,2,0.79365736,,0.91283858,5.6,5.1,opinion,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,help South Korea should I said except these refugees and,,15.0,4.0,3.0,1.0,1.667,2.333,1.0,,15.0,2.667,3.0,1.0,1.0,1.0,1.0
3,3,0.79365736,,0.91283858,6.6,5.6,regarding,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,provide them for humanitarian support as they are great in 1991 convention regarding,,20.0,4.0,3.0,1.0,1.667,2.667,1.0,,20.0,2.667,3.0,1.0,1.0,1.0,1.0
4,4,0.79365736,,0.91283858,7.4,6.7,recording,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,the status of refugees and I will I will provide 33,,25.0,3.667,3.0,1.0,1.667,2.0,1.0,,25.0,2.667,3.0,1.0,1.0,1.0,1.0
5,5,0.79365736,,0.91283858,7.9,7.4,the,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,reason for the first of first and foremost South Korea has signed the 1991 conventions on the status,,30.0,3.667,3.0,1.0,1.667,2.0,1.0,,30.0,2.667,3.0,1.0,1.0,1.0,1.0
6,6,0.79365736,,0.7618373,9.1,8.5,Jeju,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,of refugees and therefore South Korea should be able to should fully applies to,,35.0,3.667,3.0,1.0,1.667,2.0,1.0,,35.0,2.667,3.0,1.0,1.0,1.0,1.0
7,7,0.79365736,,0.74324149,9.6,9.1,Island,13,en-us,30.869842,,5.0,3.667,3.0,1.0,1.667,2.667,1.0,,5.0,2.667,3.0,1.0,1.0,1.0,1.0,to to act as accordingly to this Refugee,,40.0,3.667,3.0,1.0,2.0,1.667,1.0,,40.0,3.0,2.667,1.0,1.333,1.0,1.0
8,8,0.79365736,,0.91283858,10.1,9.6,Refugee,13,en-us,30.869842,,10.0,4.0,3.0,1.0,1.667,2.333,1.0,,10.0,2.667,3.0,1.0,1.0,1.0,1.0,convention this is this is especially important since South Korea,,45.0,3.667,3.0,1.0,2.0,2.0,1.0,,45.0,3.0,2.667,1.0,1.333,1.0,1.0
9,9,0.79365736,,0.91283858,10.7,10.1,crisis,13,en-us,30.869842,,10.0,4.0,3.0,1.0,1.667,2.333,1.0,,10.0,2.667,3.0,1.0,1.0,1.0,1.0,is fully capable to it's very stable and fully capable to accept,,50.0,4.0,3.0,1.0,2.0,2.0,1.0,,50.0,3.0,2.667,1.0,1.333,1.0,1.0
