,Unnamed: 0,results/alternatives/0/confidence,full_transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,word,results/channelTag,results/languageCode,reult/reultEndTime,p3,seconds,arousal,valence,happy,angry,nervous,sad,p4,seconds2,arousal2,valence2,happy2,angry2,nervous2,sad2,new_words,p3_trans,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,p4_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
0,0,0.83129066,okay so the reason why she's just drove for accepting these refugees because I was also and us before and then you know even even us it's one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university called pencil pencil,0.91283858,5.2,4.8,okay,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,okay so the reason why she's just drove for,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0
1,1,0.83129066,,0.91283858,5.8,5.2,so,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,accepting these refugees because I was also and us before and then,,10.0,1.667,3.0,1.333,1.667,2.0,1.0,,10.0,2.667,3.667,1.333,1.333,2.667,1.0
2,2,0.83129066,,0.91283858,6.3,6.1,the,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,you know even even us it's one of the country that says a lot of refugees from other countries,,15.0,1.667,3.0,1.333,1.667,2.0,1.0,,15.0,3.0,4.0,1.667,1.333,2.333,1.0
3,3,0.83129066,,0.91283858,6.6,6.3,reason,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,than as a foreigner stare like there I was in a,,20.0,1.667,3.0,1.333,1.667,2.0,1.0,,20.0,3.0,4.0,1.333,1.333,2.667,1.0
4,4,0.83129066,,0.91283858,7.2,6.6,why,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,university called pencil pencil and then there are a lot of,,25.0,1.667,2.667,1.333,1.667,2.0,1.0,,25.0,3.0,3.667,1.333,1.333,2.667,1.0
5,5,0.83129066,,0.72681159,7.9,7.2,she's,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,international students and there are a lot of there were a lot of friends who,,30.0,2.0,2.333,1.0,1.333,2.0,1.0,,30.0,2.667,3.667,1.333,1.333,2.667,1.0
6,6,0.83129066,,0.7403757,8.4,7.9,just,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,are from like those Arab or like near Arab countries,,35.0,2.333,2.333,1.0,1.333,2.0,1.0,,35.0,3.0,3.667,1.333,1.333,2.667,1.0
7,7,0.83129066,,0.91283858,9.0,8.4,drove,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,and see like they have a,,40.0,2.0,2.333,1.0,1.333,2.0,1.0,,40.0,3.0,3.667,1.333,1.333,2.667,1.0
8,8,0.83129066,,0.79682034,9.5,9.0,for,4,en-us,30.33864,,5.0,1.667,3.0,1.333,1.667,2.0,1.0,,5.0,2.667,3.667,1.333,1.333,2.333,1.0,lot of issues about getting B's as and getting deported from the country,,45.0,2.0,2.333,1.0,1.333,2.0,1.0,,45.0,2.667,3.333,1.333,1.333,2.667,1.333
9,9,0.83129066,,0.91283858,10.2,9.8,accepting,4,en-us,30.33864,,10.0,1.667,3.0,1.333,1.667,2.0,1.0,,10.0,2.667,3.667,1.333,1.333,2.667,1.0,that was the beginning of this empathy,,50.0,2.667,2.0,1.0,1.667,2.0,1.0,,50.0,2.667,3.333,1.333,1.333,2.667,1.333
10,10,0.83129066,,0.74946851,10.5,10.2,these,4,en-us,30.33864,,10.0,1.667,3.0,1.333,1.667,2.0,1.0,,10.0,2.667,3.667,1.333,1.333,2.667,1.0,about this issue,,55.0,2.667,2.0,1.0,1.667,2.0,1.0,,55.0,2.667,3.333,1.333,1.333,2.667,1.333
11,11,0.83129066,,0.91283858,11.1,10.5,refugees,4,en-us,30.33864,,10.0,1.667,3.0,1.333,1.667,2.0,1.0,,10.0,2.667,3.667,1.333,1.333,2.667,1.0,the painting is that not accepting all these refugees,,60.0,2.333,2.0,1.0,1.667,2.0,1.0,,60.0,3.0,3.0,1.333,1.333,2.667,1.333
12,12,0.83129066,,0.76233304,11.5,11.1,because,4,en-us,30.33864,,10.0,1.667,3.0,1.333,1.667,2.0,1.0,,10.0,2.667,3.667,1.333,1.333,2.667,1.0,of just because they are you know there are a lot of issues like safety,,65.0,2.667,2.0,1.0,1.667,2.0,1.0,,65.0,3.0,2.667,1.333,1.0,2.667,1.333
13,13,0.83129066,,0.91283858,12.7,12.7,I,4,en-us,30.33864,,10.0,1.667,3.0,1.333,1.667,2.0,1.0,,10.0,2.667,3.667,1.333,1.333,2.667,1.0,issues or or maybe like economic problems,,70.0,2.333,2.0,1.0,1.667,2.0,1.0,,70.0,2.667,2.667,1.333,1.0,2.667,1.333
