seconds,arousal,valence,happy,angry,nervous,sad
5.0,3.0,2.667,1.333,1.0,1.667,1.0
10.0,3.333,3.0,1.333,1.0,2.0,1.0
15.0,3.333,2.667,1.333,1.0,2.333,1.0
20.0,3.667,2.667,1.333,1.0,2.333,1.0
25.0,3.333,2.667,1.333,1.0,2.333,1.0
30.0,3.333,2.667,1.333,1.0,2.333,1.0
35.0,3.333,3.0,1.333,1.0,2.333,1.0
40.0,4.0,3.333,1.333,1.0,1.667,1.0
45.0,3.333,3.333,1.333,1.0,1.667,1.0
50.0,3.333,3.0,1.333,1.0,2.0,1.0
55.0,3.333,3.0,1.333,1.0,1.667,1.0
60.0,3.333,3.0,1.333,1.0,1.667,1.0
65.0,3.333,3.0,1.333,1.0,2.0,1.0
70.0,3.333,3.0,1.333,1.0,1.667,1.0
75.0,3.333,3.0,1.333,1.0,1.667,1.0
80.0,3.667,3.0,1.333,1.0,1.667,1.0
85.0,3.333,3.0,1.333,1.0,2.0,1.0
90.0,3.333,3.0,1.333,1.0,2.0,1.0
95.0,3.333,3.0,1.333,1.0,2.0,1.0
100.0,3.333,3.0,1.333,1.0,2.0,1.0
105.0,3.333,3.0,1.333,1.0,2.0,1.0
110.0,3.333,3.0,1.333,1.0,2.0,1.0
115.0,3.333,3.0,1.333,1.0,2.333,1.0
120.0,3.333,3.0,1.333,1.0,2.0,1.0
125.0,3.333,3.0,1.333,1.0,2.0,1.0
130.0,3.333,3.0,1.333,1.0,2.0,1.0
135.0,3.333,3.0,1.333,1.0,2.0,1.0
140.0,3.333,3.0,1.333,1.0,2.0,1.0
145.0,3.333,3.0,1.333,1.0,2.0,1.0
150.0,2.667,2.667,1.667,1.0,1.667,1.0
155.0,2.667,2.667,1.333,1.0,1.667,1.0
160.0,2.667,2.667,1.333,1.0,1.667,1.0
165.0,3.0,2.667,1.333,1.0,1.667,1.0
170.0,3.0,3.0,1.333,1.0,1.333,1.0
175.0,3.0,3.0,1.333,1.0,1.333,1.0
180.0,3.0,3.0,1.333,1.0,1.333,1.0
185.0,3.0,3.0,1.333,1.0,1.333,1.0
190.0,3.0,2.667,1.333,1.0,1.333,1.0
195.0,3.0,2.667,1.333,1.0,1.333,1.0
200.0,3.0,2.667,1.333,1.0,1.333,1.0
205.0,3.0,2.667,1.333,1.0,1.333,1.0
210.0,3.0,2.667,1.333,1.0,1.333,1.0
215.0,3.0,2.667,1.333,1.0,1.333,1.0
220.0,3.333,3.0,1.333,1.0,1.333,1.0
225.0,3.333,3.0,1.333,1.0,1.333,1.0
230.0,3.0,3.0,1.333,1.0,1.333,1.0
235.0,3.0,2.667,1.333,1.0,1.333,1.0
240.0,3.0,2.667,1.333,1.0,1.333,1.0
245.0,3.0,3.0,1.333,1.0,1.333,1.0
250.0,3.333,3.333,1.333,1.0,1.333,1.0
255.0,3.333,3.333,1.333,1.0,1.333,1.0
260.0,3.667,3.333,1.333,1.0,1.333,1.0
265.0,3.667,3.333,1.333,1.0,1.333,1.0
270.0,3.667,3.333,1.333,1.0,1.667,1.0
275.0,3.667,3.333,1.333,1.0,1.333,1.0
280.0,3.667,3.333,1.333,1.0,1.333,1.0
285.0,3.667,3.333,1.333,1.0,1.333,1.0
290.0,3.333,3.333,1.333,1.0,1.333,1.0
295.0,3.667,3.333,1.333,1.0,1.333,1.0
300.0,3.333,3.333,1.333,1.0,1.333,1.0
305.0,3.667,3.333,1.333,1.0,1.333,1.0
310.0,3.667,3.333,1.333,1.0,1.667,1.0
315.0,3.667,3.333,1.333,1.0,1.333,1.0
320.0,3.333,3.333,1.333,1.0,1.333,1.0
325.0,3.333,3.333,1.333,1.0,1.333,1.0
330.0,3.667,3.333,1.333,1.0,1.667,1.0
335.0,3.333,3.333,1.333,1.0,1.667,1.0
340.0,3.333,3.333,1.333,1.0,2.0,1.0
345.0,3.0,3.333,1.333,1.0,1.333,1.0
350.0,3.0,3.333,1.333,1.0,1.333,1.0
355.0,3.333,3.333,1.333,1.0,1.667,1.0
360.0,3.333,3.0,1.333,1.0,1.667,1.0
365.0,3.333,3.0,1.333,1.0,1.667,1.0
370.0,3.333,3.333,1.0,1.0,1.667,1.0
375.0,3.0,3.0,1.0,1.333,1.333,1.333
380.0,3.0,3.0,1.0,1.333,1.333,1.333
385.0,3.0,3.0,1.0,1.0,1.333,1.0
390.0,3.0,3.0,1.0,1.0,1.333,1.0
395.0,3.0,3.0,1.0,1.0,1.333,1.0
400.0,3.0,3.0,1.0,1.0,1.333,1.0
405.0,3.0,3.0,1.0,1.0,1.333,1.0
410.0,3.0,3.0,1.0,1.0,1.333,1.0
415.0,3.0,3.0,1.0,1.0,1.333,1.0
420.0,3.0,3.0,1.0,1.0,1.333,1.0
425.0,3.0,3.333,1.0,1.0,1.333,1.0
430.0,3.0,3.333,1.0,1.0,1.333,1.0
435.0,3.0,3.0,1.0,1.0,1.333,1.0
440.0,3.0,3.0,1.0,1.0,1.333,1.0
445.0,2.667,3.0,1.0,1.0,1.333,1.0
450.0,3.0,3.0,1.0,1.0,1.333,1.0
455.0,3.0,3.333,1.0,1.0,1.333,1.0
460.0,3.0,3.333,1.0,1.0,1.333,1.0
465.0,3.0,2.667,1.0,1.0,1.333,1.0
470.0,3.0,2.667,1.0,1.0,1.333,1.0
475.0,3.0,3.0,1.0,1.0,2.0,1.0
480.0,2.667,3.0,1.0,1.0,2.0,1.0
485.0,3.0,3.0,1.0,1.0,1.667,1.0
490.0,3.0,3.0,1.0,1.0,1.667,1.0
495.0,3.0,3.0,1.0,1.0,1.667,1.0
500.0,3.0,3.0,1.0,1.0,1.667,1.0
505.0,3.0,3.0,1.0,1.0,2.0,1.0
510.0,3.0,3.0,1.0,1.0,1.667,1.0
515.0,3.0,3.0,1.0,1.0,1.667,1.0
520.0,3.0,3.0,1.0,1.0,1.667,1.0
525.0,3.0,3.0,1.0,1.0,1.667,1.0
530.0,3.0,3.0,1.0,1.0,2.0,1.0
535.0,3.0,3.333,1.0,1.0,2.0,1.0
540.0,3.0,3.0,1.0,1.0,1.667,1.0
545.0,2.667,3.0,1.0,1.0,1.667,1.0
550.0,3.333,3.333,1.0,1.0,1.667,1.0
555.0,3.0,3.333,1.333,1.0,1.667,1.0
560.0,3.333,3.333,1.333,1.0,1.667,1.0
565.0,3.333,3.333,1.333,1.0,1.667,1.0
570.0,3.333,3.333,1.333,1.0,1.667,1.0
575.0,3.333,3.333,1.333,1.0,1.667,1.0
580.0,3.0,3.333,1.667,1.0,1.333,1.0
585.0,2.667,3.0,1.333,1.0,1.333,1.0
590.0,3.0,3.0,1.333,1.0,1.333,1.0
595.0,3.0,3.0,1.333,1.0,1.333,1.0
600.0,3.0,3.0,1.333,1.0,1.333,1.0
605.0,3.0,3.333,1.333,1.0,1.333,1.0
610.0,2.667,3.333,1.333,1.0,1.333,1.0
615.0,3.0,3.0,1.333,1.0,1.333,1.0
620.0,3.0,3.333,1.333,1.0,1.333,1.0
625.0,3.0,3.333,1.333,1.0,1.333,1.0
630.0,3.0,2.667,1.333,1.0,1.333,1.0
635.0,3.0,2.667,1.333,1.0,1.333,1.0
640.0,3.0,2.667,1.333,1.0,1.333,1.0
645.0,3.0,2.667,1.333,1.0,1.333,1.0
650.0,3.0,2.667,1.333,1.0,1.333,1.0
655.0,3.0,2.667,1.333,1.0,1.333,1.0
660.0,3.0,2.667,1.333,1.0,1.333,1.0
665.0,3.0,2.667,1.333,1.0,1.333,1.0
670.0,3.0,3.0,1.333,1.0,1.333,1.0
675.0,3.0,2.667,1.333,1.0,1.333,1.0
680.0,3.0,3.0,1.667,1.0,1.333,1.0
685.0,3.333,3.0,1.667,1.0,1.333,1.0
690.0,3.0,3.0,1.333,1.0,1.667,1.0
695.0,3.0,3.0,1.333,1.0,1.667,1.0
700.0,3.333,3.333,1.667,1.0,1.667,1.0
705.0,3.333,3.0,1.667,1.0,1.667,1.0
710.0,3.667,3.0,1.667,1.0,1.667,1.0
715.0,3.333,3.0,1.667,1.0,1.667,1.0
720.0,3.333,3.0,1.667,1.0,1.667,1.0
725.0,3.333,3.0,1.667,1.0,1.667,1.0
730.0,3.333,3.0,1.667,1.0,1.667,1.0
735.0,3.333,3.0,1.667,1.0,1.333,1.0
740.0,3.333,3.0,1.667,1.0,1.333,1.0
745.0,3.333,3.0,1.667,1.0,1.333,1.0
750.0,3.333,3.0,1.667,1.0,1.333,1.0
755.0,3.0,3.0,1.667,1.0,1.333,1.0
760.0,3.0,3.0,1.667,1.0,1.333,1.0
765.0,3.333,3.0,1.667,1.0,1.333,1.0
770.0,3.333,3.0,1.667,1.0,1.333,1.0
775.0,3.0,3.0,1.667,1.0,1.333,1.0
780.0,3.333,3.0,1.667,1.0,1.333,1.0
785.0,3.333,3.0,1.667,1.0,1.333,1.0
790.0,3.333,3.0,1.667,1.0,1.333,1.0
795.0,2.333,3.0,1.667,1.0,1.0,1.0
800.0,2.333,3.0,1.667,1.0,1.0,1.0
805.0,2.333,3.0,1.667,1.0,1.0,1.0
810.0,2.333,3.0,1.667,1.0,1.0,1.0
815.0,2.333,3.0,1.667,1.0,1.0,1.0
820.0,2.333,3.0,1.667,1.0,1.0,1.0
825.0,2.0,3.0,1.667,1.0,1.0,1.0
830.0,1.667,3.0,1.667,1.0,1.0,1.0
835.0,2.333,3.0,1.667,1.0,1.0,1.0
840.0,2.333,3.0,1.667,1.0,1.0,1.0
845.0,2.333,3.0,1.667,1.0,1.0,1.0
850.0,1.667,3.333,1.667,1.0,1.0,1.0
855.0,2.0,3.0,1.667,1.0,1.0,1.0
860.0,1.667,3.0,1.667,1.0,1.0,1.0
865.0,2.0,3.0,2.0,1.0,1.0,1.0
870.0,2.0,3.0,2.0,1.0,1.0,1.0
875.0,2.0,3.0,2.0,1.0,1.0,1.0
880.0,2.0,3.5,2.0,1.0,1.0,1.0
885.0,2.0,3.5,2.0,1.0,1.0,1.0
890.0,2.0,3.5,2.5,1.0,1.0,1.0
895.0,2.0,3.0,2.5,1.0,1.5,1.0
900.0,2.0,3.0,2.5,1.0,1.5,1.0
