seconds,arousal,valence,happy,angry,nervous,sad
5.0,1.3333333333333333,2.6666666666666665,1.6666666666666667,1.0,1.3333333333333333,1.0
10.0,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.0,1.3333333333333333,1.0
15.0,2.0,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,1.0
20.0,2.0,3.0,1.3333333333333333,1.0,1.3333333333333333,1.0
25.0,2.0,3.0,1.3333333333333333,1.0,1.3333333333333333,1.0
30.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
35.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
40.0,2.6666666666666665,3.0,1.3333333333333333,1.0,1.3333333333333333,1.0
45.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0
50.0,3.0,2.3333333333333335,1.3333333333333333,1.0,2.0,1.0
55.0,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.0,2.0,1.0
60.0,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.0,2.0,1.0
65.0,3.0,2.0,1.3333333333333333,1.0,2.0,1.0
70.0,2.6666666666666665,2.0,1.3333333333333333,1.0,1.6666666666666667,1.0
75.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0
80.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0
85.0,3.0,2.6666666666666665,1.6666666666666667,1.0,1.6666666666666667,1.0
90.0,3.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0
95.0,3.0,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0
100.0,2.6666666666666665,3.0,1.6666666666666667,1.0,1.3333333333333333,1.0
105.0,3.0,3.0,1.3333333333333333,1.0,1.3333333333333333,1.0
110.0,2.3333333333333335,3.0,1.3333333333333333,1.0,1.3333333333333333,1.0
115.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
120.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
125.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
130.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
135.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
140.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
145.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0
150.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0
155.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0
160.0,3.3333333333333335,3.0,1.3333333333333333,1.0,1.6666666666666667,1.0
165.0,2.6666666666666665,3.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0
170.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0
175.0,3.0,3.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.0
