delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-1.572,-1.626,-1.558,-1.436,-0.979,-1.225,-2.436,-1.94,5.0,4.333,2.333,1.333,1.0,2.333,1.0
-1.473,-1.445,-1.534,-1.283,-0.37,-0.779,-2.249,-1.68,10.0,4.333,2.333,1.333,1.0,2.333,1.0
-1.65,-1.623,-1.574,-1.416,-0.971,-1.036,-1.552,-1.972,15.0,4.0,2.333,1.333,1.0,2.667,1.0
-1.32,-1.019,-1.392,-1.361,0.254,-0.73,-0.47,-0.889,20.0,4.0,2.333,1.333,1.0,2.667,1.0
-1.741,-1.622,-1.627,-1.468,-1.056,-1.238,-2.768,-2.059,25.0,4.333,2.333,1.333,1.0,2.667,1.0
-1.672,-1.568,-1.59,-1.401,-1.092,-1.267,-2.929,-1.978,30.0,4.0,2.333,1.333,1.0,3.0,1.0
-1.701,-1.583,-1.593,-1.454,-0.896,-1.065,-2.434,-2.018,35.0,4.333,2.0,1.333,1.0,3.0,1.0
-1.434,-1.309,-1.443,-1.156,-0.492,-0.696,-1.812,-1.322,40.0,4.0,2.667,1.333,1.0,2.667,1.0
-1.359,-1.208,-1.507,-1.318,-0.27,-0.596,-1.034,-1.443,45.0,4.0,2.667,1.333,1.0,2.667,1.0
-1.567,-1.387,-1.573,-1.344,-0.423,-0.541,-1.835,-1.782,50.0,4.333,2.667,1.333,1.0,2.0,1.0
-1.255,-1.145,-1.25,-1.275,0.136,-0.262,-0.872,-1.361,55.0,3.667,2.333,1.333,1.0,2.667,1.0
-1.367,-1.227,-1.507,-1.21,-0.055,0.136,-1.55,-1.377,60.0,4.333,2.667,1.333,1.0,2.0,1.0
-0.508,-0.399,-0.329,-1.065,1.844,2.586,-1.069,-1.348,65.0,3.667,2.667,1.333,1.0,2.0,1.0
2.448,2.728,3.13,-0.275,1.82,1.702,-0.632,-0.217,70.0,4.333,3.0,1.333,1.0,2.0,1.0
-0.931,-1.164,-0.907,-0.898,0.749,0.638,1.326,-0.459,75.0,3.667,3.0,1.333,1.0,2.0,1.0
-1.436,-1.079,-1.355,-1.115,-0.476,-0.79,-1.995,-1.335,80.0,3.667,3.0,1.333,1.0,2.0,1.0
