delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-1.288,-1.224,-1.235,-1.237,-0.265,-0.215,-0.913,-1.393,5.0,3.667,3.0,1.0,1.667,2.667,1.0
-1.318,-1.192,-1.363,-1.265,-0.476,-0.774,-0.49,-1.158,10.0,4.0,3.0,1.0,1.667,2.333,1.0
-1.448,-1.409,-1.451,-1.286,-0.433,-0.858,-1.597,-1.751,15.0,4.0,3.0,1.0,1.667,2.333,1.0
-1.497,-0.653,-1.1,-1.031,2.196,0.11,0.473,-1.063,20.0,4.0,3.0,1.0,1.667,2.667,1.0
-1.3,-1.151,-1.372,-1.332,0.226,-0.849,0.942,-1.265,25.0,3.667,3.0,1.0,1.667,2.0,1.0
-1.456,-1.159,-1.468,-1.248,-0.562,0.252,-0.321,-1.073,30.0,3.667,3.0,1.0,1.667,2.0,1.0
-0.457,-0.824,-1.156,-0.685,0.621,-0.072,1.499,-0.767,35.0,3.667,3.0,1.0,1.667,2.0,1.0
-1.453,-1.526,-1.406,-1.277,0.025,-0.729,-1.637,-1.746,40.0,3.667,3.0,1.0,2.0,1.667,1.0
-1.252,-1.102,-1.356,-1.282,0.392,-0.12,-0.752,-1.228,45.0,3.667,3.0,1.0,2.0,2.0,1.0
-1.291,-0.689,-1.45,-1.27,-0.665,-1.046,-0.584,-1.382,50.0,4.0,3.0,1.0,2.0,2.0,1.0
-1.204,-1.072,-1.337,-1.289,0.146,-0.542,-0.502,-1.839,55.0,3.333,3.0,1.0,2.0,1.667,1.0
-1.163,-1.051,-1.384,-1.273,-0.742,-0.637,-0.432,-1.521,60.0,3.667,3.0,1.0,2.0,2.0,1.0
-1.547,-0.892,-1.355,-1.163,-0.103,-0.676,0.622,-1.31,65.0,3.333,3.0,1.0,2.0,2.0,1.0
-1.438,-1.528,-1.511,-1.345,-0.635,-0.987,-1.218,-1.719,70.0,3.0,2.667,1.0,2.0,3.0,1.0
-1.237,-1.384,-1.421,-1.256,-0.432,-0.466,-1.327,-1.628,75.0,3.0,2.667,1.0,2.0,3.0,1.0
-1.233,-1.094,-1.271,-1.15,-0.411,-0.809,-0.728,-1.685,80.0,3.667,2.667,1.0,2.0,2.333,1.0
-0.937,0.088,-1.222,-0.901,-0.028,0.041,-0.793,-1.04,85.0,3.667,2.667,1.0,2.0,3.333,1.0
-1.393,-1.143,-1.326,-1.225,-0.784,-0.986,0.656,-1.731,90.0,3.333,2.667,1.0,2.0,2.667,1.0
-0.387,-0.039,-0.644,-0.717,5.241,3.52,0.854,0.591,95.0,4.0,2.667,1.0,2.0,3.333,1.0
-1.262,-0.886,-1.02,-1.183,2.487,0.244,-0.298,-1.232,100.0,3.0,3.0,1.0,1.667,2.0,1.0
-0.964,-1.043,-1.238,-1.306,-0.189,-0.548,0.116,-1.432,105.0,3.0,3.0,1.0,1.667,2.667,1.0
