delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-1.484,-1.5,-1.494,-1.291,-0.379,-0.438,-1.854,-1.923,5.0,2.333,3.333,1.333,1.0,1.0,1.0
-0.918,0.572,-0.953,-0.948,1.202,0.204,-0.18,-1.022,10.0,2.333,3.333,1.333,1.0,1.0,1.0
-0.801,-0.782,-0.784,-1.13,2.336,1.064,0.456,-1.006,15.0,1.667,3.333,1.333,1.0,1.0,1.0
-1.461,-1.405,-1.341,-1.339,0.318,-0.61,-2.693,-1.926,20.0,1.667,3.333,1.333,1.0,1.0,1.0
-1.561,-1.563,-1.305,-1.275,0.95,-0.535,-2.775,-1.889,25.0,1.667,3.333,1.333,1.0,1.0,1.0
-1.538,-1.215,-1.534,-1.339,0.592,-0.891,-1.973,-1.906,30.0,2.333,3.333,1.333,1.0,1.0,1.0
-0.391,-0.133,-0.563,-0.942,2.141,2.94,-0.79,-0.653,35.0,2.333,3.333,1.333,1.0,1.0,1.0
-1.578,-1.367,-1.463,-1.311,-0.328,-0.795,-2.983,-1.865,40.0,1.667,3.333,1.333,1.0,1.0,1.0
-1.295,-1.23,-1.069,-1.15,-0.09,0.035,-1.166,-0.57,45.0,1.667,3.333,1.333,1.0,1.0,1.0
-1.432,-1.393,-1.407,-1.384,0.486,-0.518,-2.824,-1.893,50.0,2.0,3.333,1.333,1.0,1.0,1.0
0.451,3.364,2.753,0.832,11.17,7.699,0.205,0.585,55.0,2.667,3.333,1.333,1.0,1.667,1.0
0.904,-0.351,2.429,2.576,3.588,2.445,1.57,0.053,60.0,2.333,3.333,1.333,1.0,1.667,1.0
-1.187,-1.182,-1.172,-1.21,0.363,0.283,-1.561,-1.4,65.0,2.333,3.333,1.333,1.0,1.667,1.0
-1.365,-1.32,-1.389,-1.162,0.471,-0.54,-2.847,-1.738,70.0,1.667,3.333,1.333,1.0,1.667,1.0
-0.844,-1.321,-1.403,-1.071,-0.494,-0.716,-2.569,-1.856,75.0,2.0,3.333,1.333,1.0,1.667,1.0
-1.271,-1.319,-1.311,-1.119,0.363,0.075,-0.117,-1.673,80.0,2.333,3.333,1.333,1.0,1.667,1.0
-1.31,-0.529,-1.1,-1.256,0.84,-0.395,-1.107,-1.434,85.0,2.0,3.333,1.333,1.0,1.667,1.0
-0.999,-1.603,-1.39,-1.263,0.005,-0.581,-0.547,-1.773,90.0,1.667,3.333,1.333,1.0,1.667,1.0
-1.518,-1.317,-1.343,-1.267,-0.243,-0.145,-1.436,-1.804,95.0,3.0,3.333,2.0,1.0,1.667,1.0
-1.139,-0.956,-1.407,-1.176,-0.149,0.419,-0.128,-1.038,100.0,2.333,3.333,2.333,1.0,1.0,1.0
-1.58,-1.384,-1.476,-1.305,-0.339,-0.727,-1.534,-1.697,105.0,2.333,3.333,1.667,1.0,1.0,1.0
-1.111,-1.155,-1.275,-1.14,0.782,0.454,0.86,-0.326,110.0,2.333,3.333,1.667,1.0,1.0,1.0
-1.311,-1.16,-1.402,-1.283,-0.264,-0.573,-2.295,-1.734,115.0,3.0,3.333,1.667,1.0,1.0,1.0
-1.602,-0.894,-1.36,-1.177,-0.221,-0.303,-1.988,-1.518,120.0,3.0,3.333,1.667,1.0,1.0,1.0
-1.508,-1.253,-1.378,-1.279,-0.152,-0.499,-2.185,-1.767,125.0,2.333,3.333,1.667,1.0,1.0,1.0
-0.817,-0.768,-0.886,-1.198,1.583,0.417,-0.506,-1.015,130.0,2.333,3.333,1.667,1.0,1.0,1.0
-1.413,-1.368,-1.46,-1.34,-0.098,-0.142,-0.821,-1.604,135.0,2.333,3.333,1.667,1.0,1.667,1.0
-1.295,-1.112,-1.171,-1.06,1.83,0.17,-1.445,-0.908,140.0,2.333,3.333,1.667,1.0,1.667,1.0
-1.276,-1.239,-1.216,-1.205,0.309,-0.264,-1.403,-1.237,145.0,3.0,3.333,1.667,1.0,1.667,1.0
