delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-1.593,-1.363,-1.53,-1.325,-0.855,-1.119,-0.827,-1.567,5.0,1.667,3.333,1.667,1.0,1.333,1.0
-1.515,-1.34,-1.603,-1.377,-1.094,-1.306,-0.115,-1.743,10.0,2.0,3.333,1.667,1.0,1.333,1.0
-1.476,-1.493,-1.483,-1.311,-0.81,-1.096,-2.051,-1.603,15.0,1.667,3.333,1.667,1.0,1.333,1.0
1.364,1.704,-0.828,-0.937,0.106,0.921,-0.722,-0.667,20.0,1.667,3.333,1.667,1.0,1.333,1.0
-1.677,-1.578,-1.623,-1.431,-1.184,-1.349,-1.702,-1.965,25.0,2.0,3.333,1.667,1.0,1.667,1.0
-1.419,-1.399,-1.486,-1.33,-1.068,-1.244,-2.007,-1.025,30.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.21,-1.239,-1.485,-1.312,-0.775,-0.958,-1.038,-1.7,35.0,2.667,3.333,1.333,1.0,2.0,1.0
-1.662,-1.569,-1.562,-1.422,-1.079,-1.238,-1.516,-1.886,40.0,3.0,3.333,1.333,1.0,2.0,1.0
-0.703,-0.927,-1.107,-0.9,-0.608,-0.613,-0.638,0.111,45.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.554,-1.233,-1.551,-1.365,-0.898,-1.174,-1.649,-1.553,50.0,3.333,3.333,1.333,1.0,2.0,1.0
-1.442,-1.004,-1.243,-1.281,-0.654,-0.969,-1.413,-1.315,55.0,3.333,3.333,1.333,1.0,2.0,1.0
-0.805,-0.348,-1.192,-0.678,1.29,0.375,0.719,-0.497,60.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.434,-0.879,-1.014,-1.221,-0.181,0.197,0.63,-1.65,65.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.539,-1.367,-1.41,-1.329,-1.129,-1.169,1.323,-1.724,70.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.274,-0.944,-1.478,-1.349,-0.75,-1.082,-0.666,-1.245,75.0,3.0,3.333,1.333,1.0,2.0,1.0
-0.157,-0.697,2.159,-0.639,16.254,14.771,1.783,0.001,80.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.301,-1.203,-1.275,-1.226,-0.678,-0.962,-0.68,-1.571,85.0,3.0,3.333,1.333,1.0,2.0,1.0
-0.93,-1.254,-1.361,-1.24,0.175,-0.189,0.65,-1.278,90.0,2.667,3.333,1.333,1.0,2.0,1.0
-1.605,-1.145,-1.497,-1.397,-0.545,-0.789,-1.052,-0.733,95.0,3.0,3.333,1.333,1.0,2.0,1.0
-1.349,-1.287,-1.285,-1.279,-0.425,-0.474,-0.848,-0.873,100.0,2.667,3.333,1.333,1.0,2.0,1.0
-1.37,-1.177,-1.359,-1.165,-0.77,-0.855,0.078,-1.513,105.0,2.667,3.333,1.333,1.0,2.0,1.0
-0.742,-0.669,-0.946,-0.953,-0.403,-0.26,-0.089,-1.06,110.0,2.333,3.667,1.667,1.0,1.667,1.0
-1.154,-1.251,-1.427,-1.275,-0.551,-0.592,1.914,-1.062,115.0,2.333,3.667,1.667,1.0,1.667,1.0
-1.103,-1.349,-1.296,-0.734,-0.418,-0.821,-0.471,-1.346,120.0,2.667,3.333,1.667,1.0,1.667,1.0
-0.315,0.316,0.365,-0.304,6.058,4.028,-0.019,-1.398,125.0,2.667,3.333,1.667,1.0,1.667,1.0
0.238,-0.414,1.624,1.486,3.088,2.448,-0.049,0.259,130.0,2.667,3.333,1.667,1.0,1.667,1.0
-1.721,-1.656,-1.434,-1.447,-1.083,-1.12,-2.832,-2.107,135.0,3.0,3.333,1.667,1.0,1.667,1.0
-1.389,-1.31,-1.007,-1.275,-0.435,-0.617,-0.851,-1.866,140.0,3.0,3.333,1.667,1.0,1.667,1.0
-1.446,-1.514,-1.059,-1.385,-0.572,-0.884,-2.908,-1.98,145.0,3.0,3.333,1.667,1.0,1.667,1.0
0.905,0.613,0.276,-0.025,4.289,3.659,-0.977,-0.929,150.0,3.0,3.333,1.667,1.0,1.667,1.0
-1.717,-1.658,-1.565,-1.475,-0.612,-0.963,-2.884,-2.071,155.0,3.0,3.333,1.667,1.0,1.667,1.0
-1.677,-1.366,-1.146,-1.36,-0.977,-0.916,-2.441,-1.956,160.0,2.333,3.333,1.667,1.0,1.667,1.0
-1.372,-1.435,-0.994,-1.257,-0.213,0.036,-2.003,-1.666,165.0,2.333,3.333,1.667,1.0,1.667,1.0
0.327,0.531,0.296,-0.048,1.591,2.154,-0.505,-0.537,170.0,2.667,3.333,1.667,1.0,1.667,1.0
-0.823,0.136,-0.898,-0.81,-0.44,-0.071,-0.453,-1.209,175.0,2.667,3.333,1.667,1.0,1.667,1.0
-1.347,-0.856,-1.167,-1.103,-0.186,0.367,0.317,-1.422,180.0,3.333,3.333,1.667,1.0,1.667,1.0
-1.45,-1.425,-1.384,-1.24,-0.682,-0.684,-0.382,-1.636,185.0,2.667,3.0,1.333,1.0,1.333,1.0
-1.545,-1.195,-1.174,-1.201,-0.315,-0.041,-1.581,-1.68,190.0,2.667,3.0,1.333,1.0,1.333,1.0
-1.669,-1.671,-1.178,-1.43,-1.012,-1.247,-3.011,-2.112,195.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.618,-1.422,-1.13,-1.396,-0.766,-0.718,-1.726,-2.011,200.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.631,-1.658,-1.156,-1.372,-0.84,-1.006,-2.496,-1.983,205.0,2.0,3.0,1.333,1.0,1.333,1.0
-0.782,0.17,-0.729,-0.849,1.046,1.848,-0.405,-0.328,210.0,2.0,3.0,1.333,1.0,1.333,1.0
1.64,0.337,1.476,1.183,10.0,6.861,1.191,-0.109,215.0,2.0,3.0,1.333,1.0,1.333,1.0
-1.452,-0.936,-1.318,-1.168,-0.743,-0.656,-0.745,-1.896,220.0,2.0,3.0,1.333,1.0,1.333,1.0
-1.524,-1.449,-1.528,-1.414,-1.144,-1.264,-0.418,-1.836,225.0,2.667,3.667,1.333,1.667,1.333,1.0
-0.732,-0.936,-0.928,-0.743,-0.631,-0.547,0.094,-1.7,230.0,2.667,3.667,1.333,1.667,1.333,1.0
-1.102,-1.073,-1.112,-0.927,-0.415,-0.351,-1.53,-1.716,235.0,2.667,3.667,1.333,1.667,1.333,1.0
-1.389,-1.143,-1.376,-1.156,-0.324,-0.953,-0.193,-1.799,240.0,2.667,3.667,1.333,1.667,1.333,1.0
0.582,-0.935,-0.585,-0.203,7.217,3.483,-0.224,-1.228,245.0,2.667,3.667,1.333,1.667,1.333,1.0
-1.622,-1.363,-1.516,-1.231,-0.84,-1.064,1.097,-1.709,250.0,2.667,3.667,1.333,1.667,1.333,1.0
-0.426,-0.769,0.16,-0.447,2.292,1.284,-1.284,-1.395,255.0,3.0,3.667,1.333,1.667,1.333,1.0
-1.678,-1.622,-1.563,-1.419,-0.914,-0.932,-2.397,-2.05,260.0,3.0,3.667,1.333,1.667,1.333,1.0
-0.134,-1.051,-0.318,-0.928,3.955,4.372,-1.186,-1.678,265.0,3.667,3.667,1.333,1.667,1.333,1.0
0.627,0.097,0.592,0.064,0.271,0.074,1.083,-0.291,270.0,2.0,3.0,2.0,1.333,2.0,1.0
0.352,0.233,0.902,-0.533,6.014,4.932,-0.127,-1.07,275.0,2.0,3.0,2.0,1.333,2.0,1.0
-1.744,-1.687,-1.534,-1.471,-1.172,-1.304,-2.993,-2.112,280.0,2.0,3.0,2.0,1.333,2.0,1.0
-1.577,-1.402,-0.734,-1.322,-0.337,-0.401,-3.046,-2.003,285.0,2.0,3.0,2.0,1.333,2.0,1.0
-1.5,-1.536,-0.694,-1.363,-0.41,-0.701,-3.03,-2.009,290.0,2.0,3.0,2.0,1.333,2.0,1.0
-1.59,-1.598,-0.414,-1.364,-0.323,-0.426,-3.0,-2.067,295.0,2.0,3.0,2.0,1.333,2.0,1.0
-1.537,-1.447,-0.612,-1.325,-0.514,-0.633,-2.597,-1.904,300.0,2.0,3.0,2.0,1.333,2.0,1.0
