delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-0.671,-0.706,-0.65,-0.869,2.792,3.8,2.029,-0.741,5.0,2.667,3.333,1.333,1.0,1.0,1.0
-1.443,-1.362,-1.501,-1.291,-0.409,-0.395,-0.778,-1.734,10.0,2.667,3.333,1.333,1.0,1.0,1.0
-0.859,-0.787,-1.45,-1.195,2.35,-0.089,-1.576,-1.505,15.0,2.667,3.333,1.333,1.0,1.0,1.0
-1.609,-1.429,-1.363,-1.251,1.051,-0.298,-0.805,0.066,20.0,2.667,3.333,1.333,1.0,1.0,1.0
-1.3,-0.986,-1.175,-1.085,0.753,0.514,-0.027,-0.487,25.0,3.0,2.667,1.0,1.0,2.0,1.0
-1.417,-1.341,-1.389,-1.313,1.142,-0.735,-1.574,-1.676,30.0,3.0,2.667,1.0,1.0,2.0,1.0
-1.526,-1.467,-1.259,-1.293,1.195,0.043,-1.876,-0.608,35.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.124,-0.809,-0.997,-1.117,3.289,1.381,0.31,-0.206,40.0,3.0,2.667,1.0,1.0,1.333,1.0
-1.355,-0.835,-1.272,-1.186,1.083,0.352,0.223,-0.621,45.0,2.333,2.333,1.333,1.0,1.0,1.0
-0.58,-1.211,-1.215,-1.152,2.334,1.611,-0.835,-1.33,50.0,2.667,2.333,1.333,1.0,1.0,1.0
-1.348,-1.442,-1.512,-1.329,-0.037,-0.706,-1.575,-1.414,55.0,2.333,2.333,1.333,1.0,1.0,1.0
-1.228,-0.606,-1.229,-1.207,0.642,0.296,-0.661,-0.676,60.0,2.333,2.333,1.333,1.0,1.0,1.0
-1.468,-1.237,-1.478,-1.383,0.005,-0.394,-1.165,-1.225,65.0,2.667,2.333,1.333,1.0,1.0,1.0
-1.281,-0.99,-1.432,-1.249,0.382,-0.511,-0.661,-1.108,70.0,2.667,2.333,1.333,1.0,1.0,1.0
-1.136,-1.392,-1.532,-1.336,0.179,-0.532,-0.562,-1.426,75.0,2.667,2.333,1.333,1.0,1.0,1.0
-1.548,-1.349,-1.464,-1.283,-0.385,-0.902,-1.768,-1.311,80.0,2.333,2.333,1.333,1.0,1.0,1.0
-1.377,-0.71,-1.444,-1.275,0.399,-0.401,0.289,-1.328,85.0,2.333,2.333,1.333,1.0,1.0,1.0
-0.36,-0.976,-1.297,-0.612,1.726,0.922,2.028,0.67,90.0,2.333,2.333,1.333,1.0,1.0,1.0
-1.484,-0.792,-1.347,-1.256,1.369,-0.339,0.801,-0.748,95.0,3.0,3.0,1.0,1.0,1.333,1.0
-1.078,-0.97,-1.382,-1.237,0.403,0.1,-0.143,-1.233,100.0,3.0,3.0,1.0,1.0,1.333,1.0
-1.437,-0.803,-1.373,-1.275,0.731,-0.417,-0.254,-1.32,105.0,3.0,3.0,1.0,1.0,1.0,1.0
-1.324,-0.997,-1.479,-1.232,-0.201,-0.541,-1.411,-1.408,110.0,3.0,3.0,1.0,1.0,1.0,1.0
-1.086,-1.103,-1.501,-1.397,-0.018,-0.323,-0.459,-1.734,115.0,3.0,3.0,1.0,1.0,1.0,1.0
-1.176,-1.34,-1.497,-1.392,0.531,-0.35,-0.764,-1.694,120.0,3.333,3.667,1.333,1.0,1.0,1.0
-1.624,-1.571,-1.534,-1.38,-0.289,-0.829,-1.668,-1.647,125.0,3.0,3.667,1.333,1.0,1.0,1.0
