delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,seconds,arousal,valence,happy,angry,nervous,sad
-1.284,-0.795,-1.193,-1.247,0.965,0.836,0.077,-1.456,5.0,2.333,3.333,1.333,1.0,1.333,1.0
-1.157,-1.072,-0.846,-1.24,2.061,2.232,1.405,-0.996,10.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.222,-1.019,-1.381,-1.261,1.088,0.564,-0.168,-1.671,15.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.341,-1.383,-1.472,-1.263,0.324,-0.197,-1.685,-1.746,20.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.459,-1.317,-1.361,-1.311,-0.197,-0.332,-1.674,-1.532,25.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.447,-1.55,-1.551,-1.362,-0.545,-0.875,-0.639,-1.961,30.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.196,-0.689,-0.82,-0.956,1.625,1.814,1.098,-1.524,35.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.107,-0.337,-1.001,-0.798,1.917,2.193,1.74,-0.297,40.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.369,-1.073,-1.162,-1.043,1.348,0.036,-0.913,-0.976,45.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.28,-1.568,-1.166,-1.225,0.393,0.208,0.357,-0.949,50.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.103,-1.052,-1.238,-1.052,0.916,1.125,1.392,-0.685,55.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.446,-1.473,-1.252,-1.237,0.016,0.252,-1.8,-1.598,60.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.49,-1.406,-1.481,-1.338,-0.576,-0.458,-2.023,-1.837,65.0,2.333,3.0,1.333,1.0,1.333,1.0
-1.137,-0.747,-1.114,-1.132,0.303,0.075,-0.812,-1.329,70.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.584,-1.14,-1.351,-1.368,-0.488,-0.682,-1.713,-1.819,75.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.332,-1.19,-1.116,-1.263,-0.118,0.894,-2.553,-1.881,80.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.458,-1.56,-1.406,-1.325,-0.638,-0.788,-2.829,-1.91,85.0,3.0,3.0,1.333,1.0,1.333,1.0
-1.377,-1.086,-1.309,-1.043,1.634,1.329,-0.718,-1.467,90.0,3.0,3.333,1.333,1.0,1.333,1.0
-1.253,-1.277,-1.315,-1.043,0.059,-0.438,-0.319,-1.591,95.0,3.667,3.0,1.333,1.0,1.333,1.0
-0.595,-0.794,-0.795,-0.962,1.109,0.872,-0.724,-1.374,100.0,4.0,3.333,1.333,1.0,1.333,1.0
-0.956,-1.112,-1.378,-1.084,-0.009,0.978,0.269,-1.298,105.0,3.667,3.0,1.333,1.0,1.333,1.0
-0.838,-0.74,-0.965,-1.186,1.564,1.269,0.596,-1.246,110.0,3.667,3.0,1.333,1.0,1.333,1.0
-1.219,-1.466,-1.3,-1.106,1.536,1.413,-1.367,-1.21,115.0,3.667,3.0,1.333,1.0,1.333,1.0
-1.251,-1.219,-1.295,-1.111,1.078,0.279,0.205,-0.898,120.0,3.667,3.333,1.333,1.0,1.667,1.0
-0.593,-0.878,-1.074,-0.926,2.538,3.267,0.512,1.924,125.0,3.667,3.333,1.333,1.0,1.667,1.0
-0.989,-0.696,-1.006,-1.156,1.525,1.378,-1.287,-0.485,130.0,3.667,3.333,1.333,1.0,1.667,1.0
-0.999,-0.734,-1.231,-1.292,0.62,0.189,-1.293,-1.571,135.0,3.333,3.333,1.333,1.0,1.667,1.0
-0.034,0.884,-0.993,-0.81,2.887,3.138,-0.963,-0.366,140.0,3.333,3.0,1.333,1.0,2.0,1.0
-0.69,-0.017,-1.012,-0.916,3.051,2.624,1.351,-0.317,145.0,3.333,3.0,1.333,1.0,2.0,1.0
-1.28,-1.424,-1.34,-1.265,0.202,-0.579,-1.103,-1.761,150.0,3.333,3.0,1.333,1.0,2.0,1.0
-1.244,-1.059,-1.149,-1.22,0.809,1.054,0.457,-0.904,155.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.457,-1.505,-1.441,-1.221,0.052,-0.601,-2.337,-1.729,160.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.509,-1.288,-1.418,-1.279,0.366,-0.357,-1.415,-1.565,165.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.417,-1.191,-1.38,-1.264,0.339,-0.494,-1.254,-1.797,170.0,3.333,3.333,1.667,1.0,2.333,1.0
-1.576,-1.199,-1.422,-1.414,-0.37,-0.228,-0.141,-1.749,175.0,3.333,3.333,1.667,1.0,2.333,1.0
-1.489,-1.006,-1.477,-1.341,0.013,-0.921,-1.091,-1.64,180.0,3.333,3.333,1.667,1.0,2.333,1.0
-1.536,-1.549,-1.501,-1.38,-0.456,-0.452,-1.801,-1.516,185.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.236,-1.421,-1.414,-1.264,-0.772,-0.758,-2.47,-1.839,190.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.401,-1.284,-1.381,-1.404,-0.576,-0.779,-1.844,-1.788,195.0,3.333,3.333,1.667,1.0,2.0,1.0
-1.587,-1.372,-1.567,-1.348,-0.599,-1.011,-2.362,-1.918,200.0,3.667,3.667,1.667,1.0,2.333,1.0
-1.46,-1.508,-1.308,-1.343,-0.695,-0.825,-2.228,-1.683,205.0,3.667,3.667,1.667,1.0,2.333,1.0
-1.234,-1.368,-0.944,-1.118,0.493,-0.172,-0.888,-1.243,210.0,3.667,3.667,1.667,1.0,2.333,1.0
-1.216,-1.245,-1.423,-1.076,-0.625,-0.611,-1.921,-1.83,215.0,4.0,3.667,1.667,1.0,2.667,1.0
-1.632,-1.408,-1.549,-1.433,-0.89,-0.834,-1.403,-1.782,220.0,4.0,3.667,1.667,1.0,2.667,1.0
-1.503,-1.461,-1.487,-1.282,-0.645,-0.718,-2.03,-1.729,225.0,4.0,3.667,1.667,1.0,2.667,1.0
-1.465,-1.272,-1.484,-1.336,-0.299,-0.795,-1.462,-1.819,230.0,4.0,3.667,1.667,1.0,2.667,1.0
-1.518,-1.403,-1.402,-1.305,-0.187,-0.515,-1.191,-1.749,235.0,4.0,3.667,1.667,1.0,2.667,1.0
-1.468,-1.084,-1.252,-1.116,1.094,-0.228,-2.259,-1.386,240.0,4.0,3.667,1.667,1.0,2.667,1.0
-1.083,-1.364,-0.954,-0.952,0.476,0.663,1.001,-0.321,245.0,4.0,3.333,1.667,1.0,2.333,1.0
-1.504,-1.328,-1.282,-1.312,0.366,-0.156,-1.239,-1.403,250.0,4.0,3.333,1.667,1.0,2.333,1.0
-1.378,-1.1,-1.067,-1.189,1.12,0.251,-1.021,-1.665,255.0,4.0,3.667,1.667,1.0,1.667,1.0
-1.243,-1.038,-1.168,-1.105,0.976,0.054,-1.322,-1.283,260.0,4.0,3.667,1.667,1.0,1.667,1.0
-1.065,-0.769,-1.022,-1.276,0.701,0.574,-1.494,-1.359,265.0,4.0,3.333,1.667,1.0,1.667,1.0
-0.372,-0.444,-1.089,-1.052,1.831,0.439,0.255,-0.396,270.0,4.0,3.333,1.667,1.0,1.667,1.0
-1.485,-1.351,-1.35,-1.392,0.147,0.042,-0.76,-1.51,275.0,3.333,3.667,1.333,1.0,1.667,1.0
-1.331,-1.429,-1.296,-1.338,0.649,-0.054,-0.42,-1.566,280.0,2.667,3.667,1.333,1.0,1.333,1.0
-1.206,-0.513,-0.753,-1.08,2.396,0.827,0.583,-0.335,285.0,2.667,3.667,1.333,1.0,1.333,1.0
-1.338,-1.187,-1.398,-1.089,0.058,-0.275,-0.798,-1.239,290.0,2.667,3.667,1.333,1.0,1.333,1.0
-1.397,-0.499,-1.249,-1.061,1.27,-0.018,0.235,-1.148,295.0,2.667,3.667,1.333,1.0,1.333,1.0
-0.615,0.417,-0.618,-0.314,6.91,3.578,1.412,0.755,300.0,2.667,3.667,1.333,1.0,1.333,1.0
-0.776,-0.347,-1.255,-0.851,0.726,0.609,0.347,-1.357,305.0,3.0,3.667,1.333,1.0,1.333,1.0
-1.143,-1.221,-1.079,-0.998,0.591,1.681,-0.235,-1.086,310.0,3.333,3.667,1.0,1.0,2.0,1.0
-1.2,-1.114,-1.063,-0.936,1.526,0.502,-1.357,-1.524,315.0,3.333,3.667,1.0,1.0,2.0,1.0
-1.16,-1.123,-1.244,-1.041,-0.376,0.373,-0.414,-1.491,320.0,3.333,3.667,1.0,1.0,1.667,1.0
-1.574,-1.122,-1.507,-1.155,-0.26,-0.623,-0.908,-1.823,325.0,3.333,3.667,1.333,1.0,1.667,1.0
-1.409,-1.551,-1.484,-1.253,-0.533,-0.722,-1.761,-1.364,330.0,3.333,3.667,1.333,1.0,1.667,1.0
-1.379,-1.012,-1.325,-1.153,-0.323,-0.504,-0.422,-1.174,335.0,3.0,3.667,1.0,1.0,1.667,1.0
-1.357,-1.248,-1.117,-1.192,-0.726,-0.674,-0.844,-1.49,340.0,3.333,3.667,1.0,1.0,1.667,1.0
-1.057,-1.053,-1.226,-1.138,0.131,-0.266,-2.029,-1.142,345.0,3.333,3.667,1.0,1.0,1.667,1.0
-1.623,-1.53,-1.489,-1.238,-0.8,-0.79,-1.784,-1.837,350.0,3.333,4.0,1.333,1.0,1.667,1.0
-1.656,-1.351,-1.388,-1.344,-0.636,-0.71,-1.14,-1.616,355.0,3.333,4.0,1.333,1.0,1.667,1.0
-1.62,-1.603,-1.585,-1.415,-0.956,-1.042,-1.483,-1.766,360.0,3.333,4.0,1.333,1.0,1.667,1.0
