,results/alternatives/0/transcript,results/resultEndTime
0,"and we'll start now so it isn't their third 338,000 Koreans now aged 25 to 34 is now unemployed so I think that the increased number of refugees that came to Korea will",21.157869s
1,"and we'll start now so it isn't that certain 338,000 Korean now aged 25 to 34 is now unemployed so I think that the increased number of refugees that came to Korea will",21.268118s
2, will affect more the unemployment of Korean than it is now so it is already hard for Koreans to find jobs but now the refugee will make the employment of foreign harder,38.627393s
3, will affect more the unemployment of Koreans then it is now so it is already hard for Koreans to find jobs but now the refugee will make the employment of work harder,39.699819s
4, but in my opinion career has been registered as the UN who accept refugees and there also and I think it's their responsibility to accept the refugees and about the,70.740046s
5, but in my opinion Korea has been registered as the UN who accept refugees and there also and I think it's their responsibility to accept refugees and what the,70.760091s
6, I can go like rather than work or office jobs they can do like labor I'm going,93.401316s
7, I think they can do like rather than work or office jobs they can relax labor employment so yeah so I think,96.718822s
8, yeah so I think it's fine,99.254558s
9, but I think they can reconsider their decision because nowadays because of the war the infinite number of refugees increase like,125.203267s
10, I agree but I think they can reconsider their decision because nowadays because of the war a number of refugees in Trace like,125.273426s
11, 552 that came to Jeju Island for the I saw Asylum so I think the government should reconsider their decision to accept because they have to think about the Korean first I think so that the they can make the country more,153.908211s
12, 552 that came to Jeju Island for the I saw Asylum so I think the government should reconsider their decision to accept because they have to think about the Korean first I think so that the they can make the country more,154.088619s
13, wow they're in India of the that evil,164.111295s
14, wow in your area of the table,164.291703s
15, I'm just curious that where do you think the refugee should be taken,172.710751s
16, I'm just curious that where do you think the refugee should be taking them,172.720773s
17, well I mean where do you think the remedy should be taken if it's not pretty cool yeah you like you want to just shoot him asleep I don't have any friends but I think,189.498733s
18, I mean they still have heart this children like no you have solution,197.787486s
19, well I mean where do you think the refugee should be taken if it's not good yeah you like you want to just shoot them my sleep but I think I mean do you still do you have heart away like that I mean like no solution,197.787486s
20, I think their own country so she'll provide the solution like they,208.291250s
21, I think their own country so she'll provide the solution like they,208.311295s
22, profile like a shelter for for the citizens,215.497554s
23, like a safe shelter and so that they do not come to order another another country yeah I think that will be,225.770797s
24, profile like a shelter for for the citizens a safe shelter so that they do not come to Under Armor ogre another country yeah I think that will be,225.780820s
25, I'd better solution but there's like you know there's things like hunger or I can imagine what it would be but Korea has like their birth rate is getting lower and so like and they there are the number of foreigners,256.510344s
26, I like yourself if there's like you know that countries do it under or I can't imagine what it would be but I recently read that Korea has like their birth rate is getting lower and lower and lower and so like and they there are the number of foreigners,256.530390s
27, living here is also there's a showing of Ingress Ingress right so it's like I think Korea should start accepting that they are should be more exposed to International I mean like other other other people other everyone at this Korean guess like they start,286.488167s
