,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.70072514,"and we'll start now so it isn't their third 338,000 Koreans now aged 25 to 34 is now unemployed so I think that the increased number of refugees that came to Korea will",0.91283858,0.500s,0.300s,and,2,en-us,21.157869s
33,0.66403157,"and we'll start now so it isn't that certain 338,000 Korean now aged 25 to 34 is now unemployed so I think that the increased number of refugees that came to Korea will",0.91283858,0.500s,0.300s,and,1,en-us,21.268118s
66,0.86880279, will affect more the unemployment of Korean than it is now so it is already hard for Koreans to find jobs but now the refugee will make the employment of foreign harder,0.91283858,22.500s,22.200s,will,1,en-us,38.627393s
98,0.89386016, will affect more the unemployment of Koreans then it is now so it is already hard for Koreans to find jobs but now the refugee will make the employment of work harder,0.91283858,22.500s,22.200s,will,2,en-us,39.699819s
131,0.70228904, but in my opinion career has been registered as the UN who accept refugees and there also and I think it's their responsibility to accept the refugees and about the,0.91283858,45.600s,45s,but,1,en-us,70.740046s
161,0.82553679, but in my opinion Korea has been registered as the UN who accept refugees and there also and I think it's their responsibility to accept refugees and what the,0.91283858,45.600s,45s,but,2,en-us,70.760091s
190,0.89950395, I can go like rather than work or office jobs they can do like labor I'm going,0.91283858,73.600s,73.200s,I,2,en-us,93.401316s
207,0.80207902, I think they can do like rather than work or office jobs they can relax labor employment so yeah so I think,0.91283858,73.500s,73.200s,I,1,en-us,96.718822s
229,0.84260035, yeah so I think it's fine,0.81437463,94.200s,94s,yeah,2,en-us,99.254558s
237,0.91283864, but I think they can reconsider their decision because nowadays because of the war the infinite number of refugees increase like,0.91283858,110.800s,110.500s,but,2,en-us,125.203267s
258,0.88575429, I agree but I think they can reconsider their decision because nowadays because of the war a number of refugees in Trace like,0.91283858,106.600s,106.500s,I,1,en-us,125.273426s
281,0.78576803, 552 that came to Jeju Island for the I saw Asylum so I think the government should reconsider their decision to accept because they have to think about the Korean first I think so that the they can make the country more,0.91141599,128.100s,126.200s,552,2,en-us,153.908211s
