,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.73325318,so I'm out of breath from the article reassigned it 0.15 the 21 convention direct with Russia act which basically stated that Korea will except for Fisheries unlike many of the other Asian countries that did not sign it and I think it's very important to create keeps up with this promise and that is becoming more and more International laws and there's a reason why I said they would,0.91283858,4.100s,3.700s,so,1,en-us,29.977823s
70,0.71259373,start so I'm gonna brush from the article we assigned it 0.13 the 21 convention direct with Russia act which basically stated that pretty well except for Fisheries unlike many of the other Asian countries that did not sign it and I think it's very important to create keeps up with this promise that it's becoming more and more International lies and there's a reason why I said they would,0.91283858,0.900s,0.300s,start,2,en-us,30.168254s
140,0.76307935,choose in which case I think signifiers that we are ready for it first of all both financially and culturally and to suddenly turn our backs on these refugees who are in Desperate situations when they're coming into our country to flee their Civil War is very hypocritical and against the words that Korea should be keeping it with International Community,0.70302796,30.500s,30.200s,choose,2,en-us,52.568934s
201,0.86961758, exhibitions in which case I think signifies that we are ready for it first of all both financially and culturally and to suddenly turn our backs on these refugees for in Desperate situations when they're coming into our country to flee their Civil War is very hypocritical and against the words that Korea should be keeping it with International Community,0.91283858,30.700s,30s,exhibitions,1,en-us,52.599003s
261,0.76971883, and I think it's very important to emphasize that the number of bring you many refugees are coming in is when you about founder 15 which is very small compared to other countries which mentioned like Germany which I understand is in a different situation but even so it is still very small compared to a lot of other countries for accepting many were refugees from many diverse backgrounds,0.91283858,53.400s,53.200s,and,2,en-us,74.829298s
330,0.75118566, and I think it's very important to emphasize that the number of random in the refugees are coming in is when you are found or 50 which is very small compared to other countries which mention what Germany which I understand is in a different situation but even so it is still very small compared to a lot of other countries for accepting many were refugees from many diverse backgrounds,0.91283858,53.300s,53.200s,and,1,en-us,74.899457s
400,0.78879935, on a little mission that they restricted to Jeju Island which is already known for as many Chinese and other country of immigrants so it's not as if it's only invading the mainland and it's very easy for us to contain them and try to contain situation if people very much worried about crime or any other problems that arise with immigration,0.91283858,76.300s,76s,on,2,en-us,99.244536s
462,0.79512572, it looked also mention that they restricted to Jeju Island which is already known for its many Chinese and other country of immigrants so it's not as if there's only invading the mainland and it's very easy for us to contain them and try to contain situation if people very much worried about crime or any other problems that arise with immigration,0.91283858,76.700s,76.500s,it,1,en-us,99.244537s
524,0.69505954, so I think for Korean certainly say all the stocks have been refugees just because we are Are One National but now with the nation is very critical and also a rash decision that shouldn't be made so quickly,0.91283858,100.400s,99.800s,so,1,en-us,115.641634s
563,0.832259, so I think for Koreans to suddenly say all this not accepting refugees just because we are all One National what now look to the nation is very critical and also a rash decision that shouldn't be made so quickly,0.91283858,100.500s,99.900s,so,2,en-us,116.152791s
604,0.83613032, well although I do agree that some humanitarian effort is needed for the Civil War I think your points exemplify exactly why Korea isn't actually ready for such an intake in Immigration you mentioned that he only lived in a very small number of people I think it's around 500 and even with that small number of refugees that we took in people have signed a petition they've protests on the streets many people are displeased,0.91283858,120.600s,120s,well,1,en-us,147.393472s
680,0.74295121, well although I do agree that some humanitarian effort is needed for the Civil War I think your points exemplified exactly why Korea isn't actually ready for such an intake and immigration you mentioned that he only lived in a very small number of people I think it's around 500 and even with that small number of refugees that we took in people have signed a petition they've protests on the streets many people are displeased with that decision to let him meet Lee goes,0.91283858,120.600s,119.900s,well,2,en-us,149.678642s
765,0.64530897, hundred 500 people and also Korea is a very young nation and as you know that we were put into the industrial revolution very quickly so I think culturally and socially we aren't actually quite ready to be,0.35351801,150s,149.700s,hundred,2,en-us,169.914424s
803,0.82986468, that doesn't feel like and it's neat like a small number of 500 people and also Korea is a very young nation and as you know that we were put into the industrial revolution very quickly so I think culturally and socially we aren't actually quite ready to be,0.91283858,147.600s,147.400s,that,1,en-us,169.974561s
852,0.91283822, such a big police factor in the glow on the global scale for integration and I think the statistics show this so as you can actually read from the article as well most of the opposing side actually come from the younger generation of Korea even despite the more liberal despite them being the more liberal portion of the population,0.91283858,171s,170.700s,such,1,en-us,196.193881s
912,0.86053109, such a big police factor in the go on the global scale for immigration and I think the statistics show this so as you could actually read from the article as well most of the opposing side actually come from the younger generation of Korea even the Speights the more liberal display pending the more liberal portion of the population,0.91283858,171s,170.700s,such,2,en-us,196.213926s
972,0.81807274, and I think that shows are culturally and socially Korea isn't ready for internationalism there's also the political background of Korea and the roots of xenophobia and homogeneity in Korea where we sort of stick to ourselves and we don't really care for other people they're non-korean so I think in that regard we're not ready in the social and cultural mask,0.91283858,197.200s,196.700s,and,1,en-us,218.594561s
1034,0.80299485, and I think that shows are culturally and socially Korea isn't ready for internationalism there's also the political background of Korea and the roots of xenophobia homogeneity in Korea where we sort of stick to ourselves and we don't really care for other people they're non-korean so I think in that regard we're not ready in the social and cultural mask,0.91283858,197.200s,196.600s,and,2,en-us,218.634652s
1095,0.88658804, well you said they were not really culturally socially first of all social you mentioned how Korea has it's a big eyes development very quickly I would say after Korean War however if you look at Germany for example they also have to war to begin development really quickly it wasn't until even the 80s when the Western and Eastern combined so I'm not sure if that could be technically argued in this case it culturally yes you're right it's a lot of people not really okay with the idea,0.91283858,224.400s,224s,well,2,en-us,251.228394s
