,results/alternatives/0/transcript,results/resultEndTime
0,time starts now,1.533469s
1, so,3.838684s
2,time starts now so,3.848707s
3, in my opinion regarding recording the Jeju Island Refugee crisis I I argued that South Korea should help South Korea should I said except these refugees and provide them for humanitarian support as they are great in 1991 convention regarding the status of refugees and I will I will provide,30.869842s
4, in my opinion regarding regarding the Jeju Island Refugee crisis I I argue that South Korea should help South Korea should I sit except these refugees and provide them for humanitarian support as they are great in the 1991 convention regarding the status of refugees and I will I will provide,30.909932s
5, 33 reason for the first of first and foremost South Korea has signed the 1991 conventions on the status of refugees and therefore South Korea should be able to should fully applies to to to act as accordingly to this Refugee convention this is this is especially important since South Korea is fully capable to it's very stable and fully capable to accept,61.048119s
6, 23 reason for the first up first and foremost South Korea has signs the 1991 convergent on the status of refugees and therefore South Korea should be able to should fully applies to to to act as accordingly to this Refugee convention this is this is especially important with in South Korea is fully capable to it's very stable and fully capable to accept,61.058141s
7, very small number of 500 refugees and,64.866758s
8, very small number of 500 refugees and,64.876780s
9, refugees also and South Korea has been locked in sand the political decisions of politicians to change their stance if there is not it's not,76.883947s
10, refugees also and South Korea has been locked ins and the political decisions of politicians to change their stands it's very it's not it's not,76.914014s
11, following the convention also the yemeni Christ also the yemenis crisis should not be ignored by the International Community and in the sense of many South Koreans who think that you can be ignored refugees only not accepting Berkeley engineering you jeez I know what should not be,106.009842s
12, following the convention also the a mini price also the yemenis prices should not be ignored by the International Community and in the sense of many South Koreans who think that it can be ignored refugees only not accepting with the yemeni with you jeez,106.019866s
13, angered by the international community's no we're not were not accepting refugees only a short title answer to sell that terrified only satisfies the fear-mongering population yet South Korea should get should,124.802360s
14, angered by the international community's no we don't know certain refugees only a short title answer to self-satisfied only satisfy the fear-mongering population yet South Korea should get should,124.872518s
15, disagree with your assertions first of all he said that South Korea is fully capable of accepting yemenis refugees I would like to disagree on that point because the nation has seen a dramatic hike in the eighth in the number of refugees from 42 seeking Asylum last year to 519 seeking Asylum this year would the numbers of almost,156.093153s
16, assertions first of all you said that South Korea is fully capable of accepting yemenis refugees I would like to disagree on that point because the nation has seen a dramatic hike in the number of refugees from 42 seeking Asylum last year to 519 seeking Asylum this year which the numbers have almost,156.103177s
17, increased by 10 volt LED more than tenfold and Nation probably did not prepared for this dramatic increase and also Korea is known for its homogeneous society majority of Korean citizens don't expect that much racial diversity in their society and they have not received enough education to accept people of different ethnic diversity,186.973017s
