,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.78417194,no and you may begin,0.73945969,1s,0.600s,no,2,en-us,2.245079s
5,0.84438854,no and you may be good,0.84546191,1s,0.600s,no,1,en-us,2.275147s
11,0.8202132, yeah I think that Korean government should be,0.91283858,5.400s,5s,yeah,2,en-us,8.659592s
19,0.91143477, yeah I think that Korea Government should be,0.91283858,5.400s,5s,yeah,1,en-us,9.591700s
27,0.76678711, be printed for my shoot shoot like that you minion people to come to Korea to get their Asylum status and there is a reasons firstly it's I think that it's time for Korea to break down the Wonder Woman or culturalism,0.91283858,12.500s,12.300s,be,2,en-us,31.862087s
69,0.8110007, Korean government should shoot like that yeah minion people to come to Korea to get their Asylum status and there is a reasons firstly it's I think that it's time for Korea to break down the Monokuma no culturalism,0.91283858,12.800s,12.600s,Korean,1,en-us,31.932245s
108,0.8850823, as you know Korea Korea has like consist creates consists of like only 12 people like which is Asian so it's not really comfortable for Koreans to live with people from other countries however as time passes many people starts to come through yet,0.91283858,33.200s,33.100s,as,2,en-us,54.162541s
152,0.82592928, as you know create Korea has like consist creates consists of like only one people like which is Asian so it's not really comfortable for Koreans to live with people from other countries however as time passes many people starts to come through yet,0.91283858,33.200s,33s,as,1,en-us,54.192608s
196,0.82644534, and I think that it's time for Korean government to understand did what would you call diversity and secondly some people worried for the,0.91283858,55.400s,55s,and,1,en-us,68.414785s
220,0.77075136, and I think that it's time for Korean government to understand did what we call diversity and secondly some people worry for the,0.91283858,55.400s,54.900s,and,2,en-us,68.434831s
243,0.72343946, bad people would come to Korea for us along status but it can be sold by strict screening and early the people amount of people of them is really low like 0.02 percent so it will not affect the safety agree,0.91283858,70.800s,70.500s,bad,2,en-us,89.642813s
