,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.80396444,okay so the reason why she's just Pro for accepting these refugees because I was also and you guys before and then you know even u.s. is one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university coal pencil pencil,0.91283858,5.200s,4.800s,okay,2,en-us,30.328617s
55,0.83129066,okay so the reason why she's just drove for accepting these refugees because I was also and us before and then you know even even us it's one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university called pencil pencil,0.91283858,5.200s,4.800s,okay,1,en-us,30.338640s
110,0.90627098,and then there are a lot of international students and there are a lot of there were a lot of friends who are from like those Arab or like near Arab countries and,0.91283858,30.600s,30.500s,and,1,en-us,44.951701s
143,0.80843925,and then there are a lot of international students and there are a lot of there were a lot of friends who are from like those Arab or like near Arab countries and,0.7037105,30.600s,30.500s,and,2,en-us,45.543039s
176,0.75368989, see like they have a lot of issues about getting Visa as and getting deported from the country that was the beginning of this empathy about what this issue the main thing is that,0.91283858,47.400s,47.200s,see,2,en-us,67.192019s
210,0.76422769, see like they have a lot of issues about getting B's as and getting deported from the country that was the beginning of this empathy about this issue the painting is that,0.91283858,47.400s,47.200s,see,1,en-us,67.322314s
242,0.80420387, not accepting all these refugees of just because they are there are a lot of issues like safety issues or,0.91283858,69.400s,69.100s,not,2,en-us,77.826078s
262,0.84277362, not accepting all these refugees of just because they are you know there are a lot of issues like safety issues or,0.91283858,69.400s,69.100s,not,1,en-us,77.846123s
284,0.83882582, or maybe like economic problems it's not good to generalize this people in some way,0.91283858,80.700s,80.600s,or,2,en-us,90.234151s
299,0.80261964, or maybe like economic problems it's not good to generalize this people in some way,0.91283858,80.700s,80.500s,or,1,en-us,90.274242s
315,0.91283864, yeah so that's kind of Baseline begin to not generalize the certain people,0.91283858,96.900s,96.700s,yeah,2,en-us,104.406214s
328,0.8725909, yeah so that's kind of Baseline begin to not generalize the certain people,0.91283858,96.900s,96.700s,yeah,1,en-us,104.506441s
342,0.82705516, hey so I'm against something is Emily refugees in Korea generally speaking,0.91283858,108.300s,108s,hey,2,en-us,119.520409s
