,results/alternatives/0/transcript,results/resultEndTime
0,okay so which I'm trying to argue against the yemeni refugees coming Korea I think the strongest point that I can make is practically speaking the resources high in South Korea is not big enough to take in any more foreigners and calligraphers so if they're coming for a tourist purpose they're actually being Spenders their customers so they're actually increase,30.278504s
1,okay so which I'm trying to argue against the yemeni refugees coming hurry up and think the strongest point that I can make is practically speaking the resources high and South Korea is not big enough to take in any more foreigners and for labor force so if they're coming for a tourist purpose they're actually being Spenders their customers so they're actually increase,30.298549s
2,resource pie with Korea but then the thing is these people are coming in as refugees he wants to be letting so labor force or thing is the unemployment rate in Korea is like 3% and then the young adult unemployment rate is shoots up to an eight point eight percent so that really means that young people are having a hard time finding jobs in other words I keep on going back to the point saying we don't have a large in a resource,59.203946s
3,resource high with Korea but then the thing is these people are coming in as refugees they want to be letting as a labor force or thing is the unemployment rates in Korea is like 3% and then the young adult unemployment rate is shoots up to an eight point eight percent so that really means that young people are having a hard time finding jobs in other words I keep on going back to the point saying we don't have a large in our resource plan,59.223991s
4, so if we were to take in laborers,63.062676s
5, so if we were to take in laborers,63.072699s
6, we're sorting that they were taking away more of the pie which would even increase the crisis between young adults and the already employed labor force also then other point we can make is these people are looking for cheaper or they're looking for these simple laborers from people but then the thing is even that has become a problem within the current government because the lowest possible wage,92.158504s
7, we're sorting that I were taking away more of the pie which would even increase the crisis between young adults and the already employed labor force also then another point we can make is these people are looking for cheaper or they are looking for these simple laborers paying people for but then the thing is even that has become a problem within the current government because the lowest possible wage,92.168527s
8," the primary wage has gone up to almost 10,000",96.408119s
9," the primary wage has gone up to almost 10,000",96.448210s
10, so a lot of young people are trying to get into these cheap laborers to if he stays in other words they're practically is no bottom fruits that these refugees can get into and therefore don't have space for these people,112.684945s
11, so a lot of young people are trying to get into these cheap laborers to if these days in other words they're practically is no bottom foots that these refugees can get into and therefore you don't have space for these people,112.694967s
12, that's it,114.739593s
13, that's it for me,114.849842s
14, so I think I'm going to jump in right into what you just said and so basically the main point which is taken into account in some new source is that an employment in Korea is a problem I would say that it's mostly true but not really comparable to other developed countries such as most of the westerners country actually South Korea has one of the lowest unemployment rate,145.449072s
15, so I think I'm gonna jump in right into what you just said and stuff so basically the main point which is taken into account in some new source is that an ombre known in Korea is a problem I would say that it's mostly true but not really comparable to other developed countries such as most of the westerners country actually South Korea has one of the lowest unemployment rate and,145.459095s
16, it is to be considered that the unemployment rate is as I said a lot of manual jobs and as you can see in reports because it's missed mostly like talking about Jeju Island and all the furniture right so we are mainly talking about people that are escaping a crisis and what we can see is that on this seminar we have a lot of seminar mainly for example fishing jobs and cooking jobs,175.426895s
17, it is to be considered that the unemployment rate is as you said a lot of manual jobs and as we can see in reports because it's missed mostly like talking about Jeju Island all the foreigners right so we're Romania talking about people that are escaping a crisis and what we can see is that on this seminar we have a lot of seminar mainly for for example fishing jobs and cooking jobs,175.436918s
18, which are individual and cannot provide and for example like they have whole amount of maybe 500 refugees and over those 500 refugees or they already are the same they are about 170 170 jobs I think for fishing so there is I think there is definitely spots for those jobs that are in are no longer taking because these drugs are Maybe,205.444810s
19, which are individual and not occupied and for example like they have a whole amount of maybe 500 refugees and over those 500 refugees or they already had a seminar about 107 170 jobs I think for fishing so there is I think there is definitely spots for those jobs that Kareem are no longer taking because these drugs are Maybe,205.454833s
20, along your way from Seoul for example and long away from families and I think that it's more over something more humanitarian than economics even if the economics is to take into account and as I say I don't think you can imagine she's really proud,223.215014s
