,results/alternatives/0/transcript,results/resultEndTime
0,okay so the reason why she's just Pro for accepting these refugees because I was also and you guys before and then you know even u.s. is one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university coal pencil pencil,30.328617s
1,okay so the reason why she's just drove for accepting these refugees because I was also and us before and then you know even even us it's one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university called pencil pencil,30.338640s
2,and then there are a lot of international students and there are a lot of there were a lot of friends who are from like those Arab or like near Arab countries and,44.951701s
3,and then there are a lot of international students and there are a lot of there were a lot of friends who are from like those Arab or like near Arab countries and,45.543039s
4, see like they have a lot of issues about getting Visa as and getting deported from the country that was the beginning of this empathy about what this issue the main thing is that,67.192019s
5, see like they have a lot of issues about getting B's as and getting deported from the country that was the beginning of this empathy about this issue the painting is that,67.322314s
6, not accepting all these refugees of just because they are there are a lot of issues like safety issues or,77.826078s
7, not accepting all these refugees of just because they are you know there are a lot of issues like safety issues or,77.846123s
8, or maybe like economic problems it's not good to generalize this people in some way,90.234151s
9, or maybe like economic problems it's not good to generalize this people in some way,90.274242s
10, yeah so that's kind of Baseline begin to not generalize the certain people,104.406214s
11, yeah so that's kind of Baseline begin to not generalize the certain people,104.506441s
12, hey so I'm against something is Emily refugees in Korea generally speaking,119.520409s
13, hey so I'm against something these are many refugees in Korea generally speaking these refugees the refugee by the meaning of refugee is that they have some problems in their country they are endangered by certain issues related to their may be religious,137.821816s
14, these refugees the refugee by the meaning of refugee is that they have some problems in their country they are endangered by certain issues related to their religious or some political issues and these yemenite yemeni refugees who came into Jeju Island are,150.390251s
15, or some political issues and these Gemini yemeni refugees who came in to Jeju Island are,150.841272s
16, there are no money not clear evidence why they came here like we speculate that majority have come to Korea for just for work and they don't they didn't come as general legitimate route Korea whether they chose to complicate their come here as a refugee,179.435966s
17, there are no mama not clear evidence why they came here like we speculate that majority have come to Korea for just for work and they don't they didn't come as general legitimate route Korea whether they chose to complicate here come here as a refugee so I agree that there are,181.610886s
18, so I agree that there are certain people that really higher to be accepted as a refugee but the majority I speculate that they're not they don't have like trips for intentions so I would and those people could cause as you have mentioned some safety issues as well as economic issues,209.534062s
19, certainly people that really hire to get accepted as a refugee but the majority I speculate that they're not they don't have truthful intentions so I would and those people could cause as you have mentioned some safety issues as well as economic issues creosote,210.716737s
20, in general I am against accepting those that position,216.319412s
21, yes so in general I am against accepting those refugees,216.780456s
22, so to mention about the safety issues and maybe combination is first of all for the safety issues like I see that those people in Jeju Island they fear about those know like they might read in some way or like some yeah many different things but,241.025308s
