,results/alternatives/0/transcript,results/resultEndTime
0,don't start now,2.625941s
1,don't start now so I'm the matter on the matter of taking refugees from Yemen in Jeju Island the most primary concern is the one about the economy quite frankly the creek Queens economy right now isn't very stable although at the very top the very wealthy have the very wealthy have a lot of money but the bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday lives,30.689433s
2, so on the matter on the matter of taking refugees from Yemen to Jeju Island on the most primary concern is the other one about the economy quite clearly the query creates the economy right now isn't really stable although at the very top of the very wealthy have the variables we have a lot of money but the bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday lives in this in this,33.054785s
3,in this in this chaotic time period in am accepting Yemen universities may actually further kiosk the our government taxes are limited and if we have to give the refugees government's print out of our own taxes then that much that much money has to be taken from somewhere else and I think that,60.737415s
4, chaotic time to in that Concept in Yemen refugees me to reality on the our government passes are limited and if we have to give the refugees government's going to add our own taxes then that what that much money has to be taken for somewhere else and I think that that money can be used that money,63.032608s
5,that money can be used that money should be first least for our own people first if you are a nice if our country was a stable country and if we had a lot of money that we can spend when sure we should accept refugees but our state our situation isn't very good right now so I think that we need to say we need to stabilize our economy first and then letting the refugees later when when,90.715238s
6, when it's acceptable to do so,92.920227s
7, should be first used for our own people first if you are a nice if our country was a stable country and if we had a lot of money that we can spend then sure we should accept refugees but our state our situation isn't very good right now so I think that we need to stabilize our economy first and then letting the refugees later when when it's successful to do so,92.930251s
8, okay well first of all I'm not really sure what you mean by we have an unstable economy over the chaotic State compared to many other countries I do believe Korea is very stable economy and if you just look at the GDP people over love and beside I don't think this should be the,124.541771s
9, well first of all I'm not really sure what you mean by they have a lot of stable economy over in a chaotic State compared to many other countries I do believe Korea is very stable economy and if you just look at the GDP people are well of and besides I don't think this should be the core problem the core of the,126.275692s
10, there is a crisis happening and we should prioritize human life over any like political or cultural conflicts,138.723855s
11, or problem the core of the problem is that there is a crisis happening and we should prioritize human life over any like political or cultural conflicts,139.425444s
12, and you know you say we wait until,145.479141s
13, and you know you say we wait until,145.489161s
