,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.76509905,all right first one the state for this accepting this refugees arrived in this especially in many Arab Jesus arrived in Jeju Allah first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,0.91283858,2.400s,2.300s,all,2,en-us,25.888572s
49,0.74276662,Aurora I first want to state for this accepting this refugees arrived in this is Bachelor you many refugees has arrived in Jeju Island first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,0.91283858,2.800s,2s,Aurora,1,en-us,25.938685s
99,0.80766225, because right now those refugees are arrived and those refugees arrived in Jeju Island and are under intense examination of whether they are really lawful refugees and their Korean law or not and of course since they well at least they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has currently undergoing this Civil War and we,0.91283858,27.300s,26.700s,because,1,en-us,56.167076s
164,0.91283011, because right now those refugees are arrived and those refugees arrived in jjl and and are under independent examination whether they are really lawful refugees under Korean law will not and of course since they well at least they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has currently undergoing this Civil War we all,0.91283858,27.300s,26.700s,because,2,en-us,56.447711s
227,0.84294593, I know that if I call it says they do have some threats in their own country and yeah we have to of course we have to examine the fact that whether they are really facing thus those threats by themselves in their Nation by person by person but it's all they guaranteed or is their right to be examined fairly under those under those posts,0.91283858,56.100s,56.100s,I,1,en-us,86.144899s
293,0.89350975, that by Common Sense they do have some threats in their own country and yeah we have to of course we have to examine the fact that whether they are really facing thus those threats by themselves and their Nation by person by person but it's all they guaranteed or is their right to be examined very under those under those processes,0.91283858,56.700s,56.500s,that,2,en-us,86.425534s
355,0.50773185, asses and loss,0.35049024,86.600s,86.100s,asses,1,en-us,88.830977s
358,0.64341766, stand loss for for Korea being under the UN Refugee Convention as they've just signed they like several tens of years ago they create do have an obligation to fairly examine and if they are lawful but if you have to accept it,0.35583666,86.800s,86.400s,stand,2,en-us,106.881816s
401,0.76830864, for for Corey F being under the UN Refugee Convention as they just signed a like cyber tens of years ago they create do have an obligation to fairly examine it and if they are lawful wear it if you have to accept it,0.77127284,90.500s,90s,for,1,en-us,106.921907s
447,0.91283858, yeah,0.91283858,114.400s,114s,yeah,1,en-us,115.350977s
