,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.69263232,the time I'll start okay so I'm against integration of refugees to Korea so my main points I have three main points and firstly I think is important to take care of the Korean Nationals first and then look after the refugee refugees I know it's a great thing to help other people and the cost,0.91283858,0.200s,0s,the,1,en-us,29.977823s
56,0.84648097,the time I'll start okay so I'm against the integration of refugees to Korea so my main point is I 3 main points firstly I think it's important to take care of the Korean Nationals first and then look after the refugee refugees I know it's a great thing to help other people and the gospel,0.91283858,0.200s,0.100s,the,2,en-us,29.987846s
112,0.78469634, others but I think it's more important to look after our people first so if we look at an example of since breathtaking refugees is kind of a big boundary if we look this into small boundary I think we can compare it with a family so let's say the young family was ten children and I'm not that wealthy and some of the children are getting enough food and some aren't some are getting a good education but some are we,0.91283858,30.200s,30s,others,1,en-us,59.995738s
194,0.77951169, others but I think it's more important to the cost to our people first so if we look at an example of since breathtaking refugees is kind of a big boundary if you look this into small towns I think you can compare it with a family so let's say the young family with 10 children and I'm not that wealthy and some of the children are getting enough food and some aren't some of them good education but some are really,0.68691957,30.200s,30s,others,2,en-us,60.005761s
276,0.79546732, the education at have a bad environment for upbringing but just because,0.72628492,60.200s,60.100s,the,2,en-us,67.733244s
288,0.67952174, education I have a bad environment for upgrading but just because,0.90809351,61s,60.200s,education,1,en-us,67.813425s
299,0.83864909, other wealthy families are taking adopting children adopting is a great thing to do on this thing help children and it's great but,0.91283858,70.400s,69.800s,other,1,en-us,80.071158s
322,0.83385491, other wealthy families are taking adopting children adopting is a great thing to do on these things have children and it's great but,0.91283858,70.300s,69.800s,other,2,en-us,80.141317s
345,0.82505345, would it be good to take in children adopt children when you can't even take care of your own children properly,0.91283858,81.800s,81.600s,would,1,en-us,90.013652s
366,0.75928074, with the good to take in children adult children when you can't even take care of your own children properly,0.91283858,82s,81.700s,with,2,en-us,90.033698s
386,0.83684707, I think it's the best thing is to take care of our children fifth and then look after others,0.91283858,91.400s,91.300s,I,1,en-us,98.663221s
405,0.8907584, so I think it's best thing is to take care of our children Fist and then look off balance,0.91283858,91.300s,91.200s,so,2,en-us,98.673244s
424,0.76623785, so that's my first point and my second point is that the people are mainly Muslim and it's not to do with race and not being I'm not being racist in the fact that,0.91283858,100.600s,100.400s,so,1,en-us,117.385580s
458,0.9128384, so that's my first point and my second point is that the people are mainly Muslim and it's not to do with race I'm not being I'm not being racist in the fact that,0.91283858,100.600s,100.400s,so,2,en-us,117.846623s
492,0.91283828, I think it's to do with the cultural thing and okay so if I'm I'm for immigration I guess so let me just address your first point about taking care of Korean Nationals first so yeah Korea should take care of their Nationals as well but just because you know,0.91283858,119.400s,119.200s,I,2,en-us,148.936964s
542,0.85051382, I think it's to do with the cultural thing and okay so if I'm I'm for immigration I guess so let me just address your first point about taking care of Korean Nationals first so yeah Korea should take care of their Nationals as well but just because you know,0.91283858,119.400s,119.200s,I,1,en-us,148.946986s
592,0.77100176, having refugees who are applying for jobs that it could go to Koreans doesn't necessarily mean that they're not taking care of Koreans in a way because what if those what if Koreans don't want those jobs than all those small menial jobs would just send go to refugees and in a way it would help Korean society and just because creating stomach creating Nationals are poured that's not the fault of the government maybe it's the fault of the of the person of the,0.91283858,150.200s,149.800s,having,2,en-us,178.914787s
677,0.81160396, having refugees who are applying for jobs that it could go to Koreans doesn't necessarily mean that they're not taking care of Koreans in a way because what if those what if Koreans don't want those jobs than all those small menial jobs would just then go to refugees and in a way it would help Korean society and just because creating some creating Nationals are poor that's not the fault of the government maybe it's the fault of the of the person of the,0.91283858,150.200s,149.800s,having,1,en-us,178.924809s
762,0.67616147, LOL it's maybe their own motivation that they lost so that they can't find a job they can't take care of themselves,0.35447395,179.100s,178.900s,LOL,1,en-us,185.188982s
784,0.76265723, LOL it's maybe their own motivation that they lost so that they can't find a job they can't take care of themselves,0.53878951,179.100s,178.900s,LOL,2,en-us,185.209028s
806,0.83595395, and also for a second point I think I have an idea of where you were going and to be honest Muslims are actually considered one of the religions that is very well respected and culturally they keep a lot of ground rules but those people extremists are the ones who don't stick to those rules and want to add more rules of their own to that religion so it's not necessarily religious wise,0.91283858,186.600s,186.400s,and,1,en-us,216.128982s
880,0.74880111, and also for the second point I think I have an idea where you were going and to be honest Muslims are actually considered one of the religions that is very well respected and culturally they keep a lot of ground rules but those people extremists are the ones who don't stick to those rules and wanted to add more rules of their own to that religion so it's not necessarily religious wise,0.91283858,186.600s,186.400s,and,2,en-us,216.139006s
953,0.9023326, and I think that Korea as a homogeneous society should actually become a little bit more heterogeneous and more of a cultural Melting Pot like other First World countries yeah I think that's it so yours you said that the poor people in Korea are the fault of their own and it's not the government that's what you said and I agree that some people in might be the case for some people that,0.91283858,220.700s,220.600s,and,1,en-us,248.933200s
1027,0.85666144, and I think that Korea as a homogeneous society should actually become a little bit more heterogeneous and more of a cultural Melting Pot like other First World countries yeah I think that's it you said that before people in Korea are the fault of their own and it's not the government that's what you said and I agree that some people in might be the case for some people but,0.91283858,220.700s,220.600s,and,2,en-us,248.943224s
1098,0.71140814, I was brought up in the UK and he the situation will be different there they are still poor people in Britain but the government helping the poor people is extremely different from Korea and Britain I think the government isn't doing enough to help the disabled or the,0.91283858,249.500s,249.300s,I,1,en-us,271.333880s
1147,0.7760672, I was brought up in the UK and the situation will be different there is still poor people in Britain but the government helping the poor people is extremely different from Korea and victim I think the government isn't doing enough to help the disabled or the,0.91283858,249.400s,249.300s,I,2,en-us,271.343904s
1196,0.75292742, old people yo people eventually he'll Etc and people who need help from the government who can't sustain the,0.48037529,276.700s,276.700s,old,2,en-us,285.966989s
1215,0.88870186, old people old people and eventually he'll Etc and people who need help from the government who can't sustain the can't help themselves who need help I think that the government needs to help them more and I'm you said that extreme people add more rule to the religion do you have you study the Cora have you studied,0.91283858,276.600s,276.400s,old,1,en-us,305.050162s
1274,0.87811416, can't help themselves through need help I think that the government needs to help them more and and you said that extreme people add more rule to the religion do you how do you study the Koran have you studied Muslim religion because I studied the religion because in the UK this is in GCSE we select subjects and I selected religion,0.91283858,287.600s,287.300s,can't,2,en-us,316.295606s
1336,0.73254061, religion because I studied the religion because in the UK this is in GCSE we select subjects and I selected religion and I learned about Muslims and the Quran and the Quran I can't quote the crumbs I can't remember the exact words but it says to kill non-muslims and kill the gays kill the,0.91283858,306s,305.400s,religion,1,en-us,332.953291s
1391,0.72307903, I'm that about Muslims and the Quran and the Quran I can't cook the crumbs I don't remember the exact words but it says to kill non-muslims and kill the gays kill the tried convert everyone to Muslim if they don't convert kill them and go to a different country and marry their people and have as many children,0.54482794,316.500s,316.300s,I'm,2,en-us,346.273429s
1450,0.80254674, try to convert everyone to Muslim if they don't convert kill them and go to a different country and marry the people and have as many children and I make them all Muslim and the guy from Muslim and if you kill someone because of religion you go to heaven okay Reba McEntire okay first I'll address your welfare,0.91283858,333.800s,333.400s,try,1,en-us,363.071433s
1509,0.74286872, children and they make them all Muslim and attack on Muslims and if you kill someone because of the religion you go to heaven okay rebuttal time okay first I'll address your welfare comment yeah so I think I would agree with you maybe you came would have a better welfare situation and comparisons to Korea right,0.91283858,346.700s,346.300s,children,2,en-us,376.291344s
1566,0.76026875, comment yeah so I think I would agree with you maybe you came would have a better welfare situation and comparisons to Korea right because Korean government doesn't really do doesn't really care about the disabled disabled or mentally challenged all the older generation and I agree with that but that's all in the government instead of actually protesting against,0.91283858,364s,363.100s,comment,1,en-us,393.049256s
1626,0.81529981, because Korean government doesn't really do doesn't really care about the disabled disabled or mentally challenged all the older generation and I agree with that but that's all in the government instead of actually protesting against immigration they should actually be protesting for you know rights for welfare status fixing everything helping the mentally disabled helping the people helping the older generation maybe with pension or well first,0.73382556,377.200s,376.500s,because,2,en-us,406.319281s
1694,0.88810301, raishin they should actually be protesting for you know rights for welfare status fixing everything helping the mentally disabled helping the people helping the older generation maybe with pension or welfare status that's what they should be fighting for instead of immigration as well for a religion otherwise just because the coroner says to kill non-muslims it's like the Bible they're like Stone everybody who is a sinner or stone people who don't who's not Christian,0.91283858,393.300s,393s,raishin,1,en-us,423.067171s
1770,0.86458445, that's what they should be fighting for instead of immigration as well for a religion wise just because the coroner says to kill non-muslims it's like the Bible they're like Stone everybody who was a sinner or stone people who don't who's not Christian do they still them know it's just for Morality know they do Christians Stone them no Chris no but what about days of building,0.91283858,407s,406.700s,that's,2,en-us,436.297104s
1838,0.83933568, they still don't know it's just for her alligator no way to Christian Stone them no Chris no but but what about this Showcase of buildings Stone women who don't wear the hijab that's only the extreme extreme ignore how do you know they're only the extremist why isn't there any Christian extremist who do that throw stones at the case kill,0.91283858,423.200s,423.100s,they,1,en-us,451.691933s
1900,0.6772629, this Stone women who don't wear the hijab that's only the extreme and extremist ignore how do you know they're only the extremist why isn't there any Christian extremist who do that throw stones at the gays kill,0.35032845,436.400s,436.300s,this,2,en-us,451.701957s
1938,0.72376317, people who commit adultery it says in the Bible to kill Stone but that's only a morality thing yeah to Christians are some of your morality did you see American Muslims killing with non-muslims know you don't that would be an everyday occurrence in America exactly so I don't think it's all they're not all of them follow,0.91283858,452.800s,452.600s,people,2,en-us,481.689803s
1996,0.78799522, people who commit adultery it says in the Bible to kill Stone but that's only a morality thing yeah to Christians as some of your morality did you see American Muslims killing with non-muslims know you don't that would be an everyday occurrence in America exactly so I don't think it all but not all of them follow,0.91283858,452.900s,452.600s,people,1,en-us,481.699825s
