,results/alternatives/0/transcript,results/resultEndTime
0,no and you may begin,2.245079s
1,no and you may be good,2.275147s
2, yeah I think that Korean government should be,8.659592s
3, yeah I think that Korea Government should be,9.591700s
4, be printed for my shoot shoot like that you minion people to come to Korea to get their Asylum status and there is a reasons firstly it's I think that it's time for Korea to break down the Wonder Woman or culturalism,31.862087s
5, Korean government should shoot like that yeah minion people to come to Korea to get their Asylum status and there is a reasons firstly it's I think that it's time for Korea to break down the Monokuma no culturalism,31.932245s
6, as you know Korea Korea has like consist creates consists of like only 12 people like which is Asian so it's not really comfortable for Koreans to live with people from other countries however as time passes many people starts to come through yet,54.162541s
7, as you know create Korea has like consist creates consists of like only one people like which is Asian so it's not really comfortable for Koreans to live with people from other countries however as time passes many people starts to come through yet,54.192608s
8, and I think that it's time for Korean government to understand did what would you call diversity and secondly some people worried for the,68.414785s
9, and I think that it's time for Korean government to understand did what we call diversity and secondly some people worry for the,68.434831s
10, bad people would come to Korea for us along status but it can be sold by strict screening and early the people amount of people of them is really low like 0.02 percent so it will not affect the safety agree,89.642813s
11, bad people would come to Korea do for us alone status but it can be sold by strict screening and early the people amount of people of them is really low like 0.02 percent so it will not affect the safety of Korea,89.823220s
12, it's okay that Korea has said,98.983947s
13, it's okay that Korea accept,99.034060s
14, brightness but Jim and people are going to judge you which is a tourist Island and as you know the main religion of German people are Islam and they don't have good reputation worldwide and then can affect the tourist in Jeju,119.720863s
15, brightness but German people are going to tell you which is a tourist Island and as you know the main religion or seven people are Islam and they don't have good reputation worldwide and that can affect the tourist in Jeju,119.760953s
16, some people are not comfortable with the idea of having Muslim people around in the zoo because of what has happened throughout history for someone in you know in the u.s. many terrorist attack are,136.809526s
17, some people are not comfortable with the idea of having Muslim people around in the zoo because of what has happened throughout history for example in you know in the u.s. many terrorist attack are,136.869661s
18, dumb by Muslims and Europe some fresh veggies are known for,146.812156s
19, done by Muslims and Europe some refugees are known for,146.842223s
20, I'm not not at not accepting the loss in Europe but try to force Islam,153.858097s
21, I'm not not at not accepting the loss in Europe but try to force Islam so I think that because of be Muslim in our freezer area they should not allow that because it can affect economy it can affect security of the people,168.801906s
22, so I think that because of being Muslim in our freezer area they should not allow that because it can affect economy it can affect security of the people and,170.585944s
23, and,170.826486s
24, it can affect how people look,178.173109s
25, it can affect how people look,178.223221s
26, the safeness of Corey as a whole,183.595377s
27, the safeness of Korea as a whole,183.675557s
28, you have mentioned that because the the place where the refugee represents leaves is the place where tourists so it would be bad for the economy of Jeju Island but I think that even even refugees can like help help to enhance the general economy for many reasons they can work during their stain Institute so it would promote,217.943088s
