,results/alternatives/0/transcript,results/resultEndTime
0,carrots,2.315238s
1, this,6.745260s
2,this,6.955737s
3, at first some people say that taking refugees can some people some Korean people say that taking if yours is paint eggs and toast from the original,26.590159s
4, first some people say that taking refuses can search some people some Korean people say that taking refuses came take some just from the original,27.722721s
5, yeah,33.475737s
6, yeah,33.535873s
7, we'll restart,36.552698s
8, we'll restart,36.652925s
9, so your time starts now,42.496145s
10, so your time starts now,42.596372s
11, taking refuses can occur the like like a jobs in Jeju Island that is not because some because Yemen refuse it can supply labor domestic interest in the streets like there is a lack of Labor in some industry in Jeju Island by for some dangerous job or some taking risk risk were at the concert,76.202404s
12, taking refuses K or corroded like like jobs in Jeju Island but it's not because some because we are men music can supply labor domestic interest Industries like there is a lack of Labor in some industry in Jeju Island by for some dangerous job or some taking risk risk for that deposit,76.232472s
13, Korean people Windows you have Tendencies to avoid dangerous stuff dangerous jobs so taking any reviews can can help to help to supply labor for that dangerous Industries and also print this Korean people need for you to have humanitarian attitude game,106.691384s
14, Korean people Windows you have Tendencies to avoid dangerous stuff dangerous jobs so taking any revisions can can help to help to supply labor for that dangerous Industries and also Korean this is Korean people need for did you have humanitarian attitude young too,106.982041s
15, my reduces because yema refuses surgeon into Korea Korea to Syria situation not for seeking a job but sticking for taking their life,118.768707s
16, my refuses because Yemen refuses surgeon into Korea Korea to Syria situation not worth taking a job but sticking for a second day of your life,118.778731s
17, in history while Korea was under Japanese Rule and provisionals government what's that up in Shanghai Korean ancestors were also political Affairs has also Koreans are not away from this issue after print were there were a lot of Korean refuses like Yemen so this could happen to us too so there,149.458141s
18, in history while Korea was under Japanese Rule and provisional government what's that up in Shanghai Korean ancestors were also political with this is also Koreans are not away from this issue after green were there were a lot of Korean burger places like Yemen so this could happen to us too so there,149.488210s
19, with some humanitarian attitude for decision,155.982903s
20, some humanitarian attitude for decision,156.012972s
21, you said reduce are only taking part jobs which Koreans don't want to take but as you know or young people there is very high unemployment rate and even though they take only the hard jobs young people can feel the other risk and,189.278232s
22, this is our only taking heart drops which Koreans don't want to take but as you know or young people there is very high unemployment rate and even though they take only the hard jobs young people can feel the other risk and,189.388483s
23, the problem is that we cannot tell which one is the fake Refugee and in early 2015 some big refugees went to Europe to take jobs and there are also rumors that the refugees are refusing to take hard jobs in the Dryland and they also complained about their salary so this this means that they are not,219.917554s
24, the problem is that we cannot tell which one is the fake Refugee and in early 2015 some big refugees went to Europe to take jobs and there are also rumors that the refugees are refusing to take our jobs in which island and they also complained about their salary so this this means that they are not,219.927575s
25, really real refugees which like like their place to live and most of the refugees that come to Korea are very young and strong male refugees and they are real real threat to safety of women in Korea because Islam culture the women right in this world culture is very,249.895377s
