,results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0,0.53703648,don't start now,0.38657552,1.100s,0.900s,don't,1,en-us,2.625941s
3,0.72036165,don't start now so I'm the matter on the matter of taking refugees from Yemen in Jeju Island the most primary concern is the one about the economy quite frankly the creek Queens economy right now isn't very stable although at the very top the very wealthy have the very wealthy have a lot of money but the bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday lives,0.91283858,1.100s,0.900s,don't,2,en-us,30.689433s
84,0.77053148, so on the matter on the matter of taking refugees from Yemen to Jeju Island on the most primary concern is the other one about the economy quite clearly the query creates the economy right now isn't really stable although at the very top of the very wealthy have the variables we have a lot of money but the bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday lives in this in this,0.91283858,4.200s,4s,so,1,en-us,33.054785s
170,0.79587847,in this in this chaotic time period in am accepting Yemen universities may actually further kiosk the our government taxes are limited and if we have to give the refugees government's print out of our own taxes then that much that much money has to be taken from somewhere else and I think that,0.91283858,31.100s,30.900s,in,2,en-us,60.737415s
224,0.67560434, chaotic time to in that Concept in Yemen refugees me to reality on the our government passes are limited and if we have to give the refugees government's going to add our own taxes then that what that much money has to be taken for somewhere else and I think that that money can be used that money,0.91283858,33.900s,33.100s,chaotic,1,en-us,63.032608s
282,0.81115675,that money can be used that money should be first least for our own people first if you are a nice if our country was a stable country and if we had a lot of money that we can spend when sure we should accept refugees but our state our situation isn't very good right now so I think that we need to say we need to stabilize our economy first and then letting the refugees later when when,0.91283858,61s,60.800s,that,2,en-us,90.715238s
361,0.7464931, when it's acceptable to do so,0.75153565,91s,90.700s,when,2,en-us,92.920227s
367,0.66205978, should be first used for our own people first if you are a nice if our country was a stable country and if we had a lot of money that we can spend then sure we should accept refugees but our state our situation isn't very good right now so I think that we need to stabilize our economy first and then letting the refugees later when when it's successful to do so,0.60007012,63.100s,63s,should,1,en-us,92.930251s
440,0.80181485, okay well first of all I'm not really sure what you mean by we have an unstable economy over the chaotic State compared to many other countries I do believe Korea is very stable economy and if you just look at the GDP people over love and beside I don't think this should be the,0.91283858,96.800s,96.500s,okay,1,en-us,124.541771s
495,0.69256163, well first of all I'm not really sure what you mean by they have a lot of stable economy over in a chaotic State compared to many other countries I do believe Korea is very stable economy and if you just look at the GDP people are well of and besides I don't think this should be the core problem the core of the,0.91283858,97.200s,96.800s,well,2,en-us,126.275692s
559,0.72723365, there is a crisis happening and we should prioritize human life over any like political or cultural conflicts,0.91283858,127.700s,127.400s,there,2,en-us,138.723855s
577,0.84884834, or problem the core of the problem is that there is a crisis happening and we should prioritize human life over any like political or cultural conflicts,0.91283858,124.900s,124.600s,or,1,en-us,139.425444s
604,0.86857045, and you know you say we wait until,0.91283858,140.500s,140.300s,and,1,en-us,145.479141s
612,0.91283852, and you know you say we wait until,0.91283858,140.500s,140.300s,and,2,en-us,145.489161s
620,0.84114462, our economy is stabilized with there's less chaos but the crisis isn't going to wait for us War isn't going to wait for people to be ready to take refugees I think we should really have to see what what what what is the on a human level or is the priority,0.91283858,147.700s,147.600s,our,2,en-us,169.313062s
672,0.73432815, economy stabilizes there's less chaos with the crisis isn't going to wait for us whoa isn't going to wait for people to be ready to take refugees I think we really have to see what what what is the on human level what is the priority,0.72910851,148.300s,147.800s,economy,1,en-us,169.313064s
718,0.91283858, and,0.91283858,171.100s,170.700s,and,2,en-us,172.380s
720,0.55109632, oh yeah that's my phone,0.51727897,176.400s,175.900s,oh,1,en-us,177.872429s
725,0.82184088, oh yeah that's my favorite,0.74618161,176.300s,176.100s,oh,2,en-us,177.892472s
730,0.79444063, he said I have to prioritize over human life but in any said our economy isn't it's a very good economy the GDP is high countries other countries but you have to take into account that the GP is the average amount of income there are because there are people at the very bottom of the society chain that struggle to live out their lives and I'll show you I'm not,0.91283858,181s,180.900s,he,2,en-us,210.185534s
801,0.70542055, he said I have to prioritize over human life but he said our economy isn't it's a pretty good economy the GDP is high countries other countries but you have to take into account that the GP is the average amount of income there are because there are people at the very bottom of the society chain that struggle to live out their lives and I'll show you I know,0.91283858,181s,180.900s,he,1,en-us,210.185536s
871,0.75459498, that we shouldn't prioritize our human life but I'm wondering if whether that coyote should extend to foreigners first I think that,0.91283858,210.700s,210.400s,that,2,en-us,221.521180s
893,0.89990705, we shouldn't prioritize what human life but I'm wondering if whether that priority should extend to foreigners first I think that,0.91283858,210.900s,210.700s,we,1,en-us,221.521182s
914,0.79079658, although there are other countries there are other countries who are able to accept the refugees and their are Koreans who are struggling so we should take care of them first,0.77489942,222.900s,222.500s,although,1,en-us,235.412611s
945,0.81623995, all of there are other countries there are other countries who are able to accept the refugees and their are Koreans who are struggling so we should take care of them first,0.91283858,222.700s,222.500s,all,2,en-us,235.442677s
978,0.79098219, well the thing about the whole texting is that,0.91283858,241.200s,240.700s,well,2,en-us,244.934151s
987,0.86242771, well the thing about the whole texting is that,0.91283858,241.100s,240.700s,well,1,en-us,244.954199s
996,0.83132297, you speak as if we are sacrificing our citizens like money that was already reserved for citizens to the yemeni people with that that's not the case it's as if it's not as if there was money allocated for the pole to pole in Korea and that hasn't shifted towards the ma people I'm sure with enough content the government will be flexible enough to,0.91283858,246.900s,246.900s,you,1,en-us,275.803995s
1061,0.86531645, you speak as if we are sacrificing our citizens like money that was already reserved for citizens to the yemeni people but that's just not the case it's as if it's not as if there was money allocated for the pole to pole in Korean and that has been shifted towards the yemeni people I'm sure with enough intent the government would be flexible enough to,0.91283858,246.500s,246.400s,you,2,en-us,275.814015s
1127,0.65841597, allocate enough money from both departments may be called from the something that you know,0.91283858,277s,276.500s,allocate,2,en-us,283.080455s
1142,0.91283864, is not really,0.91283858,284.400s,283.900s,is,2,en-us,287.480409s
1145,0.78431672, allocate enough money for both problems may be called from something that is not really,0.86445206,276.900s,276.500s,allocate,1,en-us,287.550571s
1160,0.66934448, not so direct to people's life,0.4430941,289.200s,288.900s,not,2,en-us,292.281271s
1166,0.8651666, it's not be so direct to people's lives,0.91283858,288.900s,288.700s,it's,1,en-us,292.311342s
1174,0.85192764, for example you know with any government any government that's that's involved in some kind of international conflict especially especially in a little Korean warm,0.91283858,293.700s,293.500s,for,2,en-us,311.133925s
1199,0.87011248, for example you know with any government any government that's that's involved in some kind of international conflict especially especially Innovative Korean warm,0.91283858,293.700s,293.500s,for,1,en-us,311.163995s
1222,0.80619752, move to the taxes actually go to the military and,0.91283858,312.100s,311.800s,move,2,en-us,316.315648s
1232,0.78828561, move the vertex is actually going to the military and the proportions are amazing how,0.77234572,312.100s,311.800s,move,1,en-us,319.532929s
