seconds,arousal,valence,happy,angry,nervous,sad
5.0,3.0,3.0,1.667,1.0,1.667,1.0
10.0,3.0,3.0,1.667,1.0,1.667,1.0
15.0,3.333,3.0,1.667,1.0,1.667,1.0
20.0,3.333,3.333,1.667,1.0,1.667,1.0
25.0,3.333,3.667,1.667,1.667,1.333,1.0
30.0,3.0,3.667,1.667,1.667,1.333,1.0
35.0,3.0,3.667,1.667,1.0,1.333,1.0
40.0,3.0,3.667,1.667,1.0,1.333,1.0
45.0,3.0,4.0,1.667,1.0,1.333,1.0
50.0,3.0,3.333,1.333,1.0,1.0,1.0
55.0,3.0,3.333,1.333,1.0,1.0,1.0
60.0,3.0,3.333,1.333,1.0,1.0,1.0
65.0,3.0,3.667,1.333,1.333,1.0,1.0
70.0,3.0,3.667,1.333,1.333,1.0,1.0
75.0,2.667,3.667,1.0,1.667,1.0,1.0
80.0,2.667,3.667,1.0,1.667,1.0,1.0
85.0,3.0,3.333,1.0,1.333,1.0,1.0
90.0,3.0,3.333,1.0,1.667,1.0,1.0
95.0,3.0,3.333,1.0,1.667,1.0,1.0
100.0,3.0,2.667,1.0,1.667,1.0,1.0
105.0,3.0,2.667,1.0,1.667,1.0,1.0
110.0,3.0,2.667,1.0,1.667,1.0,1.0
115.0,3.667,3.667,1.667,1.333,2.0,1.0
120.0,3.667,3.667,1.667,1.333,2.0,1.0
125.0,3.333,3.667,1.667,1.333,2.0,1.0
130.0,3.333,3.667,2.0,1.333,1.667,1.0
135.0,3.0,3.667,2.0,1.0,1.667,1.0
140.0,3.667,3.667,2.0,1.0,1.667,1.0
145.0,3.0,3.333,2.0,1.0,2.333,1.0
150.0,3.0,3.333,2.0,1.0,2.333,1.0
155.0,3.0,3.333,2.0,1.0,2.333,1.0
160.0,3.667,3.667,2.0,1.333,2.0,1.0
165.0,3.333,3.667,2.0,1.0,1.667,1.0
170.0,3.667,3.667,2.0,1.0,1.667,1.0
175.0,3.333,3.667,2.0,1.0,2.0,1.0
180.0,3.333,3.667,2.0,1.0,2.0,1.0
