results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p31,seconds,arousal,valence,p32,seconds2,arousal2,valence2
0.88496077,okay the first are maybe you cannot understand my sentence or statement because and maybe it myself I'm not very good at English and I'm the president so if we can understand that ask me yes I agree with the issue of Germany's Refugee acceptance,0.91283858,3.1,2.5,okay,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,4.4,4.3,the,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,4.8,4.4,first,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,5.1,4.8,are,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,6.8,6.5,maybe,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,7.0,6.8,you,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.89508325,7.3,7.0,cannot,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,8.0,7.3,understand,31,en-us,30.980091,,5.0,3.333,4.0,,5.0,3.667,3.333
0.88496077,,0.91283858,8.6,8.0,my,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,9.8,9.4,sentence,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,10.5,9.8,or,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91081238,11.2,10.5,statement,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,12.0,11.3,because,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,13.1,12.7,and,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,14.0,13.6,maybe,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,14.2,14.0,it,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,14.9,14.2,myself,31,en-us,30.980091,,10.0,3.333,3.667,,10.0,3.667,3.333
0.88496077,,0.91283858,15.2,14.9,I'm,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,15.7,15.2,not,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,16.1,15.8,very,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.90550131,16.4,16.1,good,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.89832622,16.7,16.4,at,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.90305805,17.6,16.9,English,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.89144355,17.8,17.6,and,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,18.0,17.8,I'm,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,18.1,18.0,the,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,18.8,18.1,president,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,19.3,18.9,so,31,en-us,30.980091,,15.0,3.667,3.667,,15.0,4.0,4.0
0.88496077,,0.91283858,20.2,20.0,if,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.91283858,20.2,20.2,we,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.91283858,20.6,20.2,can,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.91283858,21.4,20.6,understand,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.88908195,22.0,21.4,that,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.91283858,22.6,22.4,ask,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.91283858,22.9,22.6,me,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.91283858,23.9,23.6,yes,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.6973787,25.0,24.7,I,31,en-us,30.980091,,20.0,3.667,3.667,,20.0,4.0,4.0
0.88496077,,0.88198286,26.4,26.0,agree,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.72883976,26.8,26.4,with,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.8828795,27.4,27.1,the,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.91193438,27.8,27.4,issue,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.68412274,28.1,27.8,of,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.7733987,28.7,28.1,Germany's,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.73845452,29.6,28.7,Refugee,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.88496077,,0.75861889,30.5,29.7,acceptance,31,en-us,30.980091,,25.0,3.667,3.667,,25.0,3.333,3.0
0.85477328,with main three regions the fir first I think there's no reason why we have to designate specific country people why Yemen is how about others or Chinese or Japanese or other East Asian Europeans Americans,0.91283858,32.3,31.8,with,31,en-us,54.673697,,30.0,3.667,3.667,,30.0,2.667,3.0
0.85477328,,0.91283858,33.1,32.7,main,31,en-us,54.673697,,30.0,3.667,3.667,,30.0,2.667,3.0
0.85477328,,0.91283858,33.3,33.1,three,31,en-us,54.673697,,30.0,3.667,3.667,,30.0,2.667,3.0
