results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p13,seconds,arousal,valence,p14,seconds2,arousal2,valence2
0.79365736, in my opinion regarding recording the Jeju Island Refugee crisis I I argued that South Korea should help South Korea should I said except these refugees and provide them for humanitarian support as they are great in 1991 convention regarding the status of refugees and I will I will provide,0.91283858,4.8,4.6,in,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.91283858,5.1,4.8,my,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.91283858,5.6,5.1,opinion,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.91283858,6.6,5.6,regarding,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.91283858,7.4,6.7,recording,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.91283858,7.9,7.4,the,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.7618373,9.1,8.5,Jeju,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.74324149,9.6,9.1,Island,13,en-us,30.869842,,5.0,3.667,3.0,,5.0,2.667,3.0
0.79365736,,0.91283858,10.1,9.6,Refugee,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.91283858,10.7,10.1,crisis,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.75972766,11.0,10.7,I,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.75301737,12.2,11.7,I,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.5918802,12.6,12.2,argued,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.60598272,13.1,12.6,that,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.91283858,13.7,13.4,South,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.83459294,14.2,13.7,Korea,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.59557045,14.7,14.2,should,13,en-us,30.869842,,10.0,4.0,3.0,,10.0,2.667,3.0
0.79365736,,0.91283858,16.0,15.7,help,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.91283858,16.1,16.0,South,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.72797817,16.7,16.1,Korea,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.58807951,17.3,16.7,should,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.50033998,17.6,17.4,I,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.70489085,18.1,17.6,said,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.84605378,19.2,18.7,except,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.71790075,19.4,19.2,these,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.91283858,20.0,19.4,refugees,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.65072441,20.4,20.0,and,13,en-us,30.869842,,15.0,4.0,3.0,,15.0,2.667,3.0
0.79365736,,0.91283858,20.8,20.4,provide,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.76290768,21.0,20.8,them,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.70020109,21.2,21.0,for,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.91283858,22.0,21.2,humanitarian,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.70020109,22.4,22.0,support,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.77346951,22.6,22.4,as,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.72247821,22.9,22.6,they,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.91283858,23.0,22.9,are,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.86274695,23.3,23.0,great,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.72802693,23.4,23.3,in,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.91283858,24.8,24.0,1991,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.91283858,25.4,24.8,convention,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.79782909,26.1,25.4,regarding,13,en-us,30.869842,,20.0,4.0,3.0,,20.0,2.667,3.0
0.79365736,,0.91283858,26.3,26.1,the,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.71414876,26.7,26.3,status,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.91283858,26.8,26.7,of,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.52890271,27.5,26.8,refugees,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.91283858,28.6,28.4,and,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.91283858,28.7,28.6,I,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.72618514,29.2,28.7,will,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.72802693,29.5,29.3,I,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.77346951,29.7,29.5,will,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.79365736,,0.61285079,30.3,29.7,provide,13,en-us,30.869842,,25.0,3.667,3.0,,25.0,2.667,3.0
0.82645649, 33 reason for the first of first and foremost South Korea has signed the 1991 conventions on the status of refugees and therefore South Korea should be able to should fully applies to to to act as accordingly to this Refugee convention this is this is especially important since South Korea is fully capable to it's very stable and fully capable to accept,0.91283858,31.8,31.3,33,13,en-us,61.048119,,25.0,3.667,3.0,,25.0,2.667,3.0
0.82645649,,0.91283858,32.2,31.8,reason,13,en-us,61.048119,,30.0,3.667,3.0,,30.0,2.667,3.0
0.82645649,,0.91283858,32.4,32.2,for,13,en-us,61.048119,,30.0,3.667,3.0,,30.0,2.667,3.0
0.82645649,,0.91283858,32.6,32.4,the,13,en-us,61.048119,,30.0,3.667,3.0,,30.0,2.667,3.0
0.82645649,,0.91283858,33.0,32.6,first,13,en-us,61.048119,,30.0,3.667,3.0,,30.0,2.667,3.0
0.82645649,,0.71307576,33.1,33.0,of,13,en-us,61.048119,,30.0,3.667,3.0,,30.0,2.667,3.0
0.82645649,,0.76536047,33.4,33.1,first,13,en-us,61.048119,,30.0,3.667,3.0,,30.0,2.667,3.0
