results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0.80396444,okay so the reason why she's just Pro for accepting these refugees because I was also and you guys before and then you know even u.s. is one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university coal pencil pencil,0.91283858,5.200s,4.800s,okay,4,en-us,30.328617s
0.80396444,,0.91283858,5.800s,5.200s,so,4,en-us,30.328617s
0.80396444,,0.91283858,6.200s,6.100s,the,4,en-us,30.328617s
0.80396444,,0.91283858,6.500s,6.200s,reason,4,en-us,30.328617s
0.80396444,,0.91283858,7.200s,6.500s,why,4,en-us,30.328617s
0.80396444,,0.91283858,7.800s,7.300s,she's,4,en-us,30.328617s
0.80396444,,0.91283858,8.500s,7.900s,just,4,en-us,30.328617s
0.80396444,,0.69957227,8.900s,8.500s,Pro,4,en-us,30.328617s
0.80396444,,0.75113183,9.500s,8.900s,for,4,en-us,30.328617s
0.80396444,,0.91283858,10.200s,9.800s,accepting,4,en-us,30.328617s
0.80396444,,0.72575849,10.500s,10.200s,these,4,en-us,30.328617s
0.80396444,,0.87890881,11.100s,10.500s,refugees,4,en-us,30.328617s
0.80396444,,0.72621959,11.500s,11.100s,because,4,en-us,30.328617s
0.80396444,,0.91283858,12.800s,12.700s,I,4,en-us,30.328617s
0.80396444,,0.91283858,12.900s,12.800s,was,4,en-us,30.328617s
0.80396444,,0.72302401,13.600s,12.900s,also,4,en-us,30.328617s
0.80396444,,0.86869311,14.200s,13.700s,and,4,en-us,30.328617s
0.80396444,,0.91283858,14.300s,14.200s,you,4,en-us,30.328617s
0.80396444,,0.91234243,14.600s,14.300s,guys,4,en-us,30.328617s
0.80396444,,0.73976552,15s,14.600s,before,4,en-us,30.328617s
0.80396444,,0.91283858,15.100s,15s,and,4,en-us,30.328617s
0.80396444,,0.75581712,15.700s,15.100s,then,4,en-us,30.328617s
0.80396444,,0.91283858,16.100s,16s,you,4,en-us,30.328617s
0.80396444,,0.91283858,16.300s,16.100s,know,4,en-us,30.328617s
0.80396444,,0.7246989,16.800s,16.300s,even,4,en-us,30.328617s
0.80396444,,0.91283858,17.200s,16.800s,u.s.,4,en-us,30.328617s
0.80396444,,0.89850712,17.400s,17.200s,is,4,en-us,30.328617s
0.80396444,,0.91283858,17.600s,17.400s,one,4,en-us,30.328617s
0.80396444,,0.91283858,17.600s,17.600s,of,4,en-us,30.328617s
0.80396444,,0.72375488,17.700s,17.600s,the,4,en-us,30.328617s
0.80396444,,0.88689148,18.100s,17.700s,country,4,en-us,30.328617s
0.80396444,,0.7246989,18.600s,18.100s,that,4,en-us,30.328617s
0.80396444,,0.61327672,19.300s,19.100s,says,4,en-us,30.328617s
0.80396444,,0.61280012,19.400s,19.300s,a,4,en-us,30.328617s
0.80396444,,0.72741133,19.600s,19.400s,lot,4,en-us,30.328617s
0.80396444,,0.72383398,19.700s,19.600s,of,4,en-us,30.328617s
0.80396444,,0.88578856,20.100s,19.700s,refugees,4,en-us,30.328617s
0.80396444,,0.66038394,20.400s,20.100s,from,4,en-us,30.328617s
0.80396444,,0.69501472,20.700s,20.400s,other,4,en-us,30.328617s
0.80396444,,0.76881582,21.300s,20.700s,countries,4,en-us,30.328617s
0.80396444,,0.73023081,22.100s,21.700s,than,4,en-us,30.328617s
0.80396444,,0.71725011,22.400s,22.100s,as,4,en-us,30.328617s
0.80396444,,0.55126172,23s,22.400s,a,4,en-us,30.328617s
0.80396444,,0.91283858,23.600s,23s,foreigner,4,en-us,30.328617s
0.80396444,,0.72424459,24.100s,23.600s,stare,4,en-us,30.328617s
0.80396444,,0.63896972,24.700s,24.200s,like,4,en-us,30.328617s
0.80396444,,0.70066518,25.500s,25.100s,there,4,en-us,30.328617s
0.80396444,,0.91283858,25.800s,25.700s,I,4,en-us,30.328617s
0.80396444,,0.91283858,26s,25.800s,was,4,en-us,30.328617s
0.80396444,,0.70596957,26.200s,26s,in,4,en-us,30.328617s
0.80396444,,0.54229373,26.800s,26.200s,a,4,en-us,30.328617s
0.80396444,,0.72671539,28.700s,28.100s,university,4,en-us,30.328617s
0.80396444,,0.87955523,29s,28.800s,coal,4,en-us,30.328617s
0.80396444,,0.88029337,29.500s,29s,pencil,4,en-us,30.328617s
0.80396444,,0.73672092,30.100s,29.800s,pencil,4,en-us,30.328617s
0.83129066,okay so the reason why she's just drove for accepting these refugees because I was also and us before and then you know even even us it's one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university called pencil pencil,0.91283858,5.200s,4.800s,okay,4,en-us,30.338640s
0.83129066,,0.91283858,5.800s,5.200s,so,4,en-us,30.338640s
0.83129066,,0.91283858,6.300s,6.100s,the,4,en-us,30.338640s
0.83129066,,0.91283858,6.600s,6.300s,reason,4,en-us,30.338640s
0.83129066,,0.91283858,7.200s,6.600s,why,4,en-us,30.338640s
0.83129066,,0.72681159,7.900s,7.200s,she's,4,en-us,30.338640s
0.83129066,,0.7403757,8.400s,7.900s,just,4,en-us,30.338640s
0.83129066,,0.91283858,9s,8.400s,drove,4,en-us,30.338640s
0.83129066,,0.79682034,9.500s,9s,for,4,en-us,30.338640s
0.83129066,,0.91283858,10.200s,9.800s,accepting,4,en-us,30.338640s
0.83129066,,0.74946851,10.500s,10.200s,these,4,en-us,30.338640s
0.83129066,,0.91283858,11.100s,10.500s,refugees,4,en-us,30.338640s
0.83129066,,0.76233304,11.500s,11.100s,because,4,en-us,30.338640s
0.83129066,,0.91283858,12.700s,12.700s,I,4,en-us,30.338640s
0.83129066,,0.91283858,12.900s,12.700s,was,4,en-us,30.338640s
0.83129066,,0.75770825,13.600s,12.900s,also,4,en-us,30.338640s
0.83129066,,0.90834802,14.200s,13.800s,and,4,en-us,30.338640s
0.83129066,,0.91283858,14.600s,14.200s,us,4,en-us,30.338640s
0.83129066,,0.81575304,15s,14.600s,before,4,en-us,30.338640s
0.83129066,,0.91283858,15.100s,15s,and,4,en-us,30.338640s
0.83129066,,0.81720936,15.700s,15.100s,then,4,en-us,30.338640s
0.83129066,,0.91283858,16.100s,16s,you,4,en-us,30.338640s
0.83129066,,0.91283858,16.300s,16.100s,know,4,en-us,30.338640s
0.83129066,,0.91283858,16.500s,16.300s,even,4,en-us,30.338640s
0.83129066,,0.72357023,16.800s,16.500s,even,4,en-us,30.338640s
0.83129066,,0.70618576,17.200s,16.800s,us,4,en-us,30.338640s
0.83129066,,0.91283858,17.400s,17.200s,it's,4,en-us,30.338640s
0.83129066,,0.91283858,17.600s,17.400s,one,4,en-us,30.338640s
0.83129066,,0.70622212,17.700s,17.600s,of,4,en-us,30.338640s
0.83129066,,0.74803489,17.700s,17.700s,the,4,en-us,30.338640s
0.83129066,,0.91077101,18.100s,17.700s,country,4,en-us,30.338640s
