timestamp,value,pid
1548223953863,38.0000000000,8
1548223954888,61.0000000000,8
1548223955885,84.0000000000,8
1548223956878,100.0000000000,8
1548223957873,100.0000000000,8
1548223958907,100.0000000000,8
1548223959860,100.0000000000,8
1548223960863,77.0000000000,8
1548223961846,54.0000000000,8
1548223962840,26.0000000000,8
1548223963851,35.0000000000,8
1548223964820,51.0000000000,8
1548223965838,50.0000000000,8
1548223966905,75.0000000000,8
1548223967810,51.0000000000,8
1548223968835,56.0000000000,8
1548223969809,69.0000000000,8
1548223970795,80.0000000000,8
1548223971819,88.0000000000,8
1548223972823,88.0000000000,8
1548223973800,90.0000000000,8
1548223974915,67.0000000000,8
1548223975848,75.0000000000,8
1548223976790,84.0000000000,8
1548223977778,93.0000000000,8
1548223978794,94.0000000000,8
1548223979781,94.0000000000,8
1548223980783,80.0000000000,8
1548223981757,81.0000000000,8
1548223982773,100.0000000000,8
1548223983765,87.0000000000,8
1548223984757,87.0000000000,8
1548223985743,74.0000000000,8
1548223986763,70.0000000000,8
1548223987752,84.0000000000,8
1548223988731,91.0000000000,8
1548223989736,80.0000000000,8
1548223990719,80.0000000000,8
1548223991760,64.0000000000,8
1548223992722,66.0000000000,8
1548223993724,78.0000000000,8
1548223994710,74.0000000000,8
1548223995712,84.0000000000,8
1548223996713,87.0000000000,8
1548223997717,97.0000000000,8
1548223998702,94.0000000000,8
1548223999707,100.0000000000,8
1548224000686,100.0000000000,8
1548224001681,90.0000000000,8
1548224002690,90.0000000000,8
1548224003674,88.0000000000,8
1548224004677,80.0000000000,8
1548224005667,91.0000000000,8
1548224006686,87.0000000000,8
1548224007650,69.0000000000,8
1548224008652,69.0000000000,8
1548224009657,74.0000000000,8
1548224010641,69.0000000000,8
1548224011642,88.0000000000,8
1548224012662,81.0000000000,8
1548224013656,66.0000000000,8
1548224014633,75.0000000000,8
1548224015701,64.0000000000,8
1548224016641,67.0000000000,8
1548224017620,69.0000000000,8
1548224018628,67.0000000000,8
1548224019608,63.0000000000,8
1548224020611,74.0000000000,8
1548224021610,77.0000000000,8
1548224022613,91.0000000000,8
1548224023621,81.0000000000,8
1548224024600,78.0000000000,8
1548224025585,83.0000000000,8
1548224026608,63.0000000000,8
1548224027588,66.0000000000,8
1548224028591,67.0000000000,8
1548224029592,57.0000000000,8
1548224030568,67.0000000000,8
1548224031575,74.0000000000,8
1548224032564,66.0000000000,8
1548224033550,75.0000000000,8
1548224034576,75.0000000000,8
1548224035566,81.0000000000,8
1548224036556,88.0000000000,8
1548224037559,66.0000000000,8
1548224038560,48.0000000000,8
1548224039527,41.0000000000,8
1548224040538,29.0000000000,8
1548224041547,47.0000000000,8
1548224042516,50.0000000000,8
1548224043520,54.0000000000,8
1548224044505,51.0000000000,8
1548224045507,47.0000000000,8
1548224046526,51.0000000000,8
1548224047515,47.0000000000,8
1548224048496,64.0000000000,8
1548224049494,63.0000000000,8
1548224050482,54.0000000000,8
1548224051501,56.0000000000,8
1548224052504,53.0000000000,8
1548224053487,61.0000000000,8
1548224054496,83.0000000000,8
1548224055478,91.0000000000,8
1548224056460,80.0000000000,8
1548224057468,67.0000000000,8
1548224058480,43.0000000000,8
1548224059457,43.0000000000,8
1548224060485,57.0000000000,8
1548224061439,66.0000000000,8
1548224062476,81.0000000000,8
1548224063461,60.0000000000,8
1548224064442,48.0000000000,8
1548224065447,61.0000000000,8
1548224066446,67.0000000000,8
1548224067427,70.0000000000,8
1548224068435,57.0000000000,8
1548224069444,38.0000000000,8
1548224070416,34.0000000000,8
1548224071424,29.0000000000,8
1548224072408,44.0000000000,8
1548224073397,50.0000000000,8
1548224074395,57.0000000000,8
1548224075400,63.0000000000,8
1548224076381,50.0000000000,8
1548224077384,54.0000000000,8
1548224078404,29.0000000000,8
1548224079388,48.0000000000,8
1548224080391,78.0000000000,8
1548224081357,88.0000000000,8
1548224082359,97.0000000000,8
1548224083382,88.0000000000,8
1548224084359,70.0000000000,8
1548224085360,61.0000000000,8
1548224086368,64.0000000000,8
1548224087362,69.0000000000,8
1548224088348,66.0000000000,8
1548224089357,57.0000000000,8
1548224090332,57.0000000000,8
1548224091350,53.0000000000,8
1548224092346,51.0000000000,8
1548224093339,56.0000000000,8
1548224094317,54.0000000000,8
1548224095320,54.0000000000,8
1548224096325,60.0000000000,8
1548224097305,63.0000000000,8
1548224098310,53.0000000000,8
1548224099295,48.0000000000,8
1548224100296,48.0000000000,8
1548224101295,48.0000000000,8
1548224102298,53.0000000000,8
1548224103297,67.0000000000,8
1548224104267,74.0000000000,8
