delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
22769.667,31644.167,10128.333,8836.167,2125.5,3763.5,470393.5,92963.667
30395.5,23931.333,9368.5,15121.167,4134.333,8377.667,343933.833,149543.333
10849.667,22377.333,6309.833,11789.333,3779.5,5302.167,198830.667,68433.167
11511.167,43558.667,10354.667,20640.5,3856.333,8876.333,396202.0,109171.167
28571.833,40504.5,16044.333,19175.667,3030.667,8303.833,865225.0,123150.667
52877.167,37901.167,28159.5,46802.667,7348.333,8851.167,1015155.5,223887.833
31844.833,17331.833,18043.333,45188.333,9413.667,8793.0,1022602.0,100810.0
33190.167,42444.833,16031.833,28596.833,10580.167,12443.333,802483.167,451679.5
40714.167,24238.833,15093.833,18801.0,4732.167,5305.333,705311.0,191682.167
23017.5,37914.5,19858.333,16894.667,4704.833,7906.5,895520.333,106932.5
12623.5,24420.667,12102.0,13502.0,2734.833,4196.667,1251033.333,63164.333
23875.0,8871.667,8133.833,11132.167,2863.833,4666.833,715907.667,52220.167
25735.0,18415.5,22949.833,15846.667,7755.833,7299.5,665525.833,123283.333
31972.667,35947.5,10794.167,17810.167,4527.833,3883.333,933040.833,170961.333
14574.333,24601.5,9954.5,9453.0,1672.167,3545.167,353543.0,126690.333
17198.0,31596.333,15835.5,17683.167,6968.0,8120.5,609705.5,164627.333
22667.0,36350.833,28849.5,60530.833,6508.5,10607.167,746694.5,194665.5
26600.333,46706.667,17342.833,21454.667,5948.5,10448.5,990302.167,251352.333
7574.5,9952.5,7731.833,5535.833,3650.5,5819.333,489981.667,37553.167
18102.833,15705.167,9458.0,14127.5,3740.167,5057.667,409435.833,64108.333
31900.0,25881.0,13488.167,8671.333,5677.667,8805.0,898887.333,143531.5
23544.333,31436.5,10489.833,35846.667,5197.333,4362.167,684796.333,216367.667
14331.667,10696.333,11389.333,8308.333,4667.167,4916.667,671682.667,78521.5
33438.333,57566.833,15050.833,24626.167,9905.333,9511.667,614939.667,201099.333
10397.833,8569.667,3185.167,7941.0,1625.167,2408.833,186493.833,56984.0
16629.667,24244.667,9604.167,10778.667,3856.667,4252.5,709399.167,85496.333
28900.0,30606.5,11601.167,12300.667,4046.5,3620.833,900437.0,140879.333
27972.5,31982.333,30182.667,31786.0,4069.333,5289.667,1080607.0,181822.833
21347.333,16150.667,13860.167,15575.833,4853.833,8094.167,198348.833,144230.5
7663.5,11628.667,3171.167,7012.0,2122.833,2181.667,132201.333,48362.333
38457.833,61012.667,12172.833,21222.833,7933.167,11617.833,427918.833,394437.167
13093.167,25388.167,6837.167,10063.333,1585.0,3331.333,268668.333,68599.667
13674.333,9056.667,4953.833,7905.667,2219.833,2424.0,286611.5,45684.0
43504.5,32861.833,13613.667,26714.667,7023.0,6860.5,483406.5,119252.0
17977.667,34678.5,9149.667,14807.0,2383.667,4004.167,446217.667,138614.167
14731.667,48109.333,10589.0,15245.833,2583.833,4142.333,426178.167,89852.0
13546.667,17766.5,3895.833,5873.167,1711.333,2326.667,630573.167,75623.833
33755.833,44370.167,11592.333,16392.0,4912.833,8288.333,337962.167,127860.5
25707.333,83458.333,19393.333,17050.333,12980.667,13506.833,716616.0,229960.5
15134.0,21147.0,5420.667,13485.5,2642.5,4815.833,292422.167,105501.667
51180.833,67502.0,43927.5,37338.667,9627.167,21010.167,1611158.333,241566.833
18944.5,18249.167,8281.167,9542.333,2463.0,5598.667,708766.167,163892.167
33062.333,29854.333,13570.667,19676.833,5907.0,7344.5,701734.833,161171.5
67580.833,48212.5,46045.833,40737.667,20893.833,29827.5,862473.5,319895.333
40360.0,25362.571,13882.429,18405.429,6160.429,10578.286,1144624.714,210796.429
41330.8,51787.2,19816.2,26083.8,8398.8,12832.0,806672.2,184882.4
37420.5,42791.667,28439.833,54732.833,19414.833,21980.833,509723.5,241657.167
29731.5,24903.667,15787.833,10756.833,6308.833,11007.333,410024.833,124673.167
33819.714,43327.571,23183.286,29244.857,7293.429,10586.0,573406.143,232484.714
12048.8,26496.2,6516.4,9713.0,2640.0,4400.2,132006.4,42813.0
12687.429,45338.857,15805.143,17546.857,7230.143,9476.571,448436.429,146282.0
27043.667,41819.167,20233.833,26990.167,12780.333,17380.167,960664.833,148895.0
12655.5,35563.167,11703.167,13935.833,6408.0,6919.667,512330.167,130153.667
29926.0,54449.167,13485.667,14021.0,7043.333,5224.333,577259.0,82833.0
12911.0,22869.333,17915.5,22723.667,7819.5,12551.167,441943.667,152391.167
94415.0,92669.333,47288.833,55722.5,12828.167,20141.5,1020118.333,250791.333
15374.167,31213.667,14821.5,22867.833,5568.167,13257.667,718708.833,73374.5
24792.5,41536.167,18943.167,20951.167,6305.667,11109.0,994537.167,103318.667
16858.333,26710.667,31514.833,20165.667,5377.833,7130.833,801792.167,117838.667
43818.833,74964.0,27886.167,35370.833,10958.5,13989.0,483362.833,186498.5
17227.667,30612.833,16079.833,13194.5,4967.0,9084.667,297172.0,113174.167
20634.333,23071.333,12320.0,7060.5,1823.333,4623.833,474847.0,103163.5
12013.167,16227.667,6656.167,8481.333,1590.5,2854.833,507620.5,38252.333
22596.333,48837.667,9159.333,24666.167,3524.667,5604.167,441147.167,106956.833
16646.167,35643.5,11142.167,15109.167,2466.833,5057.833,441876.333,61693.333
18631.5,38087.167,18220.167,31818.833,8025.333,9730.167,354203.333,166269.5
34494.667,11266.333,9568.333,18868.833,2480.0,4445.0,224846.333,139881.667
26400.333,38570.333,14259.333,18077.667,3900.167,6425.0,631815.833,104137.5
29444.333,20178.667,10323.333,17125.667,3176.333,8269.5,403690.333,139689.333
34125.0,32371.167,12630.833,12646.333,3401.833,5014.833,689439.5,104344.0
19750.167,11816.667,7769.333,12110.5,4949.833,4157.667,654606.5,113192.0
32568.167,34554.167,20226.0,20290.0,4842.5,7439.0,779223.5,259603.667
19205.5,23180.167,12386.333,17854.5,3926.667,5655.667,561323.0,115385.167
11272.333,18835.833,8652.5,12137.333,4388.833,5069.0,279686.167,110379.333
21674.5,28738.0,22439.0,17923.167,5589.0,5726.5,855718.0,137026.167
20386.333,58028.333,9082.667,18250.667,4856.667,5492.0,753401.0,87133.0
16775.333,19179.167,9529.333,15246.667,3162.0,6918.5,453961.5,91596.0
43200.833,23425.833,18268.0,40628.0,6645.5,10408.0,512157.5,125060.667
89377.167,110631.0,76768.5,63409.167,61247.5,98605.833,1594420.0,282754.167
11329.833,21523.833,11143.5,16527.667,3985.167,9338.667,876933.5,74231.667
26058.0,11167.667,11089.333,10733.167,6327.667,9284.333,752522.833,107005.5
55787.167,21476.667,16636.0,21220.333,7734.833,12335.0,1544820.833,278976.667
33412.833,27270.5,17255.0,33838.667,6472.833,11922.667,947871.667,179029.5
53960.333,42984.667,14525.167,19390.333,9472.167,11276.833,815363.667,244045.667
8580.667,30510.0,11903.333,16779.667,4613.667,5633.833,522801.333,173425.5
8491.667,42440.0,12649.5,16680.167,3540.0,15435.333,420166.5,129590.333
13122.167,24541.0,12338.0,19129.833,4515.667,4163.0,872739.5,66200.0
96463.333,128663.167,43078.0,44544.0,18100.833,26641.167,1205718.667,193582.0
17927.667,15839.833,7861.333,10274.667,3706.5,5760.667,367759.167,84429.667
21062.5,48397.0,16507.167,25504.5,5558.5,9131.667,889367.333,262300.0
14832.167,49138.667,18302.5,22319.167,8694.0,10693.833,902480.0,231126.167
36357.0,24381.167,29394.833,49246.333,11026.167,12916.333,1261745.0,111449.667
