delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta
20101.0,46682.833,19789.833,27332.333,16920.333,17139.667,1021529.0,188667.5
21755.167,17568.5,16781.333,10113.167,10548.667,19147.833,444445.5,64934.833
26394.167,29945.5,13191.333,14755.667,14494.5,15222.167,669009.167,48425.667
44921.667,25859.333,22375.333,21999.333,9957.333,12811.667,684633.5,134410.167
14644.667,12095.5,7878.0,8156.833,4115.0,8616.333,368935.167,42050.833
44432.167,64775.5,30955.5,35574.0,15711.167,10249.167,633484.333,138571.0
16756.333,23003.5,26856.5,19806.833,11488.833,19352.333,676932.833,93733.0
26861.5,28947.167,11967.0,13580.0,3110.833,7806.333,383837.833,63133.0
7796.833,5397.333,14918.667,4304.0,2526.667,5198.0,252463.333,21912.833
14783.333,19145.333,8502.333,8418.167,4329.167,6539.333,466379.667,44394.0
6974.167,13800.167,10507.833,7903.5,6551.5,10432.5,90702.667,25462.333
9067.833,18660.5,13011.0,11189.5,6385.5,10048.0,204927.0,25637.0
19103.5,47153.667,11061.667,11517.333,3278.833,3507.5,797089.167,94804.667
9822.0,16737.0,5453.167,7851.5,3696.333,4921.667,551136.167,46196.5
13364.333,27857.667,19236.5,25227.833,8400.5,10856.5,567463.5,85080.0
17288.0,30039.333,14895.667,10218.667,8447.333,7709.333,531151.5,97613.833
23283.167,24100.0,26232.0,16126.0,7490.333,17669.333,1314093.5,122653.833
10610.167,10253.167,6298.833,11009.5,1524.167,2743.833,556402.5,29726.333
19127.333,11973.833,7841.167,16182.0,2502.333,5221.0,316330.833,70432.833
36490.167,30837.833,14121.833,21285.0,15437.667,24933.167,1043278.333,158489.333
22278.333,45990.167,16570.667,14622.833,8718.0,7971.833,594990.833,158052.667
56692.667,55598.5,32879.333,32159.333,25599.333,25996.5,944018.667,200863.0
28542.333,45874.833,10533.667,23479.167,11591.833,10577.167,1087283.833,130187.833
71697.667,73848.167,28634.0,44925.667,14515.0,26761.833,642026.667,193474.5
86226.833,74447.0,32707.167,46669.5,9965.667,12145.333,811800.167,183007.0
16527.0,28728.167,22152.0,21280.833,8760.0,18893.333,1162850.667,78385.667
26184.667,36384.5,17080.333,19571.167,8592.5,21436.333,950449.667,138079.333
20195.0,21973.167,19494.667,19923.833,10138.333,12528.333,1115462.667,86712.5
35022.667,40435.667,38799.0,24887.333,19975.167,33204.0,842510.167,201037.833
24957.5,50111.667,27983.667,20890.167,22088.167,11580.0,882166.833,168611.333
97624.167,111755.667,34300.667,37409.5,24514.167,51627.667,629010.5,353931.5
46556.667,48746.0,46222.333,51422.833,25267.5,59111.833,968645.5,274721.0
24993.5,26472.667,37132.167,30916.167,23022.667,16627.0,730470.5,116556.167
25040.833,15260.667,19425.5,9534.833,7417.167,15059.833,805895.333,121883.167
72135.667,41473.0,35513.167,30803.833,20420.333,37793.0,863175.333,312583.833
