seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,1,2,1,1,1,1,1,x,,,,,,,,,,,,,,x,5.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
10,1,2,1,1,1,1,1,x,,,,,,,,,,,,,,x,10.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
15,2,2,1,1,1,1,1,,,,,,,x,,,,,,,,x,15.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
20,2,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,20.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
25,2,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,25.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
30,2,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,30.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
35,2,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,35.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
40,2,3,1,1,1,1,1,,,,,,,x,,,,,,,,x,40.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
45,3,2,1,1,1,2,1,,,,x,,,,,,,,,,,x,45.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
50,3,1,1,1,1,3,1,,,,x,,,,,,,,,,,x,50.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
55,3,1,1,1,1,3,1,,,,x,,,,,,,,,,,x,55.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
60,3,1,1,1,1,3,1,,,,x,,,,,,,,,,,x,60.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
65,3,1,1,1,1,3,1,,,,x,,,,,,,,,,,x,65.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,x,,,,,,,,,,,,,x
70,3,1,1,1,1,2,1,,,,x,,,,,,,,,,,x,70.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
75,3,2,1,1,1,2,1,,,,x,,,,,,,,,,,x,75.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
80,3,2,1,1,1,2,1,,,,x,,,,,,,,,,,x,80.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
85,3,2,1,1,1,2,1,,,,x,,,,,,,,,,,x,85.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
90,3,2,1,1,1,2,1,,,,x,,,,,,,,,,,x,90.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
95,3,2,1,1,1,2,1,,,,x,,,,,,,,,,,x,95.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
100,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,100.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
105,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,105.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
110,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,110.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
115,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,115.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
120,2,3,1,1,1,1,1,,,,x,,,,,,,,,,,x,120.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,x,,,,,,,,,,,x
