results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p3,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surpise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,p4,seconds2,arousal2,valence2,cheerful2,happy2,angry2,nervous2,sad2,boredom2,confusion2,delight2,concentration2,frustration2,surpise2,none_1_2,confrustion2,contempt2,dejection2,disgust2,eureka2,pride2,sorrow2,none_2_2
0.83129066,okay so the reason why she's just drove for accepting these refugees because I was also and us before and then you know even even us it's one of the country that says a lot of refugees from other countries than as a foreigner stare like there I was in a university called pencil pencil,0.91283858,5.2,4.8,okay,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.91283858,5.8,5.2,so,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.91283858,6.3,6.1,the,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.91283858,6.6,6.3,reason,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.91283858,7.2,6.6,why,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.72681159,7.9,7.2,she's,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.7403757,8.4,7.9,just,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.91283858,9.0,8.4,drove,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.79682034,9.5,9.0,for,4,en-us,30.33864,,5,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,5,1,4,4,1,1,3,1,,,,x,,,,,,,,,,,x
0.83129066,,0.91283858,10.2,9.8,accepting,4,en-us,30.33864,,10,1,3,2,2,3,4,1,,,,x,,,,,,,,,,,x,,10,1,4,3,1,1,4,1,,,,x,,,,,,,,,,,x
