results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,p7,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surpise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,p8,seconds2,arousal2,valence2,cheerful2,happy2,angry2,nervous2,sad2,boredom2,confusion2,delight2,concentration2,frustration2,surpise2,none_1_2,confrustion2,contempt2,dejection2,disgust2,eureka2,pride2,sorrow2,none_2_2
0.73325318,so I'm out of breath from the article reassigned it 0.15 the 21 convention direct with Russia act which basically stated that Korea will except for Fisheries unlike many of the other Asian countries that did not sign it and I think it's very important to create keeps up with this promise and that is becoming more and more International laws and there's a reason why I said they would,0.91283858,4.1,3.7,so,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.1,5.0,I'm,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.2,5.1,out,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.3,5.2,of,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.4,5.3,breath,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.91283858,5.6,5.4,from,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.72713214,5.7,5.6,the,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.78431863,6.2,5.7,article,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.84703392,7.3,6.6,reassigned,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.73325318,,0.75494498,7.5,7.3,it,8,en-us,29.977823,,5,3,2,2,1,1,3,1,,,,x,,,,,,,,,,,x,,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
