seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
5,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x,5,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
10,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x,10,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
15,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x,15,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
20,4,4,2,3,1,3,1,,,,,,,x,,,,,,,,x,20,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
25,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,25,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
30,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,30,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
35,3,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,35,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
40,3,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,40,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
45,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,45,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
50,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,50,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
55,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,55,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
60,2,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,60,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
65,1,3,2,3,1,2,1,,,,,,,x,,,,,,,,x,65,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
70,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,70,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
75,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,75,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
80,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,80,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
85,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,85,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
90,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,90,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
95,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,95,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
100,1,3,2,3,1,1,1,,,,,,,x,,,,,,,,x,100,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
105,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,105,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
110,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,110,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
115,3,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,115,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
120,4,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,120,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
125,4,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,125,3,4,3,3,1,3,1,,,,x,,,,x,,,,,,,
130,4,3,2,3,1,3,1,,,,,,,x,,,,,,,,x,130,3,4,3,3,1,3,1,,,,x,,,,x,,,,,,,
135,4,3,2,2,1,2,1,,,,,,,x,,,,,,,,x,135,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
140,3,3,2,2,1,2,1,,,,x,,,,,,,,,,,x,140,3,4,3,3,1,3,1,,,,x,,,,,,,,,,,x
145,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x,145,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
150,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x,150,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
155,3,3,2,2,1,1,1,,,,x,,,,,,,,,,,x,155,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
160,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x,160,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
165,3,2,2,2,1,2,1,,,,x,,,,,,,,,,,x,165,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
170,3,2,2,2,2,2,1,,,,x,,,,,,,,,,,x,170,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
175,3,2,2,2,2,2,1,,,,x,,,,,,,,,,,x,175,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
180,3,5,1,2,3,2,1,,,,,x,,,,,,,,,,x,180,4,4,3,3,1,2,1,,,,x,,,,,,,,,,,x
